NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT4	STAT4	243	0.6249496936798096	0.013850571	No	
row_1	BST1	BST1	578	0.48025333881378174	0.018431101	No	
row_2	EDIL3	EDIL3	1115	0.38210588693618774	0.010948293	No	
row_3	RGS4	RGS4	1294	0.3305429518222809	0.01623702	No	
row_4	THBS1	THBS1	1605	0.27234208583831787	0.0138693275	No	
row_5	TPD52L1	TPD52L1	2689	0.2232218086719513	-0.022199797	No	
row_6	DPYD	DPYD	2692	0.2227475643157959	-0.013779446	No	
row_7	CLCA2	CLCA2	2778	0.20990630984306335	-0.009266596	No	
row_8	PSD4	PSD4	2785	0.20943161845207214	-0.0015192314	No	
row_9	PLA2R1	PLA2R1	2882	0.19734470546245575	0.00206122	No	
row_10	CSPG5	CSPG5	3162	0.16993127763271332	-0.0029393365	No	
row_11	MLPH	MLPH	3316	0.15811076760292053	-0.003203357	No	
row_12	SEMA3C	SEMA3C	3390	0.15035492181777954	-4.6962537E-4	No	
row_13	ITGA1	ITGA1	3462	0.14341750741004944	0.0020816375	No	
row_14	ACPP	ACPP	3683	0.12916386127471924	-0.002045905	No	
row_15	ARHGDIG	ARHGDIG	3750	0.12419094890356064	-2.2693053E-5	No	
row_16	ADAMTS1	ADAMTS1	3813	0.11985284090042114	0.0019996155	No	
row_17	PTGS2	PTGS2	4602	0.08420658856630325	-0.027230065	No	
row_18	PIK3CD	PIK3CD	4946	0.07387541979551315	-0.0385323	No	
row_19	CHD7	CHD7	5075	0.07031269371509552	-0.041118424	No	
row_20	OLIG2	OLIG2	5125	0.06904687732458115	-0.04050023	No	
row_21	SALL2	SALL2	5505	0.060092661529779434	-0.053810798	No	
row_22	SGCE	SGCE	5618	0.05750711262226105	-0.056226972	No	
row_23	CTNND2	CTNND2	5701	0.055946797132492065	-0.05746753	No	
row_24	RNFT2	RNFT2	6045	0.049848124384880066	-0.069686934	No	
row_25	LUM	LUM	6107	0.04874804615974426	-0.07033765	No	
row_26	CYP1B1	CYP1B1	6429	0.04344024136662483	-0.081895865	No	
row_27	ENPP1	ENPP1	6438	0.043293777853250504	-0.08057264	No	
row_28	WNT5A	WNT5A	6553	0.04164056107401848	-0.083676815	No	
row_29	PCCB	PCCB	6931	0.036388833075761795	-0.09780985	No	
row_30	MARK1	MARK1	7288	0.032103609293699265	-0.11124184	No	
row_31	ASB13	ASB13	7945	0.024535788223147392	-0.13731448	No	
row_32	MBNL2	MBNL2	8757	0.016451800242066383	-0.17007747	No	
row_33	GEM	GEM	8922	0.014911653473973274	-0.17626056	No	
row_34	MAPK9	MAPK9	9020	0.014024127274751663	-0.17971899	No	
row_35	CAMSAP1	CAMSAP1	9708	0.007839924655854702	-0.20770529	No	
row_36	SEC61A2	SEC61A2	10161	0.004036570433527231	-0.22616123	No	
row_37	ANXA1	ANXA1	10276	0.0030807126313447952	-0.2307373	No	
row_38	TGOLN2	TGOLN2	14483	0.0	-0.40390924	No	
row_39	GSDMD	GSDMD	15450	-0.0054332902655005455	-0.44347456	No	
row_40	ARPC1B	ARPC1B	15616	-0.006862044334411621	-0.4500061	No	
row_41	COL10A1	COL10A1	16176	-0.012361259199678898	-0.47254974	No	
row_42	ABCA3	ABCA3	16628	-0.016724901273846626	-0.49048015	No	
row_43	ACVR1	ACVR1	16709	-0.01770872250199318	-0.493098	No	
row_44	CKB	CKB	17128	-0.022588593885302544	-0.5094459	No	
row_45	OLFML2A	OLFML2A	17446	-0.026366880163550377	-0.5214911	No	
row_46	PHACTR1	PHACTR1	17603	-0.02838236279785633	-0.5268306	No	
row_47	PAM	PAM	17642	-0.028965283185243607	-0.5272895	No	
row_48	MDFIC	MDFIC	17704	-0.030040837824344635	-0.52865434	No	
row_49	HBP1	HBP1	18028	-0.0348651222884655	-0.54062223	No	
row_50	GBE1	GBE1	18170	-0.037421759217977524	-0.5449991	No	
row_51	CCDC88C	CCDC88C	18489	-0.043110430240631104	-0.5564464	No	
row_52	ALDH1A1	ALDH1A1	18807	-0.05031614378094673	-0.5675774	No	
row_53	CNN1	CNN1	19127	-0.0589289627969265	-0.57846206	No	
row_54	CAV2	CAV2	19408	-0.06885969638824463	-0.5873619	No	
row_55	TTYH1	TTYH1	19522	-0.07248807698488235	-0.5892474	No	
row_56	RAB27A	RAB27A	19809	-0.08448027074337006	-0.597798	No	
row_57	TSPAN9	TSPAN9	19869	-0.08767302334308624	-0.5968805	No	
row_58	MCTP2	MCTP2	20028	-0.09443147480487823	-0.59978116	No	
row_59	COPZ2	COPZ2	20125	-0.09952172636985779	-0.5999348	No	
