NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MOCOS	MOCOS	115	0.8102125525474548	0.017165994	No	
row_1	VDR	VDR	484	0.5328125357627869	0.016363662	No	
row_2	KCNN4	KCNN4	487	0.5283825397491455	0.030577315	No	
row_3	IL13RA1	IL13RA1	649	0.4524528384208679	0.036161143	No	
row_4	LIF	LIF	668	0.4452678859233856	0.0474643	No	
row_5	DRAM1	DRAM1	718	0.4344145655632019	0.057191804	No	
row_6	SRPX2	SRPX2	724	0.4339013993740082	0.068725035	No	
row_7	CYBRD1	CYBRD1	1216	0.35108885169029236	0.05791919	No	
row_8	SH2D4A	SH2D4A	1430	0.2995615303516388	0.05721581	No	
row_9	MAST1	MAST1	1615	0.26906487345695496	0.056886576	No	
row_10	PTHLH	PTHLH	1649	0.2634583115577698	0.06265022	No	
row_11	WIPI1	WIPI1	2844	0.20151688158512115	0.01872502	No	
row_12	PLAU	PLAU	2866	0.19922877848148346	0.023247072	No	
row_13	KCND2	KCND2	3036	0.18141548335552216	0.021166645	No	
row_14	GFPT2	GFPT2	3109	0.1747811883687973	0.022918127	No	
row_15	BFSP1	BFSP1	3221	0.16533012688159943	0.022801058	No	
row_16	CXXC4	CXXC4	3258	0.16174063086509705	0.025688477	No	
row_17	RELB	RELB	3268	0.16117550432682037	0.029677184	No	
row_18	TIMP1	TIMP1	3528	0.1389443576335907	0.022725692	No	
row_19	CBX7	CBX7	3708	0.1275283545255661	0.018773701	No	
row_20	TNFRSF10B	TNFRSF10B	3748	0.1242210641503334	0.020521894	No	
row_21	TFPI2	TFPI2	3815	0.11983509361743927	0.021034839	No	
row_22	ADORA2B	ADORA2B	3899	0.1156463623046875	0.020731417	No	
row_23	DLX2	DLX2	3991	0.1116304099559784	0.0199885	No	
row_24	CDC42EP3	CDC42EP3	4032	0.11010220646858215	0.021313326	No	
row_25	PLEKHF1	PLEKHF1	4218	0.1016966700553894	0.016414281	No	
row_26	CD46	CD46	4224	0.10150552541017532	0.018953927	No	
row_27	FUT9	FUT9	4325	0.09667518734931946	0.017434174	No	
row_28	GLRX	GLRX	4365	0.09516127407550812	0.018396102	No	
row_29	ETHE1	ETHE1	4444	0.09087251126766205	0.017629152	No	
row_30	SMAGP	SMAGP	4461	0.09006253629922867	0.019404285	No	
row_31	TSPAN7	TSPAN7	4624	0.08341863006353378	0.014961854	No	
row_32	STC1	STC1	4777	0.07917594909667969	0.010818179	No	
row_33	RHOG	RHOG	5042	0.07118453830480576	0.0018265448	No	
row_34	CHD7	CHD7	5075	0.07031269371509552	0.0024056314	No	
row_35	MVP	MVP	5446	0.06143619865179062	-0.011233368	No	
row_36	MYD88	MYD88	5585	0.05833468586206436	-0.015361976	No	
row_37	ARSA	ARSA	5594	0.058038145303726196	-0.014122485	No	
row_38	CTNND2	CTNND2	5701	0.055946797132492065	-0.016992347	No	
row_39	RNFT2	RNFT2	6045	0.049848124384880066	-0.029828306	No	
row_40	CEBPB	CEBPB	6185	0.04756791517138481	-0.034289584	No	
row_41	MAP2	MAP2	6412	0.04369606077671051	-0.042453486	No	
row_42	REXO2	REXO2	6532	0.04200870916247368	-0.046238083	No	
row_43	ATOX1	ATOX1	6644	0.040243737399578094	-0.049739596	No	
row_44	TSPAN1	TSPAN1	6705	0.039538562297821045	-0.051151093	No	
row_45	FADD	FADD	6742	0.03907107934355736	-0.051582724	No	
row_46	MYLK	MYLK	6812	0.038039032369852066	-0.053406987	No	
row_47	ITGA5	ITGA5	6940	0.036308176815509796	-0.05767666	No	
row_48	CLIP4	CLIP4	7108	0.03420499712228775	-0.06365743	No	
row_49	EDEM1	EDEM1	7155	0.03364144638180733	-0.06464952	No	
row_50	BET1L	BET1L	7185	0.03343309462070465	-0.064944215	No	
row_51	MARCKSL1	MARCKSL1	7231	0.03283020108938217	-0.065916896	No	
row_52	TMED9	TMED9	7526	0.029246436432003975	-0.07728389	No	
row_53	ANP32A	ANP32A	7527	0.02923860214650631	-0.07649278	No	
row_54	KCNAB2	KCNAB2	7646	0.027694527059793472	-0.08062332	No	
row_55	TPD52L2	TPD52L2	7966	0.02426826022565365	-0.09315887	No	
row_56	TCF4	TCF4	8169	0.02197379805147648	-0.100917995	No	
row_57	ARFRP1	ARFRP1	8385	0.019789887592196465	-0.10927382	No	
row_58	IFRD2	IFRD2	8650	0.017299698665738106	-0.11972341	No	
row_59	SSH3	SSH3	8848	0.015589933842420578	-0.12744848	No	
row_60	S100A10	S100A10	8879	0.01523577980697155	-0.1282769	No	
row_61	GEM	GEM	8922	0.014911653473973274	-0.12961034	No	
row_62	FOXC1	FOXC1	8940	0.01479722373187542	-0.129913	No	
row_63	VASP	VASP	9049	0.013789880089461803	-0.1340062	No	
row_64	YIF1A	YIF1A	9151	0.012890883721411228	-0.13783425	No	
row_65	CDKN1B	CDKN1B	9251	0.01201123557984829	-0.1416034	No	
row_66	ABCD1	ABCD1	9993	0.00536135770380497	-0.17210223	No	
row_67	SLC38A10	SLC38A10	10061	0.0048795402981340885	-0.17474097	No	
row_68	PIGT	PIGT	10106	0.004541333764791489	-0.1764377	No	
row_69	SLC4A7	SLC4A7	10172	0.0039916448295116425	-0.17901777	No	
row_70	ANXA1	ANXA1	10276	0.0030807126313447952	-0.18319395	No	
row_71	WDR55	WDR55	10348	0.002399842021986842	-0.18606521	No	
row_72	SLC35C1	SLC35C1	14908	-6.175615708343685E-4	-0.37458494	No	
row_73	PRNP	PRNP	15108	-0.002542697824537754	-0.38274577	No	
row_74	TMEM214	TMEM214	15119	-0.002642728155478835	-0.3830878	No	
row_75	GSDMD	GSDMD	15450	-0.0054332902655005455	-0.39658788	No	
row_76	ARPC1B	ARPC1B	15616	-0.006862044334411621	-0.40322575	No	
row_77	ITGA6	ITGA6	15693	-0.0077283610589802265	-0.4061596	No	
row_78	FYCO1	FYCO1	15713	-0.007885782979428768	-0.406732	No	
row_79	SERPINE1	SERPINE1	15830	-0.008923257701098919	-0.4112877	No	
row_80	DCBLD2	DCBLD2	15941	-0.009897058829665184	-0.41556895	No	
row_81	MGAT4B	MGAT4B	16035	-0.01088803168386221	-0.41912034	No	
row_82	FBRS	FBRS	16041	-0.010915352962911129	-0.41903177	No	
row_83	RHBDF2	RHBDF2	16132	-0.011896124109625816	-0.42243186	No	
row_84	ADRM1	ADRM1	16232	-0.012892286293208599	-0.42617714	No	
row_85	S100A13	S100A13	16435	-0.014894966036081314	-0.4341278	No	
row_86	DNAJC10	DNAJC10	16505	-0.0156727097928524	-0.43655723	No	
row_87	KDELR3	KDELR3	16508	-0.01568790338933468	-0.43621546	No	
row_88	DRAP1	DRAP1	16540	-0.0159168504178524	-0.4370668	No	
row_89	RRBP1	RRBP1	16591	-0.016350390389561653	-0.43869215	No	
row_90	COQ10B	COQ10B	16755	-0.018260369077324867	-0.44493893	No	
row_91	EMP3	EMP3	16762	-0.01830560527741909	-0.44469175	No	
row_92	TMEM109	TMEM109	16979	-0.02088160440325737	-0.4530594	No	
row_93	QSOX1	QSOX1	16995	-0.02101537585258484	-0.4531111	No	
row_94	DSTN	DSTN	17009	-0.02114803157746792	-0.4530765	No	
row_95	FLII	FLII	17011	-0.021163521334528923	-0.45254526	No	
row_96	ZMYM4	ZMYM4	17046	-0.02161588706076145	-0.45336646	No	
row_97	EXOC3	EXOC3	17088	-0.022145621478557587	-0.45446283	No	
row_98	DEGS1	DEGS1	17089	-0.022164838388562202	-0.4538631	No	
row_99	B3GNT2	B3GNT2	17124	-0.022565841674804688	-0.4546586	No	
row_100	YIPF3	YIPF3	17160	-0.023083550855517387	-0.45548147	No	
row_101	MAFG	MAFG	17175	-0.023256270214915276	-0.4554312	No	
row_102	LRRFIP2	LRRFIP2	17343	-0.0252628643065691	-0.4616539	No	
row_103	ADSS	ADSS	17435	-0.026304107159376144	-0.46470547	No	
row_104	PNPLA2	PNPLA2	17451	-0.026403624564409256	-0.4646114	No	
row_105	HSPA5	HSPA5	17529	-0.02739090844988823	-0.4670546	No	
row_106	PYGB	PYGB	17535	-0.02750875987112522	-0.4665171	No	
row_107	CSRP1	CSRP1	17567	-0.027860643342137337	-0.46704525	No	
row_108	MGAT1	MGAT1	17682	-0.029734544456005096	-0.4709552	No	
row_109	NSMAF	NSMAF	17710	-0.030098339542746544	-0.4712574	No	
row_110	LGALS8	LGALS8	17818	-0.03179037570953369	-0.4748222	No	
row_111	CUL7	CUL7	17865	-0.03238409385085106	-0.47584832	No	
row_112	MCFD2	MCFD2	17913	-0.03307154029607773	-0.47689718	No	
row_113	PARVB	PARVB	18018	-0.03468756750226021	-0.48025954	No	
row_114	CLIC1	CLIC1	18140	-0.036851540207862854	-0.48426637	No	
row_115	GBE1	GBE1	18170	-0.037421759217977524	-0.48445317	No	
row_116	GLIPR1	GLIPR1	18201	-0.037966351956129074	-0.48466656	No	
row_117	SH3BGRL3	SH3BGRL3	18251	-0.038983773440122604	-0.48563817	No	
row_118	ECM1	ECM1	18376	-0.041115209460258484	-0.4896537	No	
row_119	IQGAP1	IQGAP1	18498	-0.04338555783033371	-0.49348375	No	
row_120	CAPN2	CAPN2	18601	-0.04561198502779007	-0.49646783	No	
row_121	FLNA	FLNA	18719	-0.04836002364754677	-0.49999785	No	
row_122	LGALS1	LGALS1	18926	-0.0531720295548439	-0.5070783	No	
row_123	FOXN3	FOXN3	19085	-0.05794692039489746	-0.5120445	No	
row_124	PMAIP1	PMAIP1	19107	-0.05839572474360466	-0.5113329	No	
row_125	FOSL2	FOSL2	19180	-0.060900814831256866	-0.5126627	No	
row_126	PLCB1	PLCB1	19196	-0.06122272089123726	-0.51162654	No	
row_127	ACTN4	ACTN4	19250	-0.06328830122947693	-0.51210594	No	
row_128	TRAM2	TRAM2	19266	-0.0637020692229271	-0.51100266	No	
row_129	SERINC3	SERINC3	19317	-0.06545349210500717	-0.51129943	No	
row_130	PARVA	PARVA	19372	-0.06719885021448135	-0.5117144	No	
row_131	CAV2	CAV2	19408	-0.06885969638824463	-0.5112987	No	
row_132	VCL	VCL	19438	-0.06970079988241196	-0.51061213	No	
row_133	PXN	PXN	19583	-0.07463159412145615	-0.5145479	No	
row_134	IMPAD1	IMPAD1	19595	-0.07512891292572021	-0.5129701	No	
row_135	KLHL21	KLHL21	19631	-0.07680565863847733	-0.51233935	No	
row_136	FURIN	FURIN	19684	-0.07891473919153214	-0.5123546	No	
row_137	TAPBP	TAPBP	19699	-0.07945480197668076	-0.5107838	No	
row_138	ATP1A1	ATP1A1	19740	-0.08128982782363892	-0.5102385	No	
row_139	WDR1	WDR1	19790	-0.0837160125374794	-0.5099998	No	
row_140	PLP2	PLP2	19799	-0.08403250575065613	-0.508057	No	
row_141	LPP	LPP	19943	-0.09068263322114944	-0.51151717	No	
row_142	CD44	CD44	19954	-0.09123262763023376	-0.50946224	No	
row_143	ZBTB38	ZBTB38	19975	-0.09243252128362656	-0.5077884	No	
row_144	SQSTM1	SQSTM1	20077	-0.09770621359348297	-0.50932163	No	
row_145	IER3	IER3	20182	-0.1023673415184021	-0.5108528	No	
row_146	ANXA4	ANXA4	20186	-0.10252498835325241	-0.50820285	No	
row_147	RBKS	RBKS	20507	-0.11731938272714615	-0.5182621	Yes	
row_148	SYNJ2	SYNJ2	20519	-0.117939293384552	-0.51552594	Yes	
row_149	ESYT1	ESYT1	20568	-0.12034402787685394	-0.5142548	Yes	
row_150	MYH9	MYH9	20636	-0.12438397109508514	-0.51366013	Yes	
row_151	RPS6KA4	RPS6KA4	20745	-0.13010112941265106	-0.51460636	Yes	
row_152	BAG3	BAG3	20851	-0.13796505331993103	-0.5152157	Yes	
row_153	SDC4	SDC4	20885	-0.13936960697174072	-0.5128095	Yes	
row_154	RNH1	RNH1	20892	-0.13990843296051025	-0.50927216	Yes	
row_155	MYO1C	MYO1C	20897	-0.14021669328212738	-0.5056437	Yes	
row_156	GSTA4	GSTA4	20940	-0.14504237473011017	-0.50345623	Yes	
row_157	KCND1	KCND1	20941	-0.14508967101573944	-0.49953058	Yes	
row_158	CRIM1	CRIM1	20947	-0.1461033970117569	-0.49578428	Yes	
row_159	UPP1	UPP1	21058	-0.15725338459014893	-0.49607852	Yes	
row_160	EMP1	EMP1	21196	-0.16985167562961578	-0.49714848	Yes	
row_161	FAH	FAH	21237	-0.17437463998794556	-0.49408463	Yes	
row_162	CAST	CAST	21363	-0.18951494991779327	-0.49412632	Yes	
row_163	PARP12	PARP12	21383	-0.19157953560352325	-0.4897285	Yes	
row_164	CRTAM	CRTAM	21490	-0.20251525938510895	-0.48863268	Yes	
row_165	LMNA	LMNA	21572	-0.21013180911540985	-0.48629692	Yes	
row_166	ANXA11	ANXA11	21579	-0.21103054285049438	-0.48083523	Yes	
row_167	SH2B3	SH2B3	21658	-0.21880190074443817	-0.47814083	Yes	
row_168	SHC1	SHC1	21741	-0.2301790416240692	-0.47530398	Yes	
row_169	SLC10A3	SLC10A3	21813	-0.2405255287885666	-0.47173232	Yes	
row_170	RAVER2	RAVER2	21909	-0.255481094121933	-0.4687485	Yes	
row_171	ACTN1	ACTN1	21926	-0.2574685513973236	-0.4624439	Yes	
row_172	BACE2	BACE2	22035	-0.27535486221313477	-0.45946	Yes	
row_173	P4HA2	P4HA2	22070	-0.2807678282260895	-0.45326936	Yes	
row_174	NT5E	NT5E	22108	-0.28668081760406494	-0.4470428	Yes	
row_175	COL6A2	COL6A2	22117	-0.28728964924812317	-0.4396005	Yes	
row_176	RIN1	RIN1	22120	-0.28754863142967224	-0.43190303	Yes	
row_177	ANPEP	ANPEP	22140	-0.2917936444282532	-0.42479378	Yes	
row_178	TNFRSF12A	TNFRSF12A	22148	-0.2929430902004242	-0.41715714	Yes	
row_179	PRSS23	PRSS23	22159	-0.2947459816932678	-0.4095958	Yes	
row_180	RAC2	RAC2	22161	-0.2948063015937805	-0.40166062	Yes	
row_181	PROCR	PROCR	22311	-0.32323068380355835	-0.39907688	Yes	
row_182	PTGER4	PTGER4	22332	-0.3286743462085724	-0.3910111	Yes	
row_183	COL18A1	COL18A1	22357	-0.3322761058807373	-0.38301325	Yes	
row_184	ANXA2	ANXA2	22374	-0.3343580961227417	-0.37462825	Yes	
row_185	IL11	IL11	23152	-0.39499562978744507	-0.39607358	Yes	
row_186	PLAUR	PLAUR	23251	-0.4076615571975708	-0.38909632	Yes	
row_187	AXL	AXL	23290	-0.41632896661758423	-0.37940326	Yes	
row_188	PHLDA2	PHLDA2	23371	-0.4372119903564453	-0.37088206	Yes	
row_189	PERP	PERP	23434	-0.45927467942237854	-0.36101952	Yes	
row_190	OLFML2B	OLFML2B	23440	-0.461581826210022	-0.34873736	Yes	
row_191	ITGA3	ITGA3	23486	-0.47731921076774597	-0.33768356	Yes	
row_192	S100A11	S100A11	23510	-0.4869850277900696	-0.32545844	Yes	
row_193	PQLC3	PQLC3	23524	-0.4912012815475464	-0.3127057	Yes	
row_194	AHNAK	AHNAK	23609	-0.5311175584793091	-0.30180913	Yes	
row_195	MICAL2	MICAL2	23614	-0.5322115421295166	-0.2875746	Yes	
row_196	MYOF	MYOF	23756	-0.6188753843307495	-0.2766608	Yes	
row_197	CYB561	CYB561	23857	-0.6413235664367676	-0.2634441	Yes	
row_198	IL18R1	IL18R1	23880	-0.6496619582176208	-0.24677609	Yes	
row_199	FADS3	FADS3	23982	-0.7176485657691956	-0.23153561	Yes	
row_200	MET	MET	24021	-0.7561758160591125	-0.21264736	Yes	
row_201	TPM2	TPM2	24050	-0.7882716059684753	-0.19247717	Yes	
row_202	CAV1	CAV1	24167	-1.0073903799057007	-0.17001751	Yes	
row_203	FHL2	FHL2	24205	-1.0895062685012817	-0.14206904	Yes	
row_204	SEMA4F	SEMA4F	24247	-1.1922651529312134	-0.11150565	Yes	
row_205	EPHA2	EPHA2	24249	-1.2005819082260132	-0.07906305	Yes	
row_206	S100A6	S100A6	24307	-1.4233005046844482	-0.042910248	Yes	
row_207	GLT8D2	GLT8D2	24346	-1.708219289779663	0.0017372939	Yes	
