NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TK1	TK1	2978	0.18759699165821075	-0.039705016	Yes	
row_1	CENPM	CENPM	3532	0.13866357505321503	-0.0013983455	Yes	
row_2	CENPK	CENPK	3587	0.1340460181236267	0.05535952	Yes	
row_3	AURKB	AURKB	3645	0.1310279220342636	0.11066642	Yes	
row_4	HIST1H4C	HIST1H4C	3778	0.12239671498537064	0.15909739	Yes	
row_5	GMNN	GMNN	3968	0.11249095946550369	0.20083055	Yes	
row_6	PKMYT1	PKMYT1	4109	0.10614369809627533	0.24178252	Yes	
row_7	ASF1B	ASF1B	4135	0.10528922826051712	0.287079	Yes	
row_8	RAD51AP1	RAD51AP1	4202	0.10221686959266663	0.32934088	Yes	
row_9	CDC45	CDC45	4300	0.09829897433519363	0.36860654	Yes	
row_10	RRM1	RRM1	4373	0.09461291879415512	0.4072767	Yes	
row_11	MELK	MELK	4465	0.08995867520570755	0.4431193	Yes	
row_12	CDCA5	CDCA5	4468	0.08988834172487259	0.48258418	Yes	
row_13	GINS2	GINS2	4513	0.08782511204481125	0.51941735	Yes	
row_14	RRM2	RRM2	4869	0.07610706239938736	0.53832924	Yes	
row_15	MCM4	MCM4	4896	0.07522306591272354	0.5703569	Yes	
row_16	DUT	DUT	5128	0.0690031573176384	0.5912333	Yes	
row_17	FEN1	FEN1	5222	0.06656160950660706	0.6167001	Yes	
row_18	RNASEH2A	RNASEH2A	5285	0.06483875215053558	0.6426814	Yes	
row_19	CKS1B	CKS1B	5304	0.06438034027814865	0.6702671	Yes	
row_20	MCM3	MCM3	5358	0.06292250752449036	0.6957748	Yes	
row_21	TMEM106C	TMEM106C	6333	0.04486920312047005	0.67553496	No	
row_22	PCNA	PCNA	6398	0.043939292430877686	0.6922393	No	
row_23	MCM7	MCM7	7054	0.03492291644215584	0.68071777	No	
row_24	CCNE2	CCNE2	7577	0.02856985479593277	0.67186046	No	
row_25	ZWINT	ZWINT	7650	0.027658676728606224	0.6810736	No	
row_26	MCM2	MCM2	9074	0.013498970307409763	0.62860197	No	
