NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSRC1	PSRC1	2925	0.19223269820213318	-0.06182433	Yes	
row_1	MXD3	MXD3	3136	0.17259572446346283	-0.018084658	Yes	
row_2	CDCA3	CDCA3	3485	0.1414414495229721	0.01053427	Yes	
row_3	CCNB2	CCNB2	3487	0.1413293331861496	0.053372618	Yes	
row_4	CKAP2	CKAP2	4076	0.10781370848417282	0.061930574	Yes	
row_5	PLK1	PLK1	4116	0.1059223935008049	0.09246554	Yes	
row_6	TROAP	TROAP	4121	0.10574914515018463	0.12438561	Yes	
row_7	CCNA2	CCNA2	4340	0.09604408591985703	0.14457084	Yes	
row_8	CKAP2L	CKAP2L	4355	0.09552723914384842	0.17297882	Yes	
row_9	KIF20A	KIF20A	4425	0.09179109334945679	0.19799404	Yes	
row_10	BUB1B	BUB1B	4448	0.09065014123916626	0.22459368	Yes	
row_11	HMGB3	HMGB3	4552	0.08607955276966095	0.24647944	Yes	
row_12	BUB1	BUB1	4569	0.08538776636123657	0.27172893	Yes	
row_13	KIF11	KIF11	4575	0.08520741760730743	0.29737556	Yes	
row_14	KIF2C	KIF2C	4604	0.08416624367237091	0.32176152	Yes	
row_15	FOXM1	FOXM1	4655	0.08253735303878784	0.3447496	Yes	
row_16	TTK	TTK	4694	0.08134143799543381	0.36786777	Yes	
row_17	CDC20	CDC20	4735	0.08009294420480728	0.39052498	Yes	
row_18	TACC3	TACC3	4761	0.07954997569322586	0.41363358	Yes	
row_19	NCAPD2	NCAPD2	4781	0.07901257276535034	0.43682563	Yes	
row_20	RACGAP1	RACGAP1	5020	0.07181697338819504	0.4488388	Yes	
row_21	KNSTRN	KNSTRN	5053	0.07086621969938278	0.46902522	Yes	
row_22	ECT2	ECT2	5071	0.07052525132894516	0.48972437	Yes	
row_23	CCNB1	CCNB1	5111	0.06928633153438568	0.5091439	Yes	
row_24	KIFC1	KIFC1	5151	0.06831637024879456	0.5282692	Yes	
row_25	SPAG5	SPAG5	5159	0.06806602329015732	0.5486329	Yes	
row_26	CENPF	CENPF	5296	0.06452454626560211	0.5626234	Yes	
row_27	CDCA8	CDCA8	5365	0.0627407655119896	0.57886577	Yes	
row_28	TMPO	TMPO	5453	0.06133509427309036	0.5939013	Yes	
row_29	RANGAP1	RANGAP1	5488	0.060374047607183456	0.6108222	Yes	
row_30	OIP5	OIP5	5872	0.052726875990629196	0.6110874	Yes	
row_31	SMC4	SMC4	5904	0.052130211144685745	0.6256304	Yes	
row_32	AURKA	AURKA	6074	0.049383535981178284	0.6336715	Yes	
row_33	TUBB4B	TUBB4B	6234	0.04672772437334061	0.6413176	Yes	
row_34	REEP4	REEP4	6561	0.041499052196741104	0.6405176	Yes	
row_35	H2AFZ	H2AFZ	6819	0.037964288145303726	0.64147943	Yes	
row_36	ARHGAP11A	ARHGAP11A	6865	0.037225767970085144	0.65092534	Yes	
row_37	CDC25B	CDC25B	6869	0.037188440561294556	0.6620851	Yes	
row_38	GPSM2	GPSM2	6973	0.035804200917482376	0.66871727	Yes	
row_39	KPNA2	KPNA2	7042	0.035020094364881516	0.6765492	Yes	
row_40	MZT1	MZT1	7224	0.03291255235671997	0.6791001	Yes	
row_41	ANP32E	ANP32E	8103	0.0226327795535326	0.649902	No	
row_42	ARL6IP1	ARL6IP1	16079	-0.011406340636312962	0.32578003	No	
row_43	TUBA1C	TUBA1C	18839	-0.05102439597249031	0.22793165	No	
