NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MGP	MGP	163	0.7610816359519958	0.10430435	Yes	
row_1	C3	C3	228	0.6597525477409363	0.19789666	Yes	
row_2	IGFBP7	IGFBP7	470	0.5396952629089355	0.26670945	Yes	
row_3	SERPING1	SERPING1	497	0.5250215530395508	0.34221283	Yes	
row_4	EFEMP1	EFEMP1	2632	0.23197853565216064	0.28839612	No	
row_5	GFPT2	GFPT2	3109	0.1747811883687973	0.29433626	No	
row_6	TIMP1	TIMP1	3528	0.1389443576335907	0.297432	No	
row_7	APOE	APOE	5860	0.0529065877199173	0.20940737	No	
row_8	TNFRSF1A	TNFRSF1A	6759	0.038785822689533234	0.17818066	No	
row_9	PRDX6	PRDX6	6909	0.03671054169535637	0.17741483	No	
row_10	S100A16	S100A16	8087	0.022769493982195854	0.13239291	No	
row_11	S100A10	S100A10	8879	0.01523577980697155	0.10212636	No	
row_12	GSN	GSN	9091	0.013346190564334393	0.09540646	No	
row_13	TAGLN2	TAGLN2	9367	0.011100689880549908	0.0857304	No	
row_14	ANXA1	ANXA1	10276	0.0030807126313447952	0.048885584	No	
row_15	SOD2	SOD2	14901	-5.098715773783624E-4	-0.14096078	No	
row_16	SERPINE1	SERPINE1	15830	-0.008923257701098919	-0.17777495	No	
row_17	EMP3	EMP3	16762	-0.01830560527741909	-0.21334398	No	
row_18	CTSB	CTSB	17332	-0.025154605507850647	-0.23304577	No	
row_19	RCAN1	RCAN1	17353	-0.025386465713381767	-0.23016477	No	
row_20	NPC2	NPC2	17773	-0.031104356050491333	-0.24283789	No	
row_21	WWTR1	WWTR1	18020	-0.03471129760146141	-0.24787937	No	
row_22	CLIC4	CLIC4	18121	-0.03643644601106644	-0.24667262	No	
row_23	CLIC1	CLIC1	18140	-0.036851540207862854	-0.24203734	No	
row_24	VIM	VIM	18758	-0.04927866905927658	-0.26019228	No	
row_25	TUBA1C	TUBA1C	18839	-0.05102439597249031	-0.2560365	No	
row_26	IFITM3	IFITM3	18918	-0.05297442153096199	-0.25151417	No	
row_27	LGALS1	LGALS1	18926	-0.0531720295548439	-0.24404685	No	
row_28	GJA1	GJA1	19177	-0.060794953256845474	-0.24544849	No	
row_29	MGST1	MGST1	19380	-0.06754675507545471	-0.24389389	No	
row_30	NAMPT	NAMPT	19644	-0.07732415944337845	-0.24341878	No	
row_31	PLP2	PLP2	19799	-0.08403250575065613	-0.23748836	No	
row_32	CD44	CD44	19954	-0.09123262763023376	-0.23050784	No	
row_33	EMP1	EMP1	21196	-0.16985167562961578	-0.25670734	No	
row_34	A2M	A2M	21880	-0.250982403755188	-0.2481558	No	
row_35	NNMT	NNMT	21893	-0.2528443932533264	-0.21177283	No	
row_36	ACTN1	ACTN1	21926	-0.2574685513973236	-0.1755369	No	
row_37	FN1	FN1	22337	-0.3293159306049347	-0.144348	No	
row_38	ANXA2	ANXA2	22374	-0.3343580961227417	-0.097062476	No	
row_39	LGALS3	LGALS3	22395	-0.33961817622184753	-0.048352644	No	
row_40	SPP1	SPP1	23241	-0.4052594006061554	-0.023954507	No	
row_41	S100A11	S100A11	23510	-0.4869850277900696	0.036061842	No	
