NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYT1	MYT1	772	0.42683157324790955	0.06826769	Yes	
row_1	TNR	TNR	1688	0.2579786479473114	0.091107346	Yes	
row_2	NXPH1	NXPH1	2700	0.2214748114347458	0.10145214	Yes	
row_3	FXYD6	FXYD6	2737	0.2155599594116211	0.15046729	Yes	
row_4	DLL3	DLL3	2822	0.20411719381809235	0.19483002	Yes	
row_5	NEU4	NEU4	3313	0.15817782282829285	0.21175195	Yes	
row_6	BTG2	BTG2	3497	0.14090463519096375	0.23724017	Yes	
row_7	LRRN1	LRRN1	3503	0.1404421627521515	0.2699328	Yes	
row_8	TSPAN13	TSPAN13	3558	0.13588643074035645	0.29954523	Yes	
row_9	SEZ6	SEZ6	3567	0.13547085225582123	0.3309501	Yes	
row_10	TUBB3	TUBB3	3898	0.11566387861967087	0.34448656	Yes	
row_11	TAGLN3	TAGLN3	3972	0.11239548772573471	0.36781576	Yes	
row_12	DLL1	DLL1	3982	0.1118614450097084	0.39364913	Yes	
row_13	SHD	SHD	4071	0.10804126411676407	0.4153421	Yes	
row_14	SOX4	SOX4	4269	0.09963466972112656	0.43058783	Yes	
row_15	OLIG1	OLIG1	4434	0.0915137529373169	0.445287	Yes	
row_16	SERINC5	SERINC5	4611	0.08380863070487976	0.45768824	Yes	
row_17	TUBA1A	TUBA1A	4671	0.08197364956140518	0.47446638	Yes	
row_18	MLLT11	MLLT11	4717	0.08056114614009857	0.49148878	Yes	
row_19	CHD7	CHD7	5075	0.07031269371509552	0.49329266	Yes	
row_20	PFN2	PFN2	5122	0.06907264143228531	0.50758284	Yes	
row_21	HN1	HN1	5391	0.062231745570898056	0.5111502	Yes	
row_22	ASCL1	ASCL1	5543	0.059179749339818954	0.5188093	Yes	
row_23	ELAVL4	ELAVL4	5801	0.054028987884521484	0.5209071	Yes	
row_24	DBN1	DBN1	5806	0.05387938395142555	0.5333638	Yes	
row_25	GRIK2	GRIK2	5874	0.05268792808055878	0.5429532	Yes	
row_26	SEZ6L	SEZ6L	5910	0.05207197368144989	0.55371296	Yes	
row_27	STMN1	STMN1	6116	0.04869021847844124	0.5566965	Yes	
row_28	MAP2	MAP2	6412	0.04369606077671051	0.5548126	Yes	
row_29	SOX11	SOX11	6421	0.04352717474102974	0.56468004	Yes	
row_30	HES6	HES6	6813	0.03803408145904541	0.55752593	No	
row_31	MEST	MEST	7061	0.034867335110902786	0.55554605	No	
row_32	MARCKSL1	MARCKSL1	7231	0.03283020108938217	0.55629337	No	
row_33	PTPRS	PTPRS	7371	0.031019302085042	0.557849	No	
row_34	LMF1	LMF1	7824	0.025833196938037872	0.5453308	No	
row_35	BCAN	BCAN	7937	0.02459113486111164	0.5464899	No	
row_36	ABAT	ABAT	8586	0.01795859821140766	0.5240749	No	
row_37	GLCCI1	GLCCI1	8836	0.01572605036199093	0.517529	No	
row_38	BEX1	BEX1	9845	0.00670778239145875	0.47768867	No	
row_39	NPPA	NPPA	11467	0.0	0.41109324	No	
row_40	PCBP4	PCBP4	15628	-0.006975559517741203	0.24182217	No	
row_41	HIP1	HIP1	16321	-0.013790659606456757	0.21662319	No	
row_42	AMOTL2	AMOTL2	16968	-0.020767569541931152	0.19494833	No	
row_43	TCF12	TCF12	17083	-0.022069843485951424	0.19543466	No	
row_44	ELMO1	ELMO1	19587	-0.07475458830595016	0.11011503	No	
row_45	ETV1	ETV1	20337	-0.10851211845874786	0.10476247	No	
row_46	SCG3	SCG3	20572	-0.12057259678840637	0.123392746	No	
row_47	DCX	DCX	20918	-0.14232350885868073	0.14255789	No	
