NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMP2	PMP2	154	0.771353006362915	0.09637421	Yes	
row_1	NKAIN4	NKAIN4	544	0.4959200620651245	0.14642268	Yes	
row_2	OMG	OMG	598	0.47274816036224365	0.20718871	Yes	
row_3	TNR	TNR	1688	0.2579786479473114	0.19680117	Yes	
row_4	FGF12	FGF12	2037	0.24914059042930603	0.21567687	Yes	
row_5	LHFPL3	LHFPL3	2627	0.23242008686065674	0.22242618	Yes	
row_6	FXYD6	FXYD6	2737	0.2155599594116211	0.24664886	Yes	
row_7	NLGN3	NLGN3	2890	0.19693146646022797	0.26662487	Yes	
row_8	PLLP	PLLP	3009	0.18389317393302917	0.28626162	Yes	
row_9	ALCAM	ALCAM	3045	0.18084099888801575	0.3089016	Yes	
row_10	GPR37L1	GPR37L1	3111	0.17454983294010162	0.32947156	Yes	
row_11	THY1	THY1	3146	0.17121291160583496	0.3508707	Yes	
row_12	SCRG1	SCRG1	3156	0.1702326089143753	0.37316632	Yes	
row_13	FABP5	FABP5	3300	0.15884621441364288	0.38844123	Yes	
row_14	VCAN	VCAN	3309	0.15832820534706116	0.40919295	Yes	
row_15	NEU4	NEU4	3313	0.15817782282829285	0.43013	Yes	
row_16	BCAS1	BCAS1	3907	0.11520014703273773	0.42110795	No	
row_17	CNTN1	CNTN1	4306	0.09799661487340927	0.41780588	No	
row_18	OLIG1	OLIG1	4434	0.0915137529373169	0.42477322	No	
row_19	SERINC5	SERINC5	4611	0.08380863070487976	0.42870176	No	
row_20	TMEM206	TMEM206	5138	0.06870802491903305	0.4162419	No	
row_21	RTKN	RTKN	5243	0.06595110893249512	0.4207506	No	
row_22	PLP1	PLP1	5486	0.06038932502269745	0.41884977	No	
row_23	CNP	CNP	5625	0.057373687624931335	0.4208197	No	
row_24	LIMA1	LIMA1	5868	0.052731167525053024	0.41789925	No	
row_25	DBI	DBI	6266	0.0460883192718029	0.407727	No	
row_26	PGRMC1	PGRMC1	6964	0.03592563420534134	0.3838778	No	
row_27	PHYHIPL	PHYHIPL	7724	0.026951398700475693	0.3562868	No	
row_28	LMF1	LMF1	7824	0.025833196938037872	0.35565946	No	
row_29	BCAN	BCAN	7937	0.02459113486111164	0.3543327	No	
row_30	PCDHGC3	PCDHGC3	8624	0.017515404149889946	0.32848415	No	
row_31	SIRT2	SIRT2	9070	0.01355191320180893	0.31200808	No	
row_32	CADM2	CADM2	9568	0.009200419299304485	0.29281652	No	
row_33	PTPRZ1	PTPRZ1	10361	0.0023038494400680065	0.26058823	No	
row_34	RNF13	RNF13	15654	-0.007257676217705011	0.044161443	No	
row_35	GPM6B	GPM6B	15681	-0.007613370660692453	0.044107042	No	
row_36	GPR17	GPR17	17695	-0.029855387285351753	-0.034611095	No	
row_37	PSAT1	PSAT1	17892	-0.03276621177792549	-0.03830009	No	
row_38	TNS3	TNS3	18333	-0.04039291664958	-0.050997056	No	
row_39	P2RX7	P2RX7	18631	-0.04629804566502571	-0.057033416	No	
row_40	RAB31	RAB31	19332	-0.06582242250442505	-0.0770253	No	
row_41	TTYH1	TTYH1	19522	-0.07248807698488235	-0.07513804	No	
row_42	LPPR1	LPPR1	20919	-0.14236485958099365	-0.1135302	No	
row_43	FIBIN	FIBIN	21496	-0.20338140428066254	-0.11011317	No	
row_44	APOD	APOD	24051	-0.7964752912521362	-0.108985074	No	
row_45	HRASLS	HRASLS	24130	-0.9222230911254883	0.010598525	No	
