NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRGN	SRGN	4	1.749646544456482	0.09956002	No	
row_1	MMP16	MMP16	479	0.5363256335258484	0.11058189	No	
row_2	PNMA2	PNMA2	600	0.4723949134349823	0.13255842	No	
row_3	ST3GAL6	ST3GAL6	1186	0.3583236634731293	0.12885717	No	
row_4	RASL12	RASL12	1284	0.3327209949493408	0.14382118	No	
row_5	AKAP12	AKAP12	1492	0.28820472955703735	0.15171161	No	
row_6	CSPG4	CSPG4	1632	0.26652994751930237	0.16117087	No	
row_7	FRMPD1	FRMPD1	2448	0.24049705266952515	0.1412689	No	
row_8	NLGN3	NLGN3	2890	0.19693146646022797	0.13430713	No	
row_9	PLLP	PLLP	3009	0.18389317393302917	0.13992235	No	
row_10	VEGFC	VEGFC	3115	0.1741524338722229	0.14551848	No	
row_11	CSPG5	CSPG5	3162	0.16993127763271332	0.1533071	No	
row_12	NINJ2	NINJ2	3490	0.14115390181541443	0.14786738	No	
row_13	CHST11	CHST11	3495	0.14095978438854218	0.15573674	No	
row_14	MAP3K1	MAP3K1	3584	0.13438540697097778	0.15976733	No	
row_15	TUBB2B	TUBB2B	3621	0.13205160200595856	0.1658093	No	
row_16	ARC	ARC	3849	0.11809708178043365	0.1631793	No	
row_17	SLC38A3	SLC38A3	3865	0.11743704974651337	0.16925429	No	
row_18	RGS20	RGS20	3930	0.11438702791929245	0.17313476	No	
row_19	NOVA1	NOVA1	3979	0.1121235117316246	0.17754602	No	
row_20	RAPGEF4	RAPGEF4	4349	0.09566044807434082	0.16778128	No	
row_21	GAB1	GAB1	4417	0.09226614236831665	0.1702772	No	
row_22	CCDC28B	CCDC28B	4474	0.08948618173599243	0.17306827	No	
row_23	PTGS2	PTGS2	4602	0.08420658856630325	0.17263049	No	
row_24	VASH1	VASH1	4636	0.08308710157871246	0.17600533	No	
row_25	POLR2F	POLR2F	4669	0.08202430605888367	0.17936085	No	
row_26	TUBA1A	TUBA1A	4671	0.08197364956140518	0.18399188	No	
