NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL3	BCL3	167	0.7564135193824768	0.024165653	No	
row_1	HK3	HK3	254	0.6170651316642761	0.045948684	No	
row_2	DEF6	DEF6	278	0.6066850423812866	0.06990074	No	
row_3	ICAM1	ICAM1	511	0.5167181491851807	0.08155143	No	
row_4	LIF	LIF	668	0.4452678859233856	0.0934002	No	
row_5	VWA1	VWA1	1299	0.3289277255535126	0.08094951	No	
row_6	OSMR	OSMR	1318	0.3235495388507843	0.09348713	No	
row_7	SOCS3	SOCS3	1528	0.28352728486061096	0.096514635	No	
row_8	SALL4	SALL4	2009	0.2500050365924835	0.08700349	No	
row_9	JUNB	JUNB	2433	0.24274788796901703	0.07954241	No	
row_10	PLAU	PLAU	2866	0.19922877848148346	0.0699245	No	
row_11	FGFRL1	FGFRL1	3382	0.15141162276268005	0.05492522	No	
row_12	TIMP1	TIMP1	3528	0.1389443576335907	0.054655015	No	
row_13	C1QTNF1	C1QTNF1	3582	0.13445104658603668	0.057989996	No	
row_14	CECR2	CECR2	3613	0.13216185569763184	0.06217842	No	
row_15	THBD	THBD	3821	0.11942040920257568	0.058553062	No	
row_16	RRAS	RRAS	4145	0.10492359846830368	0.049554545	No	
row_17	HSD3B7	HSD3B7	4159	0.10437813401222229	0.05330293	No	
row_18	SLC16A3	SLC16A3	4187	0.10289608687162399	0.056413807	No	
row_19	MMP14	MMP14	4214	0.10190092027187347	0.059525035	No	
row_20	PLEKHF1	PLEKHF1	4218	0.1016966700553894	0.063575275	No	
row_21	SBNO2	SBNO2	4240	0.1007080227136612	0.0668435	No	
row_22	SHROOM3	SHROOM3	4244	0.10043342411518097	0.0708419	No	
row_23	PVRL2	PVRL2	4406	0.09339950978755951	0.068043396	No	
row_24	IFITM2	IFITM2	4895	0.07529421150684357	0.051032275	No	
row_25	BHLHE40	BHLHE40	4962	0.07352164387702942	0.051331114	No	
row_26	LRRC29	LRRC29	4972	0.07334960997104645	0.053970795	No	
row_27	TRIM47	TRIM47	5077	0.07028669118881226	0.0525716	No	
row_28	MVP	MVP	5446	0.06143619865179062	0.039934672	No	
row_29	GGN	GGN	5759	0.05486723408102989	0.029334852	No	
row_30	PDGFA	PDGFA	6104	0.04879181087017059	0.017167566	No	
row_31	EPAS1	EPAS1	6142	0.048066265881061554	0.017616218	No	
row_32	HOMER3	HOMER3	6236	0.04667036607861519	0.015700867	No	
row_33	ITGA5	ITGA5	6940	0.036308176815509796	-0.011766428	No	
row_34	LRRC32	LRRC32	7635	0.02780839242041111	-0.03921185	No	
row_35	LPAR1	LPAR1	7985	0.024051077663898468	-0.052600496	No	
row_36	TRABD	TRABD	8748	0.016542484983801842	-0.08330929	No	
row_37	TWF1	TWF1	8906	0.015020472928881645	-0.089159854	No	
row_38	STEAP3	STEAP3	9084	0.013403612188994884	-0.095900595	No	
row_39	SLC12A9	SLC12A9	9937	0.005953229498118162	-0.13075121	No	
row_40	NRP2	NRP2	9966	0.005685868207365274	-0.1316712	No	
row_41	SGSH	SGSH	10223	0.0034946405794471502	-0.14207274	No	
row_42	CD151	CD151	10556	7.004208746366203E-4	-0.15571949	No	
row_43	EFEMP2	EFEMP2	15731	-0.008045799098908901	-0.3685128	No	
row_44	SERPINE1	SERPINE1	15830	-0.008923257701098919	-0.37218332	No	
row_45	COL4A1	COL4A1	16204	-0.012637908570468426	-0.387029	No	
row_46	SERPINH1	SERPINH1	16443	-0.01497019361704588	-0.3962181	No	
row_47	RRBP1	RRBP1	16591	-0.016350390389561653	-0.40160215	No	
row_48	NCLN	NCLN	16751	-0.018227681517601013	-0.40740347	No	
row_49	EMP3	EMP3	16762	-0.01830560527741909	-0.40706408	No	
row_50	TPP1	TPP1	16988	-0.020922958850860596	-0.4154734	No	
row_51	TTC38	TTC38	17107	-0.022414496168494225	-0.41941404	No	
row_52	COL4A2	COL4A2	17524	-0.027327539399266243	-0.43542802	No	
row_53	PMEPA1	PMEPA1	17673	-0.02955196611583233	-0.44031146	No	
row_54	RHOJ	RHOJ	17845	-0.03209972381591797	-0.44603774	No	
row_55	RAB34	RAB34	17979	-0.034086085855960846	-0.45011723	No	
row_56	FLT1	FLT1	18210	-0.038142137229442596	-0.45802578	No	
row_57	MAP2K3	MAP2K3	18641	-0.04652031883597374	-0.47382873	No	
row_58	ECE1	ECE1	18718	-0.04835863411426544	-0.47497454	No	
row_59	FLNA	FLNA	18719	-0.04836002364754677	-0.47298977	No	
row_60	PDGFRL	PDGFRL	18743	-0.0488702617585659	-0.47193146	No	
row_61	FAM20C	FAM20C	18775	-0.04979000613093376	-0.4711649	No	
row_62	ANGPTL4	ANGPTL4	18785	-0.04999782517552376	-0.4694836	No	
row_63	IFITM3	IFITM3	18918	-0.05297442153096199	-0.4727467	No	
