NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABRA3	GABRA3	52	1.0057992935180664	0.025180487	Yes	
row_1	RASGEF1C	RASGEF1C	90	0.8687876462936401	0.04725831	Yes	
row_2	CNTN3	CNTN3	197	0.6998102068901062	0.061890174	Yes	
row_3	ARPP21	ARPP21	216	0.6720524430274963	0.07940788	Yes	
row_4	FAIM2	FAIM2	439	0.5618599057197571	0.08549275	Yes	
row_5	MMP16	MMP16	479	0.5363256335258484	0.09845356	Yes	
row_6	NKAIN4	NKAIN4	544	0.4959200620651245	0.10928227	Yes	
row_7	OMG	OMG	598	0.47274816036224365	0.119936325	Yes	
row_8	GRIA4	GRIA4	733	0.43194103240966797	0.12613092	Yes	
row_9	PDK4	PDK4	1050	0.4005345106124878	0.12394364	Yes	
row_10	DUSP26	DUSP26	1078	0.39327043294906616	0.13351347	Yes	
row_11	C1QL1	C1QL1	1134	0.3743649125099182	0.14141133	Yes	
row_12	GABBR2	GABBR2	1158	0.3657345473766327	0.15039837	Yes	
row_13	DPP10	DPP10	1167	0.36377808451652527	0.15995272	Yes	
row_14	SLITRK5	SLITRK5	1234	0.34641316533088684	0.166636	Yes	
row_15	HEY2	HEY2	1241	0.34423592686653137	0.17574205	Yes	
row_16	NAP1L3	NAP1L3	1289	0.3314393162727356	0.18280438	Yes	
row_17	FGF13	FGF13	1375	0.3107868731021881	0.18773364	Yes	
row_18	FGF14	FGF14	1379	0.3100128173828125	0.19603379	Yes	
row_19	USH1C	USH1C	1392	0.3070470988750458	0.20388107	Yes	
row_20	SSTR1	SSTR1	1451	0.2961932122707367	0.20953062	Yes	
row_21	SGCG	SGCG	1594	0.2743636667728424	0.2111123	Yes	
row_22	RASL10A	RASL10A	1643	0.2644125819206238	0.2163119	Yes	
row_23	TMEM100	TMEM100	1659	0.26221421360969543	0.22281681	Yes	
row_24	DSCAM	DSCAM	1671	0.26068490743637085	0.2294456	Yes	
row_25	RPRM	RPRM	1777	0.2520533800125122	0.23195155	Yes	
row_26	RIPPLY2	RIPPLY2	2008	0.2500050365924835	0.2292312	Yes	
row_27	FGF12	FGF12	2037	0.24914059042930603	0.23484309	Yes	
row_28	HS3ST4	HS3ST4	2062	0.2488699108362198	0.24061309	Yes	
row_29	P2RY13	P2RY13	2253	0.24505357444286346	0.23941278	Yes	
row_30	GAD1	GAD1	2618	0.2334037572145462	0.23069839	Yes	
row_31	OPCML	OPCML	2646	0.22972960770130157	0.23582418	Yes	
row_32	NDRG2	NDRG2	2656	0.2284524291753769	0.24165983	Yes	
row_33	FXYD6	FXYD6	2737	0.2155599594116211	0.24420823	Yes	
row_34	SNRPN	SNRPN	2755	0.2131354808807373	0.24929674	Yes	
row_35	DLL3	DLL3	2822	0.20411719381809235	0.2521133	Yes	
row_36	DSCAML1	DSCAML1	2837	0.2020360678434372	0.25702432	Yes	
row_37	LUZP2	LUZP2	3016	0.18332931399345398	0.25464308	Yes	
row_38	RGS9	RGS9	3049	0.1805732399225235	0.25822628	Yes	
row_39	LGR5	LGR5	3072	0.1780414581298828	0.26215434	Yes	
row_40	GNAL	GNAL	3174	0.16877657175064087	0.26256278	Yes	
row_41	KCTD4	KCTD4	3184	0.16816478967666626	0.26676017	Yes	
row_42	GPR158	GPR158	3196	0.16715474426746368	0.2708474	Yes	
row_43	CMTM5	CMTM5	3278	0.16031324863433838	0.27185318	Yes	
row_44	SLC1A1	SLC1A1	3310	0.15831510722637177	0.2748729	Yes	
row_45	NEU4	NEU4	3313	0.15817782282829285	0.27908847	Yes	
row_46	PTGDS	PTGDS	3383	0.1512376070022583	0.28034398	Yes	
row_47	CECR6	CECR6	3596	0.1333373785018921	0.2751979	Yes	
row_48	FRY	FRY	3609	0.13267962634563446	0.27830693	Yes	
row_49	PDE2A	PDE2A	3648	0.13093112409114838	0.280293	Yes	
row_50	MN1	MN1	3669	0.1299687922000885	0.28299743	Yes	
row_51	TAL1	TAL1	3672	0.12984304130077362	0.28644302	Yes	
row_52	KSR2	KSR2	3673	0.12966443598270416	0.28996652	Yes	
row_53	DOK6	DOK6	3684	0.1290811449289322	0.2930605	Yes	
row_54	CBX7	CBX7	3708	0.1275283545255661	0.29557455	Yes	
row_55	EPHB1	EPHB1	3890	0.11603285372257233	0.29124054	Yes	
row_56	IL17D	IL17D	3905	0.11525580286979675	0.29379338	Yes	
row_57	DLL1	DLL1	3982	0.1118614450097084	0.29368934	Yes	
row_58	SHD	SHD	4071	0.10804126411676407	0.2929851	Yes	
row_59	PLEKHB1	PLEKHB1	4084	0.10729468613862991	0.29540434	Yes	
row_60	EHD3	EHD3	4183	0.1031806692481041	0.2941544	Yes	
row_61	CSMD3	CSMD3	4223	0.10152930021286011	0.2953001	Yes	
row_62	SMOC1	SMOC1	4249	0.10021931678056717	0.29698932	Yes	
row_63	SOX8	SOX8	4294	0.09875613451004028	0.29785284	Yes	
row_64	RUNDC3A	RUNDC3A	4296	0.09867262095212936	0.3004928	Yes	
row_65	CNTN1	CNTN1	4306	0.09799661487340927	0.30278346	Yes	
row_66	FUT9	FUT9	4325	0.09667518734931946	0.30466595	Yes	
row_67	GABRB3	GABRB3	4414	0.09275570511817932	0.30354634	Yes	
row_68	OLIG1	OLIG1	4434	0.0915137529373169	0.3052472	Yes	
row_69	SORBS1	SORBS1	4601	0.08427105098962784	0.30067056	Yes	
row_70	SOX6	SOX6	4622	0.08348020911216736	0.30211174	Yes	
row_71	GRID1	GRID1	4676	0.08184527605772018	0.30214345	Yes	
