NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PABPC4L	PABPC4L	1473	0.2916596829891205	-0.033684686	Yes	
row_1	TMEM79	TMEM79	2612	0.23462800681591034	-0.058844395	Yes	
row_2	TCF19	TCF19	3345	0.15552453696727753	-0.074600145	Yes	
row_3	SPC24	SPC24	3346	0.155164897441864	-0.060181327	Yes	
row_4	GINS1	GINS1	3568	0.1353941708803177	-0.05671989	Yes	
row_5	E2F7	E2F7	3583	0.13439317047595978	-0.044809055	Yes	
row_6	CENPK	CENPK	3587	0.1340460181236267	-0.03247653	Yes	
row_7	CENPL	CENPL	3653	0.13069793581962585	-0.023013726	Yes	
row_8	KIF14	KIF14	3707	0.12779656052589417	-0.013325323	Yes	
row_9	CHAF1B	CHAF1B	3801	0.12069635838270187	-0.005947422	Yes	
row_10	CCDC34	CCDC34	3819	0.11948619782924652	0.0044543725	Yes	
row_11	FANCI	FANCI	3900	0.11554741114377975	0.011890285	Yes	
row_12	NUF2	NUF2	3923	0.1145043894648552	0.021622801	Yes	
row_13	CENPI	CENPI	3927	0.11443586647510529	0.03213304	Yes	
row_14	CENPA	CENPA	3933	0.11430710554122925	0.042548776	Yes	
row_15	E2F8	E2F8	3939	0.11401261389255524	0.052937146	Yes	
row_16	DHFR	DHFR	4007	0.11100506782531738	0.060487438	Yes	
row_17	TIFA	TIFA	4022	0.11055754870176315	0.07018334	Yes	
row_18	WDHD1	WDHD1	4122	0.10571462661027908	0.07592144	Yes	
row_19	HMGB2	HMGB2	4169	0.10390005260705948	0.08367812	Yes	
row_20	CDC25C	CDC25C	4181	0.103279709815979	0.092821516	Yes	
row_21	RAD51AP1	RAD51AP1	4202	0.10221686959266663	0.101494744	Yes	
row_22	FBXO5	FBXO5	4285	0.09903652220964432	0.107313834	Yes	
row_23	KIF23	KIF23	4303	0.09821243584156036	0.11573875	Yes	
row_24	CCNA2	CCNA2	4340	0.09604408591985703	0.12317808	Yes	
row_25	MAD2L1	MAD2L1	4362	0.0952363982796669	0.13116138	Yes	
row_26	RRM1	RRM1	4373	0.09461291879415512	0.13954067	Yes	
row_27	ANKRD32	ANKRD32	4401	0.09362199157476425	0.14712633	Yes	
row_28	MELK	MELK	4465	0.08995867520570755	0.15288594	Yes	
row_29	CDC6	CDC6	4471	0.08970803022384644	0.1610158	Yes	
row_30	GINS2	GINS2	4513	0.08782511204481125	0.16748503	Yes	
row_31	NCAPH	NCAPH	4526	0.08733740448951721	0.17510572	Yes	
row_32	LMNB1	LMNB1	4531	0.08723700791597366	0.18304722	Yes	
row_33	CKS2	CKS2	4542	0.08649810403585434	0.19067244	Yes	
row_34	BUB1	BUB1	4569	0.08538776636123657	0.1975342	Yes	
row_35	CENPN	CENPN	4617	0.08373387157917023	0.20337565	Yes	
row_36	ASPM	ASPM	4651	0.08257970958948135	0.20968759	Yes	
row_37	TIMELESS	TIMELESS	4658	0.08242366462945938	0.21709928	Yes	
row_38	DLGAP5	DLGAP5	4672	0.08196514844894409	0.22417946	Yes	
row_39	BARD1	BARD1	4692	0.08137188851833344	0.23095693	Yes	
row_40	TTK	TTK	4694	0.08134143799543381	0.23847437	Yes	
row_41	ZWILCH	ZWILCH	4713	0.0806472972035408	0.24522576	Yes	
row_42	PLK4	PLK4	4736	0.08005952835083008	0.25175747	Yes	
row_43	PPIC	PPIC	4755	0.0796557068824768	0.2584167	Yes	
row_44	KIF18A	KIF18A	4798	0.07818412035703659	0.2639488	Yes	
row_45	HMMR	HMMR	4812	0.07772544771432877	0.270635	Yes	
row_46	PRIM2	PRIM2	4842	0.07677773386240005	0.27657288	Yes	
row_47	CENPE	CENPE	4861	0.07624530047178268	0.2829152	Yes	
row_48	RRM2	RRM2	4869	0.07610706239938736	0.28969863	Yes	
