NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADD2	ADD2	1620	0.2677934765815735	-0.0397921	No	
row_1	P2RY1	P2RY1	2806	0.2059529572725296	-0.06788912	No	
row_2	PIK3C2B	PIK3C2B	3165	0.16941474378108978	-0.06562104	No	
row_3	STMN3	STMN3	3187	0.16799023747444153	-0.049628172	No	
row_4	CACNG4	CACNG4	3254	0.16212640702724457	-0.036075484	No	
row_5	EFR3B	EFR3B	3358	0.1544491946697235	-0.024815738	No	
row_6	NSL1	NSL1	4628	0.08332173526287079	-0.06867487	No	
row_7	PDE4B	PDE4B	4637	0.0830349400639534	-0.060671903	No	
row_8	TUBA1A	TUBA1A	4671	0.08197364956140518	-0.0538042	No	
row_9	MEIS2	MEIS2	4936	0.07419455051422119	-0.057222877	No	
row_10	TMEM123	TMEM123	4964	0.07348527014255524	-0.050960038	No	
row_11	KLHL25	KLHL25	5271	0.06509878486394882	-0.057019755	No	
row_12	ING4	ING4	5308	0.0642673522233963	-0.05205225	No	
row_13	NCALD	NCALD	5373	0.06258070468902588	-0.048406202	No	
row_14	KCNA2	KCNA2	5971	0.05113527178764343	-0.06784191	No	
row_15	GAS1	GAS1	6287	0.04579158499836922	-0.07620937	No	
row_16	SV2A	SV2A	6410	0.04376377910375595	-0.07683825	No	
row_17	CDH4	CDH4	6583	0.04124045372009277	-0.07977786	No	
row_18	TNIP1	TNIP1	6598	0.0410015843808651	-0.076239645	No	
row_19	DZIP3	DZIP3	7098	0.03434246405959129	-0.09332768	No	
row_20	ZKSCAN3	ZKSCAN3	7223	0.032919738441705704	-0.09512701	No	
row_21	PURG	PURG	7423	0.030457405373454094	-0.100259714	No	
row_22	VPS72	VPS72	7454	0.030179640278220177	-0.098465845	No	
row_23	IBTK	IBTK	7487	0.029702963307499886	-0.09680211	No	
row_24	FABP7	FABP7	7789	0.02633628621697426	-0.10654571	No	
row_25	ELOVL5	ELOVL5	8157	0.02213996648788452	-0.119426325	No	
row_26	SALL1	SALL1	8184	0.021871505305171013	-0.11830154	No	
row_27	GPRC5B	GPRC5B	8329	0.02038782835006714	-0.12218139	No	
row_28	TMCO1	TMCO1	8361	0.01997646503150463	-0.12145252	No	
row_29	LPIN1	LPIN1	8537	0.018374573439359665	-0.12681007	No	
row_30	KLF12	KLF12	9262	0.01190301775932312	-0.15540867	No	
row_31	DNMT3A	DNMT3A	9277	0.011769328266382217	-0.15480378	No	
row_32	SRPK2	SRPK2	9480	0.010031890124082565	-0.16210954	No	
row_33	DUSP11	DUSP11	14883	-3.8898669299669564E-4	-0.3843659	No	
row_34	PCDH9	PCDH9	14905	-5.763812805525959E-4	-0.38517222	No	
row_35	HP1BP3	HP1BP3	14911	-6.600362248718739E-4	-0.38531175	No	
row_36	CRTC1	CRTC1	14997	-0.0015124122146517038	-0.38865778	No	
row_37	SCP2	SCP2	15035	-0.0018696595216169953	-0.38999274	No	
row_38	GOLPH3	GOLPH3	15455	-0.005474071484059095	-0.40668553	No	
row_39	HPS5	HPS5	15470	-0.0055566467344760895	-0.40670407	No	
row_40	CACNB2	CACNB2	15833	-0.008930949494242668	-0.4207044	No	
row_41	SSBP2	SSBP2	15933	-0.009785673581063747	-0.42379636	No	
row_42	LUZP1	LUZP1	16235	-0.012938294559717178	-0.43488437	No	
row_43	ERI3	ERI3	16242	-0.013038667850196362	-0.4338229	No	
row_44	UTP6	UTP6	16299	-0.013581674546003342	-0.43476447	No	
row_45	HIP1	HIP1	16321	-0.013790659606456757	-0.4342448	No	
row_46	UTY	UTY	16323	-0.013822573237121105	-0.43289894	No	
row_47	PSD3	PSD3	16397	-0.01451309397816658	-0.4344466	No	
row_48	EXTL3	EXTL3	16675	-0.017303649336099625	-0.44410896	No	
row_49	RAB11FIP2	RAB11FIP2	16790	-0.018626611679792404	-0.44693103	No	
row_50	RNMT	RNMT	16833	-0.01903262920677662	-0.44674954	No	
row_51	FZD3	FZD3	16912	-0.020061902701854706	-0.44794616	No	
row_52	RFX4	RFX4	16970	-0.020817402750253677	-0.44820282	No	
row_53	LRRFIP1	LRRFIP1	17105	-0.02240673452615738	-0.4514686	No	
row_54	ARL3	ARL3	17200	-0.02356724441051483	-0.45297188	No	
row_55	PTCD3	PTCD3	17275	-0.02447999268770218	-0.45356056	No	
row_56	KIF1B	KIF1B	17298	-0.024689961224794388	-0.45198834	No	
row_57	ATF7IP	ATF7IP	17357	-0.025423720479011536	-0.45182392	No	
row_58	TRIM37	TRIM37	17373	-0.025600546970963478	-0.4498723	No	
row_59	ATIC	ATIC	17456	-0.026465121656656265	-0.450591	No	
row_60	TLE1	TLE1	17472	-0.026648402214050293	-0.4485342	No	
row_61	RGS12	RGS12	17685	-0.029746631160378456	-0.4542732	No	
row_62	PBX1	PBX1	18242	-0.03883037343621254	-0.47325647	No	
row_63	SPATA6	SPATA6	18284	-0.039585236459970474	-0.47097144	No	
row_64	TBPL1	TBPL1	18304	-0.039915863424539566	-0.46774793	No	
row_65	TEKT2	TEKT2	18319	-0.04008549824357033	-0.46430165	No	
row_66	CREG1	CREG1	18471	-0.04272976145148277	-0.46622765	No	
row_67	TARS	TARS	18609	-0.04576081410050392	-0.46727338	No	
row_68	KANK1	KANK1	18786	-0.05005005747079849	-0.4694936	No	
row_69	TRPM3	TRPM3	18877	-0.05195990949869156	-0.46798322	No	
row_70	GLUL	GLUL	18883	-0.0521356426179409	-0.4629574	No	
row_71	SLC7A1	SLC7A1	19501	-0.07188098132610321	-0.48113438	No	
row_72	TTYH1	TTYH1	19522	-0.07248807698488235	-0.47468355	No	
row_73	CACNG1	CACNG1	19837	-0.08587101101875305	-0.47898808	No	
row_74	FAM131B	FAM131B	20375	-0.11064699292182922	-0.48998305	No	
row_75	ACSL1	ACSL1	20761	-0.13131651282310486	-0.49264902	Yes	
row_76	BCL2L1	BCL2L1	20790	-0.13308052718639374	-0.48044723	Yes	
row_77	MYO1C	MYO1C	20897	-0.14021669328212738	-0.4707391	Yes	
row_78	RFX2	RFX2	21002	-0.1519121378660202	-0.4597751	Yes	
row_79	EHD4	EHD4	21067	-0.158347487449646	-0.4465193	Yes	
row_80	ABCD2	ABCD2	21118	-0.16279271245002747	-0.43224132	Yes	
row_81	RAI14	RAI14	22398	-0.3404659330844879	-0.45070875	Yes	
row_82	DPP6	DPP6	23698	-0.5717940330505371	-0.44678646	Yes	
row_83	CARD10	CARD10	23709	-0.5810624957084656	-0.38889107	Yes	
row_84	FLRT1	FLRT1	23731	-0.596915066242218	-0.32985762	Yes	
row_85	KLHDC8A	KLHDC8A	24031	-0.7642353773117065	-0.26547417	Yes	
row_86	FHL2	FHL2	24205	-1.0895062685012817	-0.16326638	Yes	
row_87	FXYD5	FXYD5	24345	-1.7016814947128296	0.0017694707	Yes	
