NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL17RB	IL17RB	11	1.4722013473510742	0.1154183	No	
row_1	ADAMTS3	ADAMTS3	59	0.9824965000152588	0.19081251	No	
row_2	CASP4	CASP4	204	0.6931626796722412	0.23944283	No	
row_3	PAQR6	PAQR6	1080	0.39253750443458557	0.2343311	No	
row_4	GAL3ST4	GAL3ST4	1303	0.32792213559150696	0.25100508	No	
row_5	RPL39L	RPL39L	2089	0.2488699108362198	0.23828942	No	
row_6	NLGN3	NLGN3	2890	0.19693146646022797	0.22086863	No	
row_7	NOVA1	NOVA1	3979	0.1121235117316246	0.18492159	No	
row_8	NOTCH3	NOTCH3	4234	0.10097502917051315	0.18241668	No	
row_9	SOX4	SOX4	4269	0.09963466972112656	0.1888594	No	
row_10	ZFP30	ZFP30	4276	0.09940264374017715	0.19643606	No	
row_11	DHTKD1	DHTKD1	4378	0.09443901479244232	0.19971277	No	
row_12	TBC1D8B	TBC1D8B	4596	0.08441551774740219	0.1974271	No	
row_13	PTGS2	PTGS2	4602	0.08420658856630325	0.2038489	No	
row_14	VASH1	VASH1	4636	0.08308710157871246	0.20903037	No	
row_15	RAB8B	RAB8B	4751	0.07972286641597748	0.21061388	No	
row_16	ACSBG1	ACSBG1	5032	0.07151144742965698	0.2047201	No	
row_17	SNX7	SNX7	5046	0.07106664031744003	0.2097785	No	
row_18	CHD7	CHD7	5075	0.07031269371509552	0.21416031	No	
row_19	ASCL1	ASCL1	5543	0.059179749339818954	0.19960079	No	
row_20	RASSF2	RASSF2	5555	0.05902233347296715	0.20379354	No	
row_21	FLRT3	FLRT3	5641	0.057111386209726334	0.20479074	No	
row_22	CTNND2	CTNND2	5701	0.055946797132492065	0.2067662	No	
row_23	RNFT2	RNFT2	6045	0.049848124384880066	0.1965749	No	
row_24	DTX3	DTX3	6222	0.0470043383538723	0.19303192	No	
row_25	APBA2	APBA2	6300	0.045618463307619095	0.19345376	No	
row_26	MAP2	MAP2	6412	0.04369606077671051	0.19232519	No	
row_27	ENPP1	ENPP1	6438	0.043293777853250504	0.1947039	No	
row_28	CHD8	CHD8	6646	0.04023117199540138	0.18935217	No	
row_29	MYLK	MYLK	6812	0.038039032369852066	0.18555622	No	
row_30	GLRX2	GLRX2	6843	0.03762751445174217	0.1872832	No	
row_31	NTAN1	NTAN1	7079	0.03453533351421356	0.18033096	No	
row_32	MARCKSL1	MARCKSL1	7231	0.03283020108938217	0.17670116	No	
row_33	SLC22A17	SLC22A17	7520	0.029292749240994453	0.1671553	No	
row_34	EVL	EVL	7611	0.028088077902793884	0.16566245	No	
