NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMP2	PMP2	154	0.771353006362915	0.014174695	No	
row_1	PTGES	PTGES	341	0.5868707895278931	0.02210484	No	
row_2	GRIK1	GRIK1	494	0.5258025527000427	0.029817132	No	
row_3	ICAM1	ICAM1	511	0.5167181491851807	0.04292715	No	
row_4	LBHD1	LBHD1	563	0.48685920238494873	0.053789813	No	
row_5	JAK3	JAK3	589	0.4772412180900574	0.06547432	No	
row_6	IL13RA1	IL13RA1	649	0.4524528384208679	0.07508809	No	
row_7	GDA	GDA	852	0.4178486168384552	0.077849306	No	
row_8	GPX3	GPX3	1040	0.40339240431785583	0.08084722	No	
row_9	PDK4	PDK4	1050	0.4005345106124878	0.09115056	No	
row_10	SLC16A4	SLC16A4	1066	0.3967926502227783	0.10110533	No	
row_11	C1QL1	C1QL1	1134	0.3743649125099182	0.10830586	No	
row_12	CCNB1IP1	CCNB1IP1	1150	0.3688369393348694	0.11751545	No	
row_13	OSMR	OSMR	1318	0.3235495388507843	0.11921449	No	
row_14	MYO5B	MYO5B	1349	0.3158891499042511	0.12639067	No	
row_15	CCDC113	CCDC113	1419	0.30089840292930603	0.13154995	No	
row_16	SOCS3	SOCS3	1528	0.28352728486061096	0.13462886	No	
row_17	BCAM	BCAM	1533	0.2818842828273773	0.14197683	No	
row_18	EFNA1	EFNA1	1653	0.26325663924217224	0.14405926	No	
row_19	NDRG2	NDRG2	2656	0.2284524291753769	0.10859622	No	
row_20	LAPTM5	LAPTM5	2742	0.21479323506355286	0.11079678	No	
row_21	WIPI1	WIPI1	2844	0.20151688158512115	0.11197993	No	
row_22	APOL6	APOL6	2872	0.19848749041557312	0.116151094	No	
row_23	KCNK10	KCNK10	2884	0.19720472395420074	0.12095158	No	
row_24	CLU	CLU	3055	0.1799374371767044	0.118698105	No	
row_25	ALPK1	ALPK1	3199	0.1670253872871399	0.11722013	No	
