NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRR16	PRR16	116	0.8071213364601135	0.011930457	No	
row_1	BCL3	BCL3	167	0.7564135193824768	0.025547268	No	
row_2	STAP2	STAP2	178	0.7286959886550903	0.040248644	No	
row_3	VDR	VDR	484	0.5328125357627869	0.038647417	No	
row_4	KCNN4	KCNN4	487	0.5283825397491455	0.049525347	No	
row_5	ICAM1	ICAM1	511	0.5167181491851807	0.059290048	No	
row_6	KLHL6	KLHL6	633	0.46163931488990784	0.06384629	No	
row_7	LIF	LIF	668	0.4452678859233856	0.07167243	No	
row_8	DRAM1	DRAM1	718	0.4344145655632019	0.0786511	No	
row_9	NFKBIE	NFKBIE	939	0.41320064663887024	0.078095146	No	
row_10	HAS2	HAS2	1015	0.40844717621803284	0.083456434	No	
row_11	ENPP2	ENPP2	1225	0.3481873869895935	0.082008205	No	
row_12	VWA1	VWA1	1299	0.3289277255535126	0.085802905	No	
row_13	OSMR	OSMR	1318	0.3235495388507843	0.09176791	No	
row_14	TMEM151B	TMEM151B	1344	0.31775370240211487	0.097322255	No	
row_15	BATF3	BATF3	1347	0.3161587417125702	0.103797756	No	
row_16	MYO5B	MYO5B	1349	0.3158891499042511	0.110309154	No	
row_17	ANO9	ANO9	1383	0.3091142475605011	0.11535238	No	
row_18	SOCS3	SOCS3	1528	0.28352728486061096	0.11525958	No	
row_19	JUNB	JUNB	2433	0.24274788796901703	0.0827895	No	
row_20	NFE2L3	NFE2L3	2596	0.2363974004983902	0.08097224	No	
row_21	KREMEN2	KREMEN2	2640	0.23118124902248383	0.08398391	No	
row_22	LAPTM5	LAPTM5	2742	0.21479323506355286	0.08424929	No	
row_23	TNFAIP3	TNFAIP3	2772	0.2105223685503006	0.08741325	No	
row_24	IRAK2	IRAK2	2789	0.2091723531484604	0.091088556	No	
row_25	PLAU	PLAU	2866	0.19922877848148346	0.09206828	No	
row_26	APOL6	APOL6	2872	0.19848749041557312	0.09597831	No	
row_27	FAM174B	FAM174B	2941	0.19060318171977997	0.09711101	No	
row_28	NFKBIZ	NFKBIZ	2952	0.18938779830932617	0.10062484	No	
row_29	PLLP	PLLP	3009	0.18389317393302917	0.1021162	No	
row_30	THY1	THY1	3146	0.17121291160583496	0.10002543	No	
row_31	NR4A1	NR4A1	3163	0.1695166528224945	0.102878116	No	
row_32	ALPK1	ALPK1	3199	0.1670253872871399	0.10489083	No	
row_33	DPP4	DPP4	3244	0.16318799555301666	0.10645054	No	
row_34	WIPF3	WIPF3	3256	0.16195543110370636	0.10935382	No	
row_35	RELB	RELB	3268	0.16117550432682037	0.11224091	No	
row_36	EBI3	EBI3	3301	0.15880712866783142	0.11420761	No	
row_37	PTP4A3	PTP4A3	3444	0.14495009183883667	0.11132311	No	
row_38	ZFP36	ZFP36	3467	0.14315371215343475	0.11337998	No	
row_39	TIMP1	TIMP1	3528	0.1389443576335907	0.11377296	No	
row_40	NFKB2	NFKB2	3730	0.1261717826128006	0.10805109	No	
row_41	COL9A1	COL9A1	3745	0.12449222058057785	0.11005275	No	
row_42	ZDHHC14	ZDHHC14	3790	0.12141481786966324	0.110745914	No	
