NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL5	CXCL5	44	1.038547158241272	0.06545798	No	
row_1	TRIM38	TRIM38	474	0.5387383699417114	0.0826781	No	
row_2	IL13RA1	IL13RA1	649	0.4524528384208679	0.10481596	No	
row_3	TPD52L1	TPD52L1	2689	0.2232218086719513	0.035261754	No	
row_4	WIPI1	WIPI1	2844	0.20151688158512115	0.041969534	No	
row_5	PIK3C2B	PIK3C2B	3165	0.16941474378108978	0.039758213	No	
row_6	SPAG4	SPAG4	3200	0.1669277548789978	0.049169894	No	
row_7	TUBB2B	TUBB2B	3621	0.13205160200595856	0.040418096	No	
row_8	NOVA1	NOVA1	3979	0.1121235117316246	0.03297127	No	
row_9	SEMA6C	SEMA6C	4059	0.10857747495174408	0.03674923	No	
row_10	CDK5R1	CDK5R1	4069	0.10809598863124847	0.043380216	No	
row_11	IRAK4	IRAK4	4188	0.10287618637084961	0.045181952	No	
row_12	SARM1	SARM1	4279	0.09929126501083374	0.04790517	No	
row_13	ANKRD10	ANKRD10	4374	0.09448438137769699	0.05015221	No	
row_14	GPM6A	GPM6A	4657	0.08246404677629471	0.043874457	No	
row_15	PPIC	PPIC	4755	0.0796557068824768	0.045037378	No	
row_16	FHOD1	FHOD1	4903	0.07509735971689224	0.043844875	No	
row_17	CHD7	CHD7	5075	0.07031269371509552	0.04135358	No	
row_18	OLIG2	OLIG2	5125	0.06904687732458115	0.04380707	No	
row_19	MCF2L	MCF2L	5192	0.06731538474559784	0.045447957	No	
row_20	DNM3	DNM3	5295	0.06455384194850922	0.045426648	No	
row_21	MVP	MVP	5446	0.06143619865179062	0.04322565	No	
row_22	CTNND2	CTNND2	5701	0.055946797132492065	0.036383957	No	
row_23	PABPN1	PABPN1	5702	0.05594537779688835	0.040007766	No	
row_24	ADCY1	ADCY1	5752	0.055033303797245026	0.041553542	No	
row_25	DBN1	DBN1	5806	0.05387938395142555	0.042859763	No	
row_26	SLC17A5	SLC17A5	5958	0.051268208771944046	0.03995894	No	
row_27	PTOV1	PTOV1	6003	0.05047137662768364	0.041415237	No	
row_28	RNFT2	RNFT2	6045	0.049848124384880066	0.042954773	No	
row_29	GALK1	GALK1	6253	0.046317603439092636	0.0374259	No	
