NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATA6	GATA6	117	0.8053361177444458	0.042861894	No	
row_1	CASP4	CASP4	204	0.6931626796722412	0.080359176	No	
row_2	TRIM38	TRIM38	474	0.5387383699417114	0.10117725	No	
row_3	CASP1	CASP1	480	0.5356295704841614	0.13268352	No	
row_4	ICAM1	ICAM1	511	0.5167181491851807	0.16204056	No	
row_5	SP110	SP110	612	0.46742454171180725	0.18559636	No	
row_6	FAS	FAS	1384	0.30907461047172546	0.17214334	No	
row_7	PSMB8	PSMB8	1622	0.26750537753105164	0.1782208	No	
row_8	RNASEL	RNASEL	1770	0.25327324867248535	0.18716209	No	
row_9	PSMB9	PSMB9	2116	0.24643898010253906	0.18754455	No	
row_10	WIPI1	WIPI1	2844	0.20151688158512115	0.16953558	No	
row_11	YPEL1	YPEL1	2919	0.19307176768779755	0.17791896	No	
row_12	C1QTNF1	C1QTNF1	3582	0.13445104658603668	0.15861619	No	
row_13	MMP14	MMP14	4214	0.10190092027187347	0.13866295	No	
row_14	TPBG	TPBG	4241	0.10059582442045212	0.14354803	No	
row_15	CASP8	CASP8	4344	0.09598011523485184	0.14502992	No	
row_16	SMAGP	SMAGP	4461	0.09006253629922867	0.14558491	No	
row_17	PPIC	PPIC	4755	0.0796557068824768	0.1382344	No	
row_18	DDO	DDO	4979	0.07320993393659592	0.13338508	No	
row_19	CHD7	CHD7	5075	0.07031269371509552	0.13363561	No	
row_20	INTS9	INTS9	5168	0.06790383905172348	0.13386707	No	
row_21	MTSS1	MTSS1	5265	0.06527062505483627	0.1337779	No	
row_22	TRADD	TRADD	5278	0.06497848033905029	0.1371308	No	
row_23	MVP	MVP	5446	0.06143619865179062	0.13389063	No	
row_24	SALL2	SALL2	5505	0.060092661529779434	0.13505983	No	
row_25	IRF2	IRF2	5857	0.05296478420495987	0.12374049	No	
row_26	LRP10	LRP10	6021	0.05022916570305824	0.12000154	No	
row_27	RALB	RALB	6032	0.050096217542886734	0.12255568	No	
row_28	TBC1D8	TBC1D8	6121	0.04857021942734718	0.12180722	No	
row_29	SOX11	SOX11	6421	0.04352717474102974	0.11207061	No	
row_30	BACH2	BACH2	6604	0.04090853035449982	0.106997356	No	
row_31	KBTBD11	KBTBD11	7068	0.03474988788366318	0.089987114	No	
row_32	SEPHS1	SEPHS1	7329	0.03164434805512428	0.08115312	No	
row_33	IRF1	IRF1	7515	0.029345916584134102	0.07527174	No	
row_34	BLVRB	BLVRB	7872	0.025330675765872	0.06211039	No	
row_35	ASB13	ASB13	7945	0.024535788223147392	0.06059788	No	
row_36	LPAR1	LPAR1	7985	0.024051077663898468	0.060415708	No	
row_37	RETSAT	RETSAT	8213	0.021604381501674652	0.05234632	No	
row_38	CUEDC2	CUEDC2	8645	0.017361095175147057	0.035624415	No	
row_39	VRK1	VRK1	8692	0.016963936388492584	0.034734365	No	
row_40	CBX5	CBX5	8837	0.015725741162896156	0.029735096	No	
row_41	TLR3	TLR3	8873	0.015289071947336197	0.029198896	No	
row_42	ELK3	ELK3	9302	0.011587479151785374	0.012258713	No	
row_43	CAMKV	CAMKV	9866	0.006523987278342247	-0.01054093	No	
row_44	PARP3	PARP3	10060	0.004887950606644154	-0.01819981	No	
row_45	E2F5	E2F5	10327	0.0025765669997781515	-0.02900188	No	
row_46	SDF4	SDF4	10358	0.002331993542611599	-0.030099297	No	
row_47	CYLD	CYLD	10624	1.1076527152908966E-4	-0.04100617	No	
row_48	MR1	MR1	15125	-0.0026862220838665962	-0.22616959	No	
row_49	GSDMD	GSDMD	15450	-0.0054332902655005455	-0.23919113	No	
row_50	HCFC2	HCFC2	15525	-0.005976833403110504	-0.24188478	No	
row_51	ARPC1B	ARPC1B	15616	-0.006862044334411621	-0.24518497	No	
row_52	LRBA	LRBA	15767	-0.008425083942711353	-0.25086358	No	
row_53	TAP1	TAP1	15960	-0.010113466531038284	-0.2581719	No	
row_54	PML	PML	16671	-0.01727009192109108	-0.28638917	No	
row_55	TCIRG1	TCIRG1	17040	-0.021497439593076706	-0.30027166	No	
row_56	LNPEP	LNPEP	17143	-0.022771039977669716	-0.30312413	No	
row_57	UTRN	UTRN	17557	-0.027755070477724075	-0.31848937	No	
row_58	NUDT11	NUDT11	17661	-0.0292657557874918	-0.3209985	No	
row_59	MDFIC	MDFIC	17704	-0.030040837824344635	-0.32094958	No	
row_60	ALAD	ALAD	17761	-0.030893731862306595	-0.32142675	No	
row_61	NPTN	NPTN	18240	-0.03877926245331764	-0.33881617	No	
row_62	DENND4A	DENND4A	18290	-0.03969135880470276	-0.3384842	No	
row_63	SCPEP1	SCPEP1	18472	-0.04274984821677208	-0.34340724	No	
row_64	HFE	HFE	18708	-0.04826302081346512	-0.35022777	No	
row_65	MFSD1	MFSD1	19110	-0.058480504900217056	-0.3632797	Yes	
row_66	C1RL	C1RL	19124	-0.05885536968708038	-0.3603305	Yes	
row_67	OSTF1	OSTF1	19137	-0.059215936809778214	-0.3573188	Yes	
row_68	TAPBPL	TAPBPL	19198	-0.06129487231373787	-0.35616076	Yes	
row_69	GNS	GNS	19234	-0.06284165382385254	-0.3538816	Yes	
row_70	ERAP1	ERAP1	19253	-0.06331376731395721	-0.35087436	Yes	
row_71	BIN1	BIN1	19395	-0.06823062151670456	-0.35264152	Yes	
row_72	SLC16A6	SLC16A6	19560	-0.07364650070667267	-0.35503522	Yes	
row_73	B2M	B2M	19601	-0.07531781494617462	-0.3522233	Yes	
row_74	TAPBP	TAPBP	19699	-0.07945480197668076	-0.35151386	Yes	
row_75	PLP2	PLP2	19799	-0.08403250575065613	-0.3506158	Yes	
row_76	RAB27A	RAB27A	19809	-0.08448027074337006	-0.34598476	Yes	
row_77	TNFRSF14	TNFRSF14	20165	-0.10155376046895981	-0.35459208	Yes	
row_78	ANXA4	ANXA4	20186	-0.10252498835325241	-0.3493457	Yes	
row_79	NMI	NMI	20390	-0.11169124394655228	-0.35109308	Yes	
row_80	IFI35	IFI35	20825	-0.13503088057041168	-0.36097184	Yes	
row_81	OSBPL3	OSBPL3	21074	-0.15899749100208282	-0.36177164	Yes	
row_82	HERC6	HERC6	21103	-0.16126438975334167	-0.35337704	Yes	
row_83	RAB11FIP5	RAB11FIP5	21132	-0.16349321603775024	-0.34485048	Yes	
row_84	PARP12	PARP12	21383	-0.19157953560352325	-0.3438036	Yes	
row_85	STAT1	STAT1	21387	-0.19191189110279083	-0.33256492	Yes	
row_86	OAS2	OAS2	21388	-0.19213497638702393	-0.3211895	Yes	
row_87	DDX58	DDX58	21453	-0.1985713243484497	-0.3120687	Yes	
row_88	BST2	BST2	21635	-0.2160300463438034	-0.30673262	Yes	
row_89	SHC1	SHC1	21741	-0.2301790416240692	-0.29742897	Yes	
row_90	ITGB5	ITGB5	21764	-0.23346437513828278	-0.2845126	Yes	
row_91	APOM	APOM	21932	-0.258086621761322	-0.27611002	Yes	
row_92	TRIM21	TRIM21	21956	-0.2630743980407715	-0.2614818	Yes	
row_93	DDX60	DDX60	22034	-0.27529841661453247	-0.24835369	Yes	
row_94	DHX58	DHX58	22071	-0.28093773126602173	-0.23320323	Yes	
row_95	RUNX2	RUNX2	22102	-0.28554654121398926	-0.21753281	Yes	
row_96	RTP4	RTP4	22220	-0.30502694845199585	-0.20429194	Yes	
row_97	MGLL	MGLL	22225	-0.30570927262306213	-0.18635702	Yes	
row_98	PROCR	PROCR	22311	-0.32323068380355835	-0.17072053	Yes	
row_99	XAF1	XAF1	22417	-0.34415891766548157	-0.15466866	Yes	
row_100	MX1	MX1	22631	-0.35238632559776306	-0.1425774	Yes	
row_101	S100A11	S100A11	23510	-0.4869850277900696	-0.1499037	Yes	
row_102	TMEM140	TMEM140	23515	-0.48852136731147766	-0.121145315	Yes	
row_103	IFIT3	IFIT3	23546	-0.5027132630348206	-0.09261744	Yes	
row_104	MICAL2	MICAL2	23614	-0.5322115421295166	-0.06386687	Yes	
row_105	ITGBL1	ITGBL1	23932	-0.6818884015083313	-0.036550306	Yes	
row_106	AMIGO2	AMIGO2	24139	-0.9338428974151611	0.010254621	Yes	
