NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRGN	SRGN	4	1.749646544456482	0.042968195	No	
row_1	CXCL3	CXCL3	6	1.6215404272079468	0.082901984	No	
row_2	IL15	IL15	15	1.4246745109558105	0.11769383	No	
row_3	PDCD1LG2	PDCD1LG2	78	0.9058223366737366	0.13746749	No	
row_4	CD55	CD55	100	0.8414934277534485	0.1573463	No	
row_5	CASP4	CASP4	204	0.6931626796722412	0.17018636	No	
row_6	C3	C3	228	0.6597525477409363	0.1855023	No	
row_7	SERPINB7	SERPINB7	317	0.5928264856338501	0.1964875	No	
row_8	TRIM38	TRIM38	474	0.5387383699417114	0.20333469	No	
row_9	GALNT6	GALNT6	478	0.536799967288971	0.21644443	No	
row_10	PNMA2	PNMA2	600	0.4723949134349823	0.22309963	No	
row_11	KYNU	KYNU	837	0.419319212436676	0.22370334	No	
row_12	NFKBIE	NFKBIE	939	0.41320064663887024	0.22972412	No	
row_13	TGM2	TGM2	1127	0.3753598928451538	0.23126508	No	
row_14	JPH2	JPH2	1394	0.3067692220211029	0.22785683	No	
row_15	VNN1	VNN1	2029	0.2500050365924835	0.20787144	No	
row_16	PRKCD	PRKCD	2711	0.21982009708881378	0.18520345	No	
row_17	TNFSF9	TNFSF9	2712	0.2197517454624176	0.19062087	No	
row_18	IL2RB	IL2RB	2904	0.1954716444015503	0.18756215	No	
row_19	FLI1	FLI1	2988	0.18653015792369843	0.18873735	No	
row_20	SPAG4	SPAG4	3200	0.1669277548789978	0.18415007	No	
row_21	MAP3K1	MAP3K1	3584	0.13438540697097778	0.17166658	No	
row_22	JUP	JUP	3603	0.1330651193857193	0.17420457	No	
row_23	ITPR3	ITPR3	3885	0.11630944162607193	0.16548236	No	
row_24	CXCL1	CXCL1	4063	0.10834091156721115	0.16085306	No	
row_25	DENND3	DENND3	4845	0.07671087235212326	0.13053268	No	
row_26	PIK3CD	PIK3CD	4946	0.07387541979551315	0.1282295	No	
row_27	CHD7	CHD7	5075	0.07031269371509552	0.12468366	No	
row_28	MPZ	MPZ	5142	0.06860866397619247	0.12365294	No	
row_29	NAV3	NAV3	5166	0.0679299533367157	0.12437897	No	
row_30	PHF7	PHF7	5191	0.06732801347970963	0.12504892	No	
row_31	CYB5R2	CYB5R2	5299	0.06441590189933777	0.12222384	No	
row_32	PLEKHO1	PLEKHO1	5433	0.06163247674703598	0.11825779	No	
row_33	CPPED1	CPPED1	5471	0.06089529022574425	0.11823299	No	
row_34	SALL2	SALL2	5505	0.060092661529779434	0.118353374	No	
row_35	IL15RA	IL15RA	5720	0.05568382889032364	0.110899925	No	
row_36	CDCP1	CDCP1	6176	0.04771320894360542	0.09331019	No	
row_37	SOX11	SOX11	6421	0.04352717474102974	0.08431973	No	
row_38	PTPRH	PTPRH	6586	0.041177377104759216	0.07857085	No	
row_39	TPMT	TPMT	6628	0.04046710580587387	0.07787747	No	
row_40	TUBB2A	TUBB2A	6776	0.038461264222860336	0.07276278	No	
row_41	LTBP2	LTBP2	6925	0.03646456450223923	0.067557625	No	
row_42	MARK1	MARK1	7288	0.032103609293699265	0.05341876	No	
row_43	SPAG1	SPAG1	7587	0.028367821127176285	0.04182741	No	
row_44	GPR39	GPR39	7892	0.025087377056479454	0.029907728	No	
row_45	ACSL5	ACSL5	8173	0.02194252982735634	0.01890037	No	
row_46	ABCA7	ABCA7	8289	0.02080230414867401	0.0146701485	No	
row_47	RAD50	RAD50	8330	0.020359309390187263	0.0135223	No	
row_48	ABAT	ABAT	8586	0.01795859821140766	0.0034478258	No	
row_49	G0S2	G0S2	8851	0.015519273467361927	-0.007057979	No	
row_50	STEAP3	STEAP3	9084	0.013403612188994884	-0.016296135	No	
row_51	NCAN	NCAN	9540	0.009532632306218147	-0.034827113	No	
row_52	MCOLN3	MCOLN3	9892	0.006331171374768019	-0.049147647	No	
row_53	ENOX2	ENOX2	10088	0.004658716730773449	-0.057075363	No	
row_54	HPCAL1	HPCAL1	10419	0.001828997046686709	-0.070640765	No	
row_55	IL24	IL24	13038	0.0	-0.17861733	No	
row_56	KRT7	KRT7	13112	0.0	-0.18162814	No	
row_57	MAGEB2	MAGEB2	13239	0.0	-0.18682487	No	
row_58	SYNGR2	SYNGR2	15178	-0.003089490346610546	-0.2666794	No	
row_59	YWHAE	YWHAE	15236	-0.003730411408469081	-0.26893836	No	
row_60	GMDS	GMDS	15288	-0.0041575864888727665	-0.2709393	No	
row_61	LTBR	LTBR	15315	-0.004318268969655037	-0.27190518	No	
row_62	CCND3	CCND3	15462	-0.005519222002476454	-0.27779073	No	
row_63	TRAPPC10	TRAPPC10	15570	-0.006375735625624657	-0.28204665	No	
row_64	PHLPP1	PHLPP1	15580	-0.0064682201482355595	-0.2822584	No	
row_65	ME1	ME1	15606	-0.006756677757948637	-0.28312293	No	
row_66	TRIM24	TRIM24	15878	-0.00933841709047556	-0.2940698	No	
row_67	TRAF3IP1	TRAF3IP1	16344	-0.01399976760149002	-0.3129031	No	
row_68	SLC9A7	SLC9A7	16347	-0.014021249487996101	-0.31263992	No	
row_69	HMBOX1	HMBOX1	16348	-0.014029039070010185	-0.31229407	No	
row_70	IPPK	IPPK	16359	-0.014108283445239067	-0.3123587	No	
row_71	DCAF7	DCAF7	16672	-0.01727195456624031	-0.32480103	No	
row_72	PTPRU	PTPRU	16901	-0.019894855096936226	-0.33371416	No	
row_73	STARD5	STARD5	16917	-0.020150452852249146	-0.33383608	No	
row_74	PTPRD	PTPRD	16987	-0.020922666415572166	-0.3361661	No	
row_75	TCIRG1	TCIRG1	17040	-0.021497439593076706	-0.33778083	No	
row_76	TCF12	TCF12	17083	-0.022069843485951424	-0.338969	No	
row_77	ZFR	ZFR	17347	-0.02530318684875965	-0.34919235	No	
row_78	MID2	MID2	18164	-0.03726360946893692	-0.38192874	No	
row_79	FAM114A1	FAM114A1	18380	-0.041176509112119675	-0.3897811	No	
row_80	TRAF1	TRAF1	18411	-0.04169650375843048	-0.38999048	No	
