NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASGRP1	RASGRP1	91	0.8615716695785522	0.051241223	No	
row_1	GSTK1	GSTK1	481	0.5345182418823242	0.06932035	No	
row_2	GRIK1	GRIK1	494	0.5258025527000427	0.10238699	No	
row_3	KLHL4	KLHL4	639	0.4570702910423279	0.12562412	No	
row_4	LMO2	LMO2	1484	0.28988295793533325	0.10932866	No	
row_5	SLC6A11	SLC6A11	1647	0.2637222409248352	0.11948245	No	
row_6	MEOX2	MEOX2	2727	0.21764105558395386	0.08888673	No	
row_7	PCSK5	PCSK5	2753	0.21353265643119812	0.101485536	No	
row_8	TEAD3	TEAD3	3573	0.13514406979084015	0.076344006	No	
row_9	HS3ST3B1	HS3ST3B1	3652	0.13072417676448822	0.081472024	No	
row_10	TLE2	TLE2	3879	0.11666572093963623	0.07960062	No	
row_11	DAG1	DAG1	3934	0.1142812967300415	0.08466863	No	
row_12	ZFHX4	ZFHX4	3967	0.11249975115060806	0.09053	No	
row_13	TGIF2	TGIF2	4359	0.09532227367162704	0.080493264	No	
row_14	BLM	BLM	4591	0.08459316194057465	0.07636855	No	
row_15	CDK6	CDK6	4730	0.08013651520013809	0.075793795	No	
row_16	MCC	MCC	4844	0.07671919465065002	0.07603167	No	
row_17	ACSBG1	ACSBG1	5032	0.07151144742965698	0.0728861	No	
row_18	PRKD2	PRKD2	5080	0.07016966491937637	0.07542713	No	
row_19	SOX9	SOX9	5082	0.07008390873670578	0.07985928	No	
row_20	ELOVL2	ELOVL2	5216	0.06670545786619186	0.07863338	No	
row_21	KLHL25	KLHL25	5271	0.06509878486394882	0.08056213	No	
row_22	SOCS2	SOCS2	5300	0.06441430747509003	0.083519176	No	
row_23	NR2E1	NR2E1	5406	0.06199298053979874	0.08314694	No	
row_24	MEIS1	MEIS1	6012	0.05037876218557358	0.061418224	No	
row_25	LRP10	LRP10	6021	0.05022916570305824	0.06429445	No	
row_26	PDGFA	PDGFA	6104	0.04879181087017059	0.0640279	No	
row_27	CAMK2B	CAMK2B	6257	0.046180449426174164	0.060708538	No	
row_28	GAS1	GAS1	6287	0.04579158499836922	0.062435683	No	
row_29	SARS2	SARS2	6432	0.04342362657189369	0.059270203	No	
row_30	VPS16	VPS16	6540	0.04185647517442703	0.057530213	No	
row_31	CDH4	CDH4	6583	0.04124045372009277	0.058430873	No	
row_32	GALNT4	GALNT4	6630	0.04044763371348381	0.059116006	No	
row_33	EGFR	EGFR	6651	0.04019278660416603	0.06085686	No	
row_34	PTPN14	PTPN14	6727	0.039314549416303635	0.060273994	No	
row_35	B3GALT1	B3GALT1	6932	0.0363798588514328	0.054185096	No	
row_36	SPRY2	SPRY2	6975	0.0357789546251297	0.054737154	No	
row_37	MLC1	MLC1	7007	0.03542185202240944	0.055719953	No	
row_38	TBX2	TBX2	7148	0.03368828445672989	0.052097995	No	
row_39	HMG20B	HMG20B	7249	0.03263184800744057	0.05005782	No	
row_40	LRP5	LRP5	7328	0.03164656460285187	0.04886182	No	
row_41	TMED1	TMED1	7409	0.03057611733675003	0.04751504	No	
row_42	FZD7	FZD7	7513	0.029375893995165825	0.045143347	No	
row_43	GRIK5	GRIK5	7519	0.029296232387423515	0.04680714	No	
row_44	CDH2	CDH2	7602	0.028227198868989944	0.045227967	No	
row_45	KEAP1	KEAP1	7784	0.026388628408312798	0.03944964	No	
row_46	JUND	JUND	7816	0.02595209889113903	0.03982799	No	
row_47	LAMB2	LAMB2	7819	0.025925710797309875	0.041400343	No	
row_48	NPAS3	NPAS3	7884	0.0251849927008152	0.04036913	No	
row_49	RFXANK	RFXANK	7932	0.024667218327522278	0.04000579	No	
row_50	CD3EAP	CD3EAP	8646	0.017347848042845726	0.011715871	No	
row_51	QTRT1	QTRT1	8759	0.016445238143205643	0.0081477575	No	
row_52	SSH3	SSH3	8848	0.015589933842420578	0.0055145784	No	
row_53	TMEM147	TMEM147	8881	0.015234344638884068	0.0051676002	No	
row_54	TMEM161A	TMEM161A	8968	0.014614439569413662	0.0025546171	No	
row_55	CLIP2	CLIP2	9027	0.01396632008254528	0.0010547139	No	
row_56	TRIB2	TRIB2	9055	0.013741176575422287	8.1857975E-4	No	
row_57	BTBD2	BTBD2	9056	0.01373275090008974	0.0016951263	No	
row_58	PIPOX	PIPOX	9202	0.012468281202018261	-0.0034874321	No	
row_59	ERCC2	ERCC2	9406	0.010735593736171722	-0.011171944	No	
row_60	IRF3	IRF3	9844	0.0067099942825734615	-0.0287613	No	
row_61	GLI2	GLI2	9871	0.006496025249361992	-0.029418653	No	
row_62	PRPF31	PRPF31	10317	0.002623604377731681	-0.047598682	No	
row_63	PMP22	PMP22	10332	0.0025268581230193377	-0.04801462	No	
row_64	LRFN3	LRFN3	10407	0.0019381390884518623	-0.05094195	No	
row_65	GNAS	GNAS	10525	9.508481598459184E-4	-0.05570521	No	
row_66	CD151	CD151	10556	7.004208746366203E-4	-0.05689741	No	
row_67	RBCK1	RBCK1	10614	2.1800697140861303E-4	-0.05923362	No	
row_68	MAB21L1	MAB21L1	13233	0.0	-0.16717458	No	
row_69	RBM42	RBM42	14856	-5.954359221505001E-5	-0.23404634	No	
row_70	SEMA6A	SEMA6A	14984	-0.0013677615206688643	-0.23919529	No	
row_71	APBA3	APBA3	14992	-0.0014341804198920727	-0.23939237	No	
