NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABRB2	GABRB2	212	0.6761383414268494	0.035293996	No	
row_1	FXYD1	FXYD1	234	0.6511547565460205	0.076828726	No	
row_2	PPFIA2	PPFIA2	483	0.5332548022270203	0.10133602	No	
row_3	EDIL3	EDIL3	1115	0.38210588693618774	0.10022505	No	
row_4	ENPP2	ENPP2	1225	0.3481873869895935	0.11840732	No	
row_5	HPCA	HPCA	1422	0.3005404770374298	0.12990344	No	
row_6	NTSR2	NTSR2	1590	0.2747970223426819	0.14091782	No	
row_7	BEST1	BEST1	1633	0.2664335370063782	0.15653652	No	
row_8	TCEAL1	TCEAL1	1641	0.2646781802177429	0.17348263	No	
row_9	POPDC3	POPDC3	1753	0.2553969621658325	0.1855405	No	
row_10	CCDC121	CCDC121	1933	0.2500050365924835	0.19444627	No	
row_11	VSX1	VSX1	2570	0.2398575395345688	0.18386687	No	
row_12	NDRG2	NDRG2	2656	0.2284524291753769	0.19524123	No	
row_13	GRM1	GRM1	2696	0.22243183851242065	0.20811835	No	
row_14	CRYL1	CRYL1	2775	0.2103685885667801	0.21860352	No	
row_15	GRM3	GRM3	3003	0.18504999577999115	0.22130258	No	
row_16	PPP1R1A	PPP1R1A	3018	0.18322046101093292	0.23265624	No	
row_17	SLC30A10	SLC30A10	3255	0.16206534206867218	0.23348795	No	
row_18	PARP8	PARP8	3498	0.14089080691337585	0.23269373	No	
row_19	VIP	VIP	3575	0.13499543070793152	0.23835337	No	
row_20	MSRB2	MSRB2	3646	0.1310240626335144	0.24400158	No	
row_21	SGK3	SGK3	3694	0.1283160001039505	0.25042084	No	
row_22	BCAS1	BCAS1	3907	0.11520014703273773	0.24918953	No	
row_23	FUT9	FUT9	4325	0.09667518734931946	0.23830776	No	
row_24	BASP1	BASP1	4446	0.09078600257635117	0.2392763	No	
row_25	NSL1	NSL1	4628	0.08332173526287079	0.23724616	No	
row_26	SH3GL3	SH3GL3	5249	0.0658731535077095	0.21599689	No	
row_27	NANOS1	NANOS1	5276	0.06504105031490326	0.21916105	No	
row_28	THTPA	THTPA	5396	0.062169503420591354	0.21830744	No	
row_29	MGST3	MGST3	6261	0.04616212099790573	0.18572403	No	
row_30	TTPA	TTPA	6363	0.04451167210936546	0.18446207	No	
row_31	RND1	RND1	6564	0.041471581906080246	0.17892423	No	
row_32	MMD	MMD	6668	0.03997146338224411	0.17728427	No	
row_33	PRPSAP2	PRPSAP2	7057	0.03490445390343666	0.16357486	No	
row_34	ATP5L	ATP5L	7897	0.025031350553035736	0.1306453	No	
row_35	ANKRD46	ANKRD46	8309	0.020581243559718132	0.11505584	No	
row_36	PDE6D	PDE6D	8348	0.02011130191385746	0.11480011	No	
row_37	AGTPBP1	AGTPBP1	8471	0.01888573355972767	0.11100452	No	
row_38	UROS	UROS	8521	0.018483147025108337	0.11018967	No	
row_39	SEPP1	SEPP1	8525	0.018428148701786995	0.11126604	No	
row_40	COX5B	COX5B	8565	0.01815953105688095	0.110842034	No	
row_41	PEX19	PEX19	8643	0.017387498170137405	0.10880249	No	
row_42	MDH1	MDH1	8670	0.017178034409880638	0.10885006	No	
row_43	MAGEH1	MAGEH1	8785	0.01622995361685753	0.105211064	No	
row_44	FAM49B	FAM49B	8965	0.014627953991293907	0.098790325	No	
row_45	GABARAPL2	GABARAPL2	9124	0.01313831377774477	0.09313761	No	
row_46	ADD3	ADD3	9171	0.012723558582365513	0.0920713	No	
row_47	PGBD5	PGBD5	9287	0.011702632531523705	0.08809632	No	
row_48	CUTC	CUTC	9327	0.011379855684936047	0.087230854	No	
row_49	FBXO3	FBXO3	9645	0.008454237133264542	0.07472373	No	
row_50	MAT2B	MAT2B	9680	0.00812276266515255	0.07385214	No	
row_51	CAMK2G	CAMK2G	9770	0.007316796574741602	0.07066254	No	
row_52	CALM2	CALM2	9825	0.006890569813549519	0.06888689	No	
row_53	MRPL49	MRPL49	9872	0.006487684324383736	0.06741454	No	
row_54	IMPA1	IMPA1	9894	0.006321556866168976	0.06696115	No	
row_55	USP33	USP33	10036	0.005061890929937363	0.061482787	No	
row_56	ANKS1B	ANKS1B	10598	3.1535199377685785E-4	0.03839503	No	
row_57	GUK1	GUK1	10634	9.078097718884237E-6	0.036953926	No	
row_58	CDR1	CDR1	12130	0.0	-0.024626996	No	
row_59	TSNAX	TSNAX	15038	-0.001884397235698998	-0.14424726	No	
row_60	NDUFS3	NDUFS3	15058	-0.0020336199086159468	-0.14489748	No	
row_61	PEX11B	PEX11B	15092	-0.002366240369156003	-0.14610271	No	
row_62	SPAST	SPAST	15424	-0.005182144697755575	-0.15939958	No	
row_63	MORF4L2	MORF4L2	15579	-0.006459830328822136	-0.16532241	No	
row_64	SEPW1	SEPW1	15820	-0.008838184177875519	-0.1746328	No	
row_65	CRYZL1	CRYZL1	15844	-0.009047470055520535	-0.17499109	No	
row_66	SH3GL2	SH3GL2	16001	-0.0105781564489007	-0.18072812	No	
row_67	PPA1	PPA1	16171	-0.0122911361977458	-0.18688911	No	
row_68	CRBN	CRBN	16294	-0.013523050583899021	-0.1910339	No	
row_69	SIRT5	SIRT5	16522	-0.015777070075273514	-0.19935699	No	
row_70	TTC1	TTC1	16527	-0.01580653339624405	-0.19849253	No	
row_71	SAR1A	SAR1A	16535	-0.01585295982658863	-0.1977486	No	
row_72	FHIT	FHIT	16575	-0.01622428558766842	-0.19829862	No	
row_73	ENPP4	ENPP4	16681	-0.017383810132741928	-0.20149176	No	
row_74	KCNK1	KCNK1	16730	-0.017976684495806694	-0.20229839	No	
row_75	YPEL5	YPEL5	16866	-0.019447069615125656	-0.20659292	No	
row_76	ROGDI	ROGDI	16907	-0.01996607892215252	-0.20694049	No	
row_77	SNX11	SNX11	17183	-0.02334570325911045	-0.21674792	No	
row_78	SCHIP1	SCHIP1	17213	-0.023667825385928154	-0.21640135	No	
row_79	CDC42	CDC42	17540	-0.027557119727134705	-0.22803533	No	
row_80	ATP5F1	ATP5F1	17575	-0.02795572020113468	-0.2276155	No	
row_81	ACYP2	ACYP2	17841	-0.03205592930316925	-0.23644388	No	
row_82	PPP2R5A	PPP2R5A	18222	-0.03834151849150658	-0.24959995	No	
row_83	CASQ1	CASQ1	18278	-0.03948747739195824	-0.24929425	No	
row_84	DHRS9	DHRS9	18868	-0.05169131979346275	-0.27019003	No	
row_85	TPM3	TPM3	18881	-0.05210282281041145	-0.26729167	No	
row_86	SLC16A7	SLC16A7	19189	-0.06108333542943001	-0.27595997	No	
row_87	GNAI1	GNAI1	19333	-0.0658227950334549	-0.2775643	No	
row_88	ATRNL1	ATRNL1	19394	-0.06817705184221268	-0.27559644	No	
row_89	CCK	CCK	19498	-0.07184885442256927	-0.2751607	No	
row_90	SERPINI1	SERPINI1	19551	-0.07335654646158218	-0.27252606	No	
row_91	ACSL4	ACSL4	19608	-0.0756995752453804	-0.26990363	No	
row_92	REPS2	REPS2	19681	-0.07879242300987244	-0.26773885	No	
row_93	SLC31A2	SLC31A2	19735	-0.08093459904193878	-0.26465195	No	
row_94	LYRM1	LYRM1	19848	-0.08642775565385818	-0.26363766	No	
row_95	PLCL1	PLCL1	20206	-0.1036364808678627	-0.27159467	No	
row_96	HPCAL4	HPCAL4	20289	-0.1066582202911377	-0.26802734	No	
row_97	ARRB1	ARRB1	20570	-0.12042038887739182	-0.27171975	No	
row_98	CPNE6	CPNE6	20822	-0.13479430973529816	-0.27328166	No	
row_99	KCNJ3	KCNJ3	21094	-0.16070978343486786	-0.27397993	No	
row_100	ANXA7	ANXA7	21512	-0.2047155797481537	-0.2778267	Yes	
row_101	MYBPC1	MYBPC1	21577	-0.210632786154747	-0.26674762	Yes	
row_102	FEZF2	FEZF2	21775	-0.23543459177017212	-0.25953206	Yes	
row_103	CHN1	CHN1	22289	-0.31875839829444885	-0.2599073	Yes	
row_104	SNCG	SNCG	23367	-0.43641969561576843	-0.27585295	Yes	
row_105	MBP	MBP	23407	-0.4500722885131836	-0.2481531	Yes	
row_106	ANXA3	ANXA3	23521	-0.48964446783065796	-0.22092466	Yes	
row_107	DYNC1I1	DYNC1I1	23550	-0.5034576058387756	-0.18929553	Yes	
row_108	TMEM144	TMEM144	23720	-0.5879065990447998	-0.1579755	Yes	
row_109	CRYM	CRYM	23939	-0.6891900897026062	-0.122078784	Yes	
row_110	GPR22	GPR22	23994	-0.7299438714981079	-0.07677303	Yes	
row_111	EVI2A	EVI2A	24308	-1.4276540279388428	0.0032953632	Yes	
