NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABRA3	GABRA3	52	1.0057992935180664	0.054790992	Yes	
row_1	MMP16	MMP16	479	0.5363256335258484	0.06758108	Yes	
row_2	MYT1	MYT1	772	0.42683157324790955	0.07969968	Yes	
row_3	IL1RAPL1	IL1RAPL1	1044	0.40282732248306274	0.09132558	Yes	
row_4	DUSP26	DUSP26	1078	0.39327043294906616	0.11222655	Yes	
row_5	C1QL1	C1QL1	1134	0.3743649125099182	0.13114996	Yes	
row_6	SOX10	SOX10	1218	0.3503812253475189	0.14756088	Yes	
row_7	RAB33A	RAB33A	1432	0.2990778684616089	0.15570594	Yes	
row_8	ATP1A3	ATP1A3	1591	0.2747078835964203	0.1647399	Yes	
row_9	MAST1	MAST1	1615	0.26906487345695496	0.17902236	Yes	
row_10	FXYD6	FXYD6	2737	0.2155599594116211	0.14499022	Yes	
row_11	DLL3	DLL3	2822	0.20411719381809235	0.15308027	Yes	
row_12	NLGN3	NLGN3	2890	0.19693146646022797	0.1614647	Yes	
row_13	TMEM35	TMEM35	2896	0.19616635143756866	0.17236295	Yes	
row_14	YPEL1	YPEL1	2919	0.19307176768779755	0.18238486	Yes	
row_15	ALCAM	ALCAM	3045	0.18084099888801575	0.18746632	Yes	
row_16	FGF9	FGF9	3062	0.17935849726200104	0.19695944	Yes	
row_17	CSPG5	CSPG5	3162	0.16993127763271332	0.20249565	Yes	
row_18	CXXC4	CXXC4	3258	0.16174063086509705	0.2077332	Yes	
row_19	MYB	MYB	3304	0.15860751271247864	0.21485558	Yes	
row_20	SLC1A1	SLC1A1	3310	0.15831510722637177	0.22361116	Yes	
row_21	PAFAH1B3	PAFAH1B3	3732	0.1258082538843155	0.21336915	Yes	
row_22	BCL7A	BCL7A	3816	0.1197931095957756	0.21672708	Yes	
row_23	PCDH11X	PCDH11X	3837	0.11851083487272263	0.22261079	Yes	
row_24	GADD45G	GADD45G	3846	0.11820202320814133	0.22897194	Yes	
row_25	EPHB1	EPHB1	3890	0.11603285372257233	0.23376678	Yes	
row_26	CDK5R1	CDK5R1	4069	0.10809598863124847	0.23254439	Yes	
row_27	SOX4	SOX4	4269	0.09963466972112656	0.2299769	Yes	
row_28	LRRTM4	LRRTM4	4292	0.09881463646888733	0.23466319	Yes	
row_29	CNTN1	CNTN1	4306	0.09799661487340927	0.23967434	Yes	
row_30	DPYSL4	DPYSL4	4449	0.09062888473272324	0.23894797	Yes	
row_31	GRID2	GRID2	4458	0.09027551859617233	0.2437283	Yes	
row_32	CDC7	CDC7	4516	0.08766303211450577	0.24633977	Yes	
row_33	HMGB3	HMGB3	4552	0.08607955276966095	0.24976896	Yes	
row_34	MCM10	MCM10	4642	0.08281426876783371	0.25078616	Yes	
row_35	GPM6A	GPM6A	4657	0.08246404677629471	0.25487682	Yes	
row_36	MLLT11	MLLT11	4717	0.08056114614009857	0.25700378	Yes	
row_37	MARCKS	MARCKS	4729	0.08017675578594208	0.2610887	Yes	
row_38	REEP1	REEP1	4851	0.07644915580749512	0.26042578	Yes	
row_39	MAPT	MAPT	4940	0.07407481968402863	0.2609895	Yes	
row_40	TAF5	TAF5	4963	0.0735095739364624	0.2642433	Yes	
row_41	CHD7	CHD7	5075	0.07031269371509552	0.26364544	Yes	
row_42	PFN2	PFN2	5122	0.06907264143228531	0.26565826	Yes	
row_43	OLIG2	OLIG2	5125	0.06904687732458115	0.26948434	Yes	
row_44	MTSS1	MTSS1	5265	0.06527062505483627	0.26744622	Yes	
row_45	DNM3	DNM3	5295	0.06455384194850922	0.26990438	Yes	
row_46	E2F3	E2F3	5346	0.06320856511592865	0.27142024	Yes	
row_47	NCALD	NCALD	5373	0.06258070468902588	0.27389044	Yes	
row_48	HN1	HN1	5391	0.062231745570898056	0.27671206	Yes	
row_49	ASCL1	ASCL1	5543	0.059179749339818954	0.27383426	Yes	
row_50	CLASP2	CLASP2	5584	0.05834367871284485	0.27548718	Yes	
row_51	CDC25A	CDC25A	5622	0.05746955797076225	0.27721435	Yes	
row_52	RAP2A	RAP2A	5627	0.057351674884557724	0.2802959	Yes	
row_53	PDE10A	PDE10A	5673	0.05657244846224785	0.28164235	Yes	
row_54	ATAD5	ATAD5	5713	0.055747997015714645	0.2831896	Yes	
row_55	CSNK1E	CSNK1E	5716	0.055721819400787354	0.28626138	Yes	
row_56	TOPBP1	TOPBP1	5725	0.05550026521086693	0.28907314	Yes	
row_57	DBN1	DBN1	5806	0.05387938395142555	0.2888236	Yes	
row_58	MYO10	MYO10	5852	0.05304836109280586	0.28997055	Yes	
row_59	PODXL2	PODXL2	5863	0.052856188267469406	0.29255018	Yes	
row_60	CASK	CASK	5887	0.05240590125322342	0.29456812	Yes	
row_61	SEZ6L	SEZ6L	5910	0.05207197368144989	0.29660842	Yes	
row_62	WASF1	WASF1	6016	0.05029822513461113	0.29512504	Yes	
row_63	SATB1	SATB1	6056	0.0496186800301075	0.29632533	Yes	
row_64	STMN1	STMN1	6116	0.04869021847844124	0.29664814	Yes	
row_65	PPM1D	PPM1D	6283	0.04583748057484627	0.2923964	No	
row_66	DPF1	DPF1	6396	0.04397071525454521	0.29026616	No	
row_67	MAP2	MAP2	6412	0.04369606077671051	0.29212102	No	
row_68	SOX11	SOX11	6421	0.04352717474102974	0.29425502	No	
row_69	TOX3	TOX3	6660	0.04010441526770592	0.2867092	No	
row_70	ARHGEF9	ARHGEF9	6667	0.039973389357328415	0.2887245	No	
row_71	PELI1	PELI1	6749	0.038922470062971115	0.28758705	No	
row_72	NRXN2	NRXN2	6828	0.03783998638391495	0.28651205	No	
row_73	ICK	ICK	7130	0.033905189484357834	0.27601692	No	
row_74	TOP2B	TOP2B	7220	0.0329357348382473	0.2742106	No	
row_75	MARCKSL1	MARCKSL1	7231	0.03283020108938217	0.2756566	No	
row_76	TSPAN3	TSPAN3	7252	0.032598577439785004	0.27667704	No	
row_77	PURG	PURG	7423	0.030457405373454094	0.2713897	No	
row_78	SRGAP3	SRGAP3	7660	0.027546636760234833	0.26321548	No	
row_79	RALGPS2	RALGPS2	7834	0.025722121819853783	0.25753635	No	
row_80	VEZF1	VEZF1	7877	0.025242162868380547	0.257233	No	
row_81	BCAN	BCAN	7937	0.02459113486111164	0.25619164	No	
row_82	RAD21	RAD21	8083	0.022813085466623306	0.25150266	No	
row_83	PPM1E	PPM1E	8202	0.02169429510831833	0.24786393	No	
row_84	NRXN1	NRXN1	8317	0.020485185086727142	0.24432173	No	
row_85	STMN4	STMN4	8543	0.018338747322559357	0.23607996	No	
row_86	RUFY3	RUFY3	8545	0.018320372328162193	0.23707579	No	
row_87	ABAT	ABAT	8586	0.01795859821140766	0.23644263	No	
row_88	HDAC2	HDAC2	9019	0.014027106575667858	0.21941929	No	
