NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL3	BCL3	167	0.7564135193824768	0.042734295	No	
row_1	VDR	VDR	484	0.5328125357627869	0.06468657	No	
row_2	CD72	CD72	681	0.44236359000205994	0.085638404	No	
row_3	THBS1	THBS1	1605	0.27234208583831787	0.06557527	No	
row_4	SPAG4	SPAG4	3200	0.1669277548789978	0.011033875	No	
row_5	CTSC	CTSC	3655	0.13064327836036682	9.4799843E-4	No	
row_6	ACPP	ACPP	3683	0.12916386127471924	0.00830754	No	
row_7	RGS2	RGS2	4018	0.11060459166765213	0.0018377565	No	
row_8	TNFAIP8	TNFAIP8	4331	0.09645067900419235	-0.0046562194	No	
row_9	PTGS2	PTGS2	4602	0.08420658856630325	-0.010227511	No	
row_10	SLPI	SLPI	5970	0.051189176738262177	-0.06303162	No	
row_11	LUM	LUM	6107	0.04874804615974426	-0.06542268	No	
row_12	CDCP1	CDCP1	6176	0.04771320894360542	-0.065087944	No	
row_13	CYP1B1	CYP1B1	6429	0.04344024136662483	-0.07259263	No	
row_14	IL6	IL6	8111	0.022547421976923943	-0.14017472	No	
row_15	SYNGR2	SYNGR2	15178	-0.003089490346610546	-0.43026423	No	
row_16	ARPC1B	ARPC1B	15616	-0.006862044334411621	-0.4477676	No	
row_17	ITGB1	ITGB1	16399	-0.014531699940562248	-0.47894165	No	
row_18	CTSB	CTSB	17332	-0.025154605507850647	-0.51558167	No	
row_19	GLIPR1	GLIPR1	18201	-0.037966351956129074	-0.54875237	No	
row_20	SDC1	SDC1	19569	-0.07398489117622375	-0.60006183	No	
row_21	LY96	LY96	19617	-0.07609481364488602	-0.59700346	No	
row_22	RAB27A	RAB27A	19809	-0.08448027074337006	-0.5993113	No	
row_23	IER3	IER3	20182	-0.1023673415184021	-0.6078823	No	
row_24	IL7R	IL7R	20354	-0.10906363278627396	-0.6077566	No	
row_25	COL1A1	COL1A1	20681	-0.1270335465669632	-0.6128205	No	
row_26	COL5A1	COL5A1	20683	-0.12741422653198242	-0.60450757	No	
row_27	RUNX1	RUNX1	21632	-0.2157614380121231	-0.6293075	Yes	
row_28	NNMT	NNMT	21893	-0.2528443932533264	-0.62341106	Yes	
row_29	BACE2	BACE2	22035	-0.27535486221313477	-0.6111498	Yes	
row_30	P4HA2	P4HA2	22070	-0.2807678282260895	-0.5941377	Yes	
row_31	ANPEP	ANPEP	22140	-0.2917936444282532	-0.5778406	Yes	
row_32	PRSS23	PRSS23	22159	-0.2947459816932678	-0.55925477	Yes	
row_33	RAC2	RAC2	22161	-0.2948063015937805	-0.5399665	Yes	
row_34	COL1A2	COL1A2	22387	-0.3369918465614319	-0.5271149	Yes	
row_35	CNN2	CNN2	22435	-0.3473756015300751	-0.50626975	Yes	
row_36	MMP7	MMP7	22835	-0.3561997711658478	-0.4993072	Yes	
row_37	GPRC5A	GPRC5A	23055	-0.3724769353866577	-0.48388246	Yes	
row_38	NDRG1	NDRG1	23143	-0.3935607075691223	-0.4616524	Yes	
row_39	PLAUR	PLAUR	23251	-0.4076615571975708	-0.43931946	Yes	
row_40	S100A11	S100A11	23510	-0.4869850277900696	-0.4179891	Yes	
row_41	COL3A1	COL3A1	24022	-0.7565939426422119	-0.3893755	Yes	
row_42	TGFBI	TGFBI	24073	-0.8181709051132202	-0.33778533	Yes	
row_43	COL15A1	COL15A1	24141	-0.9355391263961792	-0.27919814	Yes	
row_44	CAV1	CAV1	24167	-1.0073903799057007	-0.2141745	Yes	
row_45	BNC2	BNC2	24170	-1.0117251873016357	-0.1479217	Yes	
row_46	LOX	LOX	24181	-1.0342859029769897	-0.08051835	Yes	
row_47	RARRES1	RARRES1	24291	-1.35712468624115	0.003985089	Yes	
