NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNK3	KCNK3	637	0.4579930305480957	0.022809962	No	
row_1	MYT1	MYT1	772	0.42683157324790955	0.06294978	No	
row_2	IL1RAPL1	IL1RAPL1	1044	0.40282732248306274	0.09489497	No	
row_3	SOX10	SOX10	1218	0.3503812253475189	0.12525734	No	
row_4	RAB33A	RAB33A	1432	0.2990778684616089	0.14849035	No	
row_5	MAST1	MAST1	1615	0.26906487345695496	0.16978727	No	
row_6	NHLH1	NHLH1	3110	0.17470683157444	0.1270996	No	
row_7	PCDHA9	PCDHA9	3292	0.159144327044487	0.13668299	No	
row_8	MYB	MYB	3304	0.15860751271247864	0.1531922	No	
row_9	SLC1A1	SLC1A1	3310	0.15831510722637177	0.16991661	No	
row_10	EPHB1	EPHB1	3890	0.11603285372257233	0.15854077	No	
row_11	PKMYT1	PKMYT1	4109	0.10614369809627533	0.16093652	No	
row_12	PTTG1	PTTG1	4337	0.09617248922586441	0.16189627	No	
row_13	GABRB3	GABRB3	4414	0.09275570511817932	0.16869341	No	
row_14	CENPJ	CENPJ	4429	0.0917208343744278	0.1779267	No	
row_15	GRID2	GRID2	4458	0.09027551859617233	0.18643035	No	
row_16	RASL11B	RASL11B	4608	0.08388117700815201	0.18927978	No	
row_17	BCL11A	BCL11A	4808	0.07788656651973724	0.18943428	No	
row_18	MTSS1	MTSS1	5265	0.06527062505483627	0.17768262	No	
row_19	HN1	HN1	5391	0.062231745570898056	0.1792028	No	
row_20	HDAC2	HDAC2	9019	0.014027106575667858	0.03171332	No	
row_21	PFDN2	PFDN2	9506	0.009805429726839066	0.012798037	No	
row_22	NPPA	NPPA	11467	0.0	-0.06771462	No	
row_23	HOXD3	HOXD3	13006	0.0	-0.13089241	No	
row_24	KLRC3	KLRC3	13097	0.0	-0.13458942	No	
row_25	TCP1	TCP1	16329	-0.01388750784099102	-0.26582697	No	
row_26	NARF	NARF	16761	-0.018303632736206055	-0.2815742	No	
row_27	GPR17	GPR17	17695	-0.029855387285351753	-0.3167072	No	
row_28	DCTN3	DCTN3	17984	-0.03413178771734238	-0.32488766	No	
row_29	PAK7	PAK7	18524	-0.04417736455798149	-0.34230444	No	
row_30	PLCB4	PLCB4	18763	-0.04948355257511139	-0.34678933	No	
row_31	SMPD3	SMPD3	18792	-0.05014129355549812	-0.34257755	No	
row_32	BAMBI	BAMBI	19650	-0.07740367949008942	-0.36950395	No	
row_33	PDGFRA	PDGFRA	20280	-0.10585758090019226	-0.3840218	No	
row_34	SLC17A6	SLC17A6	20679	-0.12698403000831604	-0.38679144	No	
row_35	DACH1	DACH1	22139	-0.29144200682640076	-0.41555804	Yes	
row_36	VIPR2	VIPR2	22235	-0.3089999258518219	-0.3864168	Yes	
row_37	JPH3	JPH3	22446	-0.34895631670951843	-0.35772666	Yes	
row_38	ERBB3	ERBB3	22455	-0.35089632868766785	-0.32053137	Yes	
row_39	SIM2	SIM2	22984	-0.3599110245704651	-0.30373254	Yes	
row_40	KLRK1	KLRK1	22992	-0.3612668216228485	-0.26538715	Yes	
row_41	CDKN1C	CDKN1C	23319	-0.4235043525695801	-0.23349011	Yes	
row_42	NMU	NMU	24013	-0.7502127289772034	-0.18173128	Yes	
row_43	CLGN	CLGN	24125	-0.920475423336029	-0.0878577	Yes	
row_44	HRASLS	HRASLS	24130	-0.9222230911254883	0.010598112	Yes	
