NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
RICHARDS_DEV_2021	3968	2653		
RICHARDS_INJ_2021	4399	3554		
WANG_MES_2017	50	48		
WANG_PN_2017	50	45		
WANG_CL_2017	50	47		
SCHMITT_TNF_2020	350	286		
SCHMITT_HMG_2020	344	275		
NEFTEL_MES2_2019	50	47		
NEFTEL_MES1_2019	50	42		
NEFTEL_AC_2019	39	38		
NEFTEL_OPC_2019	50	46		
NEFTEL_NPC1_2019	50	48		
NEFTEL_NPC2_2019	50	45		
NEFTEL_G1.S_2019	29	27		
NEFTEL_G2.M_2019	45	44		
VERHAAK_MES_2010	216	185		
VERHAAK_PN_2010	178	143		
VERHAAK_CL_2010	162	135		
VERHAAK_NEU_2010	129	112		
PHILLIPS_MES_2006	129	112		
PHILLIPS_PN_2006	236	214		
PHILLIPS_PROLIFERATIVE_2006	180	157		
FOSL1_REGULON	219	208		
VDR_REGULON	154	143		
SP100_REGULON	130	107		
ELF4_REGULON	132	122		
BNC2_REGULON	109	101		
OLIG2_REGULON	144	140		
SOX11_REGULON	127	119		
ASCL1_REGULON	98	94		
SALL2_REGULON	91	88		
POU3F3_REGULON	95	88		
