NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NEFTEL_NPC2_2019	NEFTEL_NPC2_2019	Details ...	45	-0.54730195	-1.7339267	0.007827789	0.018443286	0.015	936	tags=9%, list=4%, signal=9%	
POU3F3_REGULON	POU3F3_REGULON	Details ...	88	-0.505826	-1.6746476	0.0	0.013277199	0.022	3629	tags=15%, list=15%, signal=17%	
FOSL1_REGULON	FOSL1_REGULON	Details ...	208	-0.5214364	-1.5120555	0.034042552	0.10422026	0.176	3883	tags=29%, list=16%, signal=35%	
BNC2_REGULON	BNC2_REGULON	Details ...	101	-0.6206039	-1.4796375	0.02053388	0.1164419	0.243	3036	tags=35%, list=12%, signal=39%	
ELF4_REGULON	ELF4_REGULON	Details ...	122	-0.51623195	-1.4761231	0.023605151	0.101584285	0.263	3493	tags=25%, list=14%, signal=30%	
SOX11_REGULON	SOX11_REGULON	Details ...	119	-0.4462616	-1.4732685	0.061507937	0.086715296	0.269	3036	tags=18%, list=12%, signal=21%	
VERHAAK_CL_2010	VERHAAK_CL_2010	Details ...	135	-0.3692746	-1.4670454	0.014675053	0.07848638	0.282	5364	tags=27%, list=22%, signal=34%	
NEFTEL_MES2_2019	NEFTEL_MES2_2019	Details ...	47	-0.6219788	-1.4487569	0.11776859	0.08054946	0.31	5632	tags=60%, list=23%, signal=77%	
PHILLIPS_MES_2006	PHILLIPS_MES_2006	Details ...	112	-0.49859944	-1.435192	0.043032788	0.08261187	0.332	4423	tags=38%, list=18%, signal=46%	
WANG_MES_2017	WANG_MES_2017	Details ...	48	-0.6434542	-1.4328943	0.035164837	0.077863455	0.341	2758	tags=44%, list=11%, signal=49%	
RICHARDS_INJ_2021	RICHARDS_INJ_2021	Details ...	3554	-0.4462992	-1.3599949	0.032719836	0.1318517	0.522	3954	tags=24%, list=16%, signal=25%	
VERHAAK_MES_2010	VERHAAK_MES_2010	Details ...	185	-0.4938699	-1.3236738	0.07526882	0.1591419	0.628	3928	tags=36%, list=16%, signal=43%	
SCHMITT_TNF_2020	SCHMITT_TNF_2020	Details ...	286	-0.4104595	-1.3235664	0.07231405	0.14713097	0.628	4436	tags=28%, list=18%, signal=34%	
SALL2_REGULON	SALL2_REGULON	Details ...	88	-0.31376374	-1.2332503	0.06042885	0.26928315	0.838	2290	tags=9%, list=9%, signal=10%	
VDR_REGULON	VDR_REGULON	Details ...	143	-0.4548373	-1.2117401	0.14851485	0.299065	0.892	2763	tags=22%, list=11%, signal=25%	
SCHMITT_HMG_2020	SCHMITT_HMG_2020	Details ...	275	-0.35737228	-1.151571	0.18888889	0.37685576	0.934	3609	tags=20%, list=15%, signal=23%	
WANG_PN_2017	WANG_PN_2017	Details ...	45	-0.4467241	-1.1449606	0.2254902	0.3662339	0.943	2251	tags=22%, list=9%, signal=24%	
OLIG2_REGULON	OLIG2_REGULON	Details ...	140	-0.28925696	-1.1323965	0.22735675	0.36343735	0.949	3493	tags=13%, list=14%, signal=15%	
VERHAAK_NEU_2010	VERHAAK_NEU_2010	Details ...	112	-0.3042703	-0.94737345	0.54285717	0.6436056	0.991	1023	tags=7%, list=4%, signal=7%	
SP100_REGULON	SP100_REGULON	Details ...	107	-0.37118515	-0.9211689	0.6072961	0.6479768	0.992	3316	tags=24%, list=14%, signal=28%	
RICHARDS_DEV_2021	RICHARDS_DEV_2021		2653	-0.2522997	-0.88852704	0.79883945	0.67220837	1.0	3513	tags=12%, list=14%, signal=12%	
NEFTEL_AC_2019	NEFTEL_AC_2019		38	-0.34300613	-0.83876735	0.6279492	0.73569137	1.0	3276	tags=16%, list=13%, signal=18%	
ASCL1_REGULON	ASCL1_REGULON		94	-0.29850513	-0.81075805	0.7357002	0.7455865	1.0	1260	tags=7%, list=5%, signal=8%	
