NAME	TITLE	SCORE	
NFAM1	NFAM1	2.585998	
LCE3A	LCE3A	1.995229	
UBD	UBD	1.8902115	
SPIB	SPIB	1.7887617	
SRGN	SRGN	1.7496465	
GALNT9	GALNT9	1.6655431	
CXCL3	CXCL3	1.6215404	
FOXS1	FOXS1	1.6090643	
TRP63	TRP63	1.5921586	
FNDC7	FNDC7	1.5430728	
CDH9	CDH9	1.495643	
IL17RB	IL17RB	1.4722013	
CYLC1	CYLC1	1.4472334	
ROS1	ROS1	1.4322578	
UCP3	UCP3	1.4283855	
IL15	IL15	1.4246745	
VILL	VILL	1.4071201	
MIR8116	MIR8116	1.3655274	
GM11627	GM11627	1.3636978	
KCNJ8	KCNJ8	1.3397732	
DCAF12L2	DCAF12L2	1.2794211	
I730030J21RIK	I730030J21RIK	1.2575991	
TEX40	TEX40	1.2398179	
RAB42	RAB42	1.2393968	
MUC4	MUC4	1.23866	
1700120K04RIK	1700120K04RIK	1.22871	
C130060K24RIK	C130060K24RIK	1.2227801	
MSC	MSC	1.1971667	
4930593A02RIK	4930593A02RIK	1.1877992	
LRFN2	LRFN2	1.1741695	
CAR6	CAR6	1.1620975	
ADAD2	ADAD2	1.1409578	
MIR7674	MIR7674	1.1396247	
WNT6	WNT6	1.1133584	
PTPRV	PTPRV	1.0856463	
RIPPLY3	RIPPLY3	1.0714471	
1700001G11RIK	1700001G11RIK	1.0686774	
KRT8	KRT8	1.0547394	
CLCA3A2	CLCA3A2	1.0537227	
GLP1R	GLP1R	1.0498788	
PPP1R36	PPP1R36	1.0465567	
IL5RA	IL5RA	1.0460739	
CAPN12	CAPN12	1.0432811	
TNFRSF11B	TNFRSF11B	1.0428364	
CXCL5	CXCL5	1.0385472	
FGF8	FGF8	1.0364295	
IRF8	IRF8	1.0326598	
GM3086	GM3086	1.0319965	
MSLN	MSLN	1.0307142	
GM5136	GM5136	1.027783	
BSX	BSX	1.0154455	
SPNS3	SPNS3	1.0095749	
GABRA3	GABRA3	1.0057993	
PNMA3	PNMA3	1.0039302	
MS4A6D	MS4A6D	0.9988245	
1700007K09RIK	1700007K09RIK	0.99756783	
5430427O19RIK	5430427O19RIK	0.99494684	
EPHX2	EPHX2	0.99347615	
MGAT4C	MGAT4C	0.9836043	
ADAMTS3	ADAMTS3	0.9824965	
4933424G06RIK	4933424G06RIK	0.98154914	
SST	SST	0.97647506	
RHOH	RHOH	0.9710683	
MAEL	MAEL	0.97016585	
WBSCR25	WBSCR25	0.9632023	
KIF6	KIF6	0.96074724	
VAT1L	VAT1L	0.9593494	
CAPN9	CAPN9	0.9555434	
4930596I21RIK	4930596I21RIK	0.9552375	
ADAM2	ADAM2	0.94982433	
DCAF12L1	DCAF12L1	0.94919443	
COLQ	COLQ	0.94584566	
HEPHL1	HEPHL1	0.9415603	
GABRE	GABRE	0.9207692	
C230004F18RIK	C230004F18RIK	0.92051786	
CXCL16	CXCL16	0.91815	
ANG2	ANG2	0.9173529	
2010308F09RIK	2010308F09RIK	0.906921	
PDCD1LG2	PDCD1LG2	0.90582234	
FBP1	FBP1	0.8992078	
0610040F04RIK	0610040F04RIK	0.89799994	
6330403A02RIK	6330403A02RIK	0.89503175	
RIPK3	RIPK3	0.8938392	
FSTL4	FSTL4	0.89249426	
GGT6	GGT6	0.89120626	
LRMP	LRMP	0.89036757	
SLC15A3	SLC15A3	0.8894744	
LCP2	LCP2	0.8856439	
NKX2-5	NKX2-5	0.87738496	
HIST1H2AI	HIST1H2AI	0.87055945	
RASGEF1C	RASGEF1C	0.86878765	
RASGRP1	RASGRP1	0.86157167	
LY6G6D	LY6G6D	0.85296315	
LBP	LBP	0.85113883	
MS4A6B	MS4A6B	0.84864974	
SIAH3	SIAH3	0.84696406	
H2-DMB1	H2-DMB1	0.84692824	
KIRREL2	KIRREL2	0.84379643	
MARCH11	MARCH11	0.8432323	
ABCG1	ABCG1	0.84174687	
CD55	CD55	0.8414934	
PTGS2OS	PTGS2OS	0.83746153	
SLC39A4	SLC39A4	0.83298075	
NANOS2	NANOS2	0.8305436	
D630003M21RIK	D630003M21RIK	0.8291149	
C730036E19RIK	C730036E19RIK	0.8277942	
GM7168	GM7168	0.8255029	
PTH2R	PTH2R	0.8227197	
MIR7666	MIR7666	0.82036537	
SLC7A13	SLC7A13	0.82025546	
GM266	GM266	0.8177954	
FMR1NB	FMR1NB	0.81577235	
GABRA4	GABRA4	0.81542546	
AKR1CL	AKR1CL	0.8149429	
VMN2R57	VMN2R57	0.81323195	
MOCOS	MOCOS	0.81021255	
PRR16	PRR16	0.80712134	
GATA6	GATA6	0.8053361	
USP17LB	USP17LB	0.80524343	
LGI4	LGI4	0.8043138	
ZFP92	ZFP92	0.8037662	
CTNNA3	CTNNA3	0.8010709	
BC039771	BC039771	0.79649407	
ATP6V1G3	ATP6V1G3	0.7959383	
SERPINA3G	SERPINA3G	0.7954639	
ECSCR	ECSCR	0.7923086	
ZFP352	ZFP352	0.7920898	
TBRG3	TBRG3	0.7915361	
CD300LG	CD300LG	0.7908491	
BIRC7	BIRC7	0.78861225	
PRRG3	PRRG3	0.78818476	
WFDC18	WFDC18	0.7871913	
ISL1	ISL1	0.78659034	
KMO	KMO	0.78556985	
RBM46	RBM46	0.7844415	
GM595	GM595	0.7837786	
ADGRF3	ADGRF3	0.7832806	
C130026L21RIK	C130026L21RIK	0.7832806	
G6BOS	G6BOS	0.7832806	
SVOP	SVOP	0.7832109	
MIR7060	MIR7060	0.781588	
5830473C10RIK	5830473C10RIK	0.7805353	
MIR6371	MIR6371	0.7805353	
SLC16A11	SLC16A11	0.77856845	
GM7714	GM7714	0.77770895	
GM11545	GM11545	0.7767363	
ACER1	ACER1	0.77625793	
2010109I03RIK	2010109I03RIK	0.77527213	
SH2D7	SH2D7	0.77526975	
USP17LD	USP17LD	0.77365845	
TNS4	TNS4	0.7731577	
GRIA3	GRIA3	0.77235156	
MIR7220	MIR7220	0.7717318	
OIT1	OIT1	0.7717318	
PMP2	PMP2	0.771353	
TCTE1	TCTE1	0.7710083	
CCL11	CCL11	0.7710049	
GM525	GM525	0.7688845	
PRL7B1	PRL7B1	0.7687383	
4930452A19RIK	4930452A19RIK	0.76548135	
TRPC5	TRPC5	0.76422685	
MYH15	MYH15	0.7637938	
UPK1B	UPK1B	0.7611633	
MGP	MGP	0.76108164	
BC039966	BC039966	0.7606336	
GM15326	GM15326	0.76062024	
PLXDC2	PLXDC2	0.7603025	
BCL3	BCL3	0.7564135	
TCP10A	TCP10A	0.75610036	
HEMGN	HEMGN	0.7541053	
H2-M3	H2-M3	0.75254583	
1010001N08RIK	1010001N08RIK	0.75044864	
SLC6A4	SLC6A4	0.7488921	
MIR7054	MIR7054	0.74574864	
KCNMB1	KCNMB1	0.7357245	
CTRB1	CTRB1	0.7356382	
SPIC	SPIC	0.73512495	
EEF1A2	EEF1A2	0.7307191	
STAP2	STAP2	0.728696	
GLOD5	GLOD5	0.7270041	
PDGFD	PDGFD	0.7258853	
FBP2	FBP2	0.7252792	
3110035E14RIK	3110035E14RIK	0.7250209	
KCNA5	KCNA5	0.723372	
DUOXA1	DUOXA1	0.72176063	
MIR7664	MIR7664	0.71988684	
PCDHGA10	PCDHGA10	0.7186788	
CD1D2	CD1D2	0.7182945	
PARD6B	PARD6B	0.71817863	
DNAH8	DNAH8	0.7146407	
