NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK2	PCSK2	37	5.0	0.05372843	Yes	
row_1	RAB33A	RAB33A	369	2.9754538536071777	0.07171052	Yes	
row_2	RGR	RGR	394	2.7563669681549072	0.101166435	Yes	
row_3	KCNJ10	KCNJ10	518	2.4695680141448975	0.1229615	Yes	
row_4	ID4	ID4	566	2.1951143741607666	0.14515682	Yes	
row_5	NLGN3	NLGN3	696	1.9189767837524414	0.16057923	Yes	
row_6	SLC6A1	SLC6A1	701	1.9104607105255127	0.18156748	Yes	
row_7	SCG3	SCG3	752	1.8121998310089111	0.19938396	Yes	
row_8	GRIK4	GRIK4	775	1.7808018922805786	0.21812043	Yes	
row_9	ELAVL4	ELAVL4	823	1.700547456741333	0.23483557	Yes	
row_10	GAD1	GAD1	905	1.6028646230697632	0.24892873	Yes	
row_11	CRB1	CRB1	992	1.4821757078170776	0.26145816	Yes	
row_12	ABAT	ABAT	1213	1.2740298509597778	0.2656134	Yes	
row_13	DOCK10	DOCK10	1225	1.2663875818252563	0.27914786	Yes	
row_14	TTYH1	TTYH1	1289	1.2283103466033936	0.28990576	Yes	
row_15	ASTN1	ASTN1	1356	1.1784467697143555	0.29997525	Yes	
row_16	LSAMP	LSAMP	1410	1.152800440788269	0.31034926	Yes	
row_17	MYT1	MYT1	1426	1.1441594362258911	0.32234818	Yes	
row_18	BCAN	BCAN	1442	1.1379591226577759	0.33427843	Yes	
row_19	GRIA2	GRIA2	1556	1.082637906074524	0.34115806	Yes	
row_20	DCX	DCX	1578	1.074338436126709	0.35211164	Yes	
row_21	SALL2	SALL2	1644	1.035979986190796	0.3606478	Yes	
row_22	GPR37L1	GPR37L1	1665	1.0268919467926025	0.3711209	Yes	
row_23	CADM4	CADM4	1692	1.0117484331130981	0.38115454	Yes	
row_24	MAP2	MAP2	1712	1.0010610818862915	0.39138672	Yes	
row_25	B3GAT1	B3GAT1	1738	0.9875312447547913	0.40119728	Yes	
row_26	SCRG1	SCRG1	1740	0.9861408472061157	0.4120792	Yes	
row_27	TUBB2B	TUBB2B	1795	0.9611769914627075	0.42028457	Yes	
row_28	NDRG2	NDRG2	1850	0.9318373799324036	0.42816484	Yes	
row_29	ACSBG1	ACSBG1	1879	0.9185318946838379	0.437075	Yes	
row_30	NTRK3	NTRK3	1905	0.907748818397522	0.4460015	Yes	
row_31	MLC1	MLC1	1922	0.8993311524391174	0.45524228	Yes	
row_32	BTG2	BTG2	1929	0.8964940309524536	0.46490443	Yes	
row_33	OLIG2	OLIG2	1982	0.867942750453949	0.47216725	Yes	
row_34	KLF15	KLF15	1988	0.8648969531059265	0.4815246	Yes	
row_35	BMP7	BMP7	2038	0.845291018486023	0.48867226	Yes	
row_36	NCAN	NCAN	2117	0.8132631778717041	0.49415186	Yes	
row_37	ARHGEF9	ARHGEF9	2122	0.8104941248893738	0.5029516	Yes	
row_38	CSPG5	CSPG5	2171	0.7922572493553162	0.50955695	Yes	
row_39	JAKMIP2	JAKMIP2	2186	0.7881096005439758	0.51765585	Yes	
row_40	PPP1R3C	PPP1R3C	2203	0.7778793573379517	0.52555084	Yes	
row_41	REV3L	REV3L	2219	0.7692821025848389	0.5333959	Yes	
row_42	CLASP2	CLASP2	2418	0.7270553112030029	0.53248644	Yes	
row_43	PLXNB1	PLXNB1	2573	0.6990134119987488	0.5332587	Yes	
row_44	CSGALNACT1	CSGALNACT1	2651	0.6772782206535339	0.53727674	Yes	
row_45	PTN	PTN	2750	0.6590626239776611	0.54014206	Yes	
row_46	LPAR4	LPAR4	3249	0.6151450872421265	0.5244081	No	
row_47	HAPLN1	HAPLN1	3331	0.6019797921180725	0.5274107	No	
row_48	MAP3K1	MAP3K1	4285	0.5712952017784119	0.49058765	No	
row_49	CRMP1	CRMP1	4419	0.5338023900985718	0.49048012	No	
row_50	SATB2	SATB2	4820	0.45064640045166016	0.47736096	No	
row_51	MTSS1	MTSS1	5291	0.37845391035079956	0.46027216	No	
row_52	PHLPP1	PHLPP1	6044	0.2813570201396942	0.429338	No	
row_53	GPM6B	GPM6B	6372	0.2450457215309143	0.4172462	No	
row_54	PTP4A3	PTP4A3	6629	0.22235271334648132	0.40811792	No	
row_55	PTK7	PTK7	7455	0.15107181668281555	0.37243456	No	
row_56	SMARCD3	SMARCD3	7748	0.13439160585403442	0.36070147	No	
row_57	PID1	PID1	8312	0.0980522483587265	0.3362944	No	
row_58	SEPT2	SEPT2	8582	0.08122091740369797	0.32501364	No	
row_59	RERE	RERE	8855	0.0630771741271019	0.31339595	No	
row_60	BBS7	BBS7	9035	0.05015404149889946	0.3058463	No	
row_61	WBP4	WBP4	9303	0.03196689113974571	0.2941103	No	
row_62	TPBG	TPBG	9585	0.013011854141950607	0.28153035	No	
row_63	SNTG1	SNTG1	13131	-0.0018500648438930511	0.12102739	No	
row_64	MTMR12	MTMR12	13444	-0.0200688187032938	0.107121885	No	
row_65	CDK6	CDK6	13463	-0.021252943202853203	0.10654232	No	
row_66	UBN1	UBN1	13604	-0.03099440410733223	0.10054633	No	
row_67	LMO1	LMO1	13915	-0.05395789071917534	0.087106906	No	
row_68	TCF12	TCF12	14002	-0.06036471948027611	0.08388157	No	
row_69	SEPT7	SEPT7	14260	-0.07925597578287125	0.073122405	No	
row_70	RHOQ	RHOQ	14433	-0.09027475118637085	0.06633428	No	
row_71	GAB2	GAB2	14479	-0.09359357506036758	0.065333694	No	
row_72	ETV1	ETV1	14589	-0.1026938334107399	0.061535917	No	
row_73	ZCCHC24	ZCCHC24	14708	-0.111953504383564	0.057433214	No	
row_74	TBC1D9	TBC1D9	15921	-0.22604778409004211	0.0050566336	No	
row_75	GANAB	GANAB	16219	-0.25833138823509216	-0.0055295066	No	
row_76	MKNK1	MKNK1	16336	-0.27338707447052	-0.007752839	No	
row_77	P2RX7	P2RX7	16761	-0.3403628468513489	-0.023180777	No	
row_78	BAG2	BAG2	16801	-0.3477930724620819	-0.021092948	No	
row_79	PAK1	PAK1	17195	-0.41660749912261963	-0.034272306	No	
row_80	OGFRL1	OGFRL1	17550	-0.5019766688346863	-0.044739723	No	
row_81	RPE65	RPE65	17904	-0.5994260311126709	-0.054082043	No	
row_82	PLS1	PLS1	18400	-0.6012160181999207	-0.06983452	No	
row_83	ATP2B2	ATP2B2	19742	-0.7090757489204407	-0.12270012	No	
row_84	TRIM9	TRIM9	19957	-0.8009193539619446	-0.12351559	No	
row_85	ELF4	ELF4	20859	-1.4455798864364624	-0.14829622	No	
row_86	IER3	IER3	20879	-1.4622268676757812	-0.13295397	No	
row_87	SEMA5A	SEMA5A	20903	-1.4838509559631348	-0.11755324	No	
row_88	MAOB	MAOB	20984	-1.5975261926651	-0.103473954	No	
row_89	MET	MET	21431	-2.2168397903442383	-0.099105276	No	
row_90	COBL	COBL	21546	-2.571014404296875	-0.07577857	No	
row_91	RHBDF2	RHBDF2	21846	-4.405083656311035	-0.040506065	No	
row_92	MASP1	MASP1	21964	-5.0	0.009599835	No	
