NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOX	LOX	30	5.0	0.03594561	No	
row_1	MLPH	MLPH	396	2.7563669681549072	0.039978974	No	
row_2	PHACTR1	PHACTR1	871	1.6404832601547241	0.030750047	No	
row_3	WIF1	WIF1	1066	1.3981921672821045	0.032395154	No	
row_4	DPYD	DPYD	1075	1.389772891998291	0.04240174	No	
row_5	ENPP1	ENPP1	1245	1.2504644393920898	0.044076964	No	
row_6	TTYH1	TTYH1	1289	1.2283103466033936	0.05129368	No	
row_7	ARHGDIG	ARHGDIG	1298	1.221928596496582	0.060048	No	
row_8	RNFT2	RNFT2	1366	1.1733397245407104	0.06576758	No	
row_9	WNT5A	WNT5A	1524	1.0952054262161255	0.066827945	No	
row_10	PTPRR	PTPRR	1559	1.0816833972930908	0.07335832	No	
row_11	SALL2	SALL2	1644	1.035979986190796	0.077283114	No	
row_12	OLIG2	OLIG2	1982	0.867942750453949	0.068495356	No	
row_13	CTNND2	CTNND2	2127	0.8093534111976624	0.068011805	No	
row_14	CSPG5	CSPG5	2171	0.7922572493553162	0.07197519	No	
row_15	PCCB	PCCB	2666	0.6733319759368896	0.05462463	No	
row_16	COL1A1	COL1A1	3080	0.6313416361808777	0.04062943	No	
row_17	COL1A2	COL1A2	3781	0.6016772389411926	0.013414135	No	
row_18	ASB13	ASB13	4387	0.5440879464149475	-0.009928096	No	
row_19	CHD7	CHD7	4776	0.4584572911262512	-0.024080863	No	
row_20	SEC61A2	SEC61A2	4901	0.4361177980899811	-0.02644324	No	
row_21	MARK1	MARK1	4921	0.4325443506240845	-0.024076628	No	
row_22	CAMSAP1	CAMSAP1	6094	0.27615293860435486	-0.075098395	No	
row_23	HBP1	HBP1	6149	0.26891618967056274	-0.07553781	No	
row_24	ABCA3	ABCA3	7439	0.15271629393100739	-0.13277967	No	
row_25	CCDC88C	CCDC88C	7623	0.1407228261232376	-0.14001818	No	
row_26	MAPK9	MAPK9	7876	0.1274329423904419	-0.15048099	No	
row_27	CYP1B1	CYP1B1	8111	0.11120954900979996	-0.16024956	No	
row_28	MBNL2	MBNL2	8449	0.08963033556938171	-0.17484422	No	
row_29	TPD52L1	TPD52L1	9262	0.03620531037449837	-0.21135113	No	
row_30	SGCE	SGCE	9400	0.02585638128221035	-0.21736321	No	
row_31	CNN1	CNN1	10756	0.0	-0.27873373	No	
row_32	BST1	BST1	11123	0.0	-0.29531056	No	
row_33	MCTP2	MCTP2	11259	0.0	-0.30142498	No	
row_34	LUM	LUM	11318	0.0	-0.3040519	No	
row_35	RAB27A	RAB27A	13040	-6.562682683579624E-4	-0.38199437	No	
row_36	PSD4	PSD4	13133	-0.0018500648438930511	-0.38614744	No	
row_37	CKB	CKB	13233	-0.005127084441483021	-0.39059308	No	
row_38	GBE1	GBE1	14025	-0.06244818866252899	-0.42595306	No	
row_39	PAM	PAM	14628	-0.10681287944316864	-0.45242187	No	
row_40	ARHGAP10	ARHGAP10	15796	-0.21181803941726685	-0.50369716	No	
row_41	PLA2R1	PLA2R1	16201	-0.2559051811695099	-0.5200858	No	
row_42	ADAMTS1	ADAMTS1	16243	-0.2611839771270752	-0.51999414	No	
row_43	ALDH1A1	ALDH1A1	16631	-0.316703200340271	-0.53515923	No	
row_44	OLFML2A	OLFML2A	17055	-0.3918672800064087	-0.55139405	No	
row_45	TSPAN9	TSPAN9	17409	-0.46313366293907166	-0.5639267	No	
row_46	EDIL3	EDIL3	17453	-0.47351574897766113	-0.5623414	No	
row_47	ACVR1	ACVR1	17616	-0.5183045268058777	-0.5658117	No	
row_48	STAT4	STAT4	18025	-0.5994260311126709	-0.57981855	No	
row_49	ABLIM3	ABLIM3	18484	-0.6021458506584167	-0.5960697	No	
row_50	CLCA2	CLCA2	18500	-0.6021458506584167	-0.59225655	No	
row_51	CH25H	CH25H	18539	-0.6021458506584167	-0.5894851	No	
row_52	ARPC1B	ARPC1B	19689	-0.7028025388717651	-0.63628197	Yes	
row_53	RGS4	RGS4	19744	-0.7097557187080383	-0.6334323	Yes	
row_54	GEM	GEM	19877	-0.751667857170105	-0.6338028	Yes	
row_55	MDFIC	MDFIC	19977	-0.811292290687561	-0.63223374	Yes	
row_56	CNN2	CNN2	20029	-0.8426572680473328	-0.6282566	Yes	
row_57	ANXA5	ANXA5	20071	-0.8709419369697571	-0.6236156	Yes	
row_58	CAV2	CAV2	20195	-0.9470791816711426	-0.6221205	Yes	
row_59	IL1R1	IL1R1	20381	-1.0692781209945679	-0.62252176	Yes	
row_60	B4GALT1	B4GALT1	20384	-1.0710091590881348	-0.61462164	Yes	
row_61	THBS1	THBS1	20398	-1.0817452669143677	-0.6071397	Yes	
row_62	COL5A3	COL5A3	20477	-1.1316144466400146	-0.60222965	Yes	
row_63	AHNAK	AHNAK	20623	-1.2379827499389648	-0.5995605	Yes	
row_64	COL3A1	COL3A1	20641	-1.2531524896621704	-0.5909809	Yes	
row_65	GCNT1	GCNT1	20662	-1.2748855352401733	-0.58237493	Yes	
row_66	TGFBR2	TGFBR2	20664	-1.2783174514770508	-0.5728829	Yes	
row_67	MYO1C	MYO1C	20732	-1.3333239555358887	-0.5659697	Yes	
row_68	CPA4	CPA4	20739	-1.3394564390182495	-0.5562479	Yes	
row_69	SLC10A3	SLC10A3	20759	-1.3545364141464233	-0.54700243	Yes	
row_70	ITGA1	ITGA1	20770	-1.3614469766616821	-0.5372978	Yes	
row_71	COPZ2	COPZ2	20809	-1.3998287916183472	-0.52857494	Yes	
row_72	AQP1	AQP1	21029	-1.6561564207077026	-0.5261375	Yes	
row_73	ANXA2	ANXA2	21058	-1.6946974992752075	-0.51476175	Yes	
row_74	MYOF	MYOF	21202	-1.8766800165176392	-0.5072368	Yes	
row_75	PTGS2	PTGS2	21243	-1.9323681592941284	-0.49463132	Yes	
row_76	PPL	PPL	21252	-1.9569783210754395	-0.48039287	Yes	
row_77	PTGER4	PTGER4	21314	-2.033033847808838	-0.46798748	Yes	
row_78	GSDMD	GSDMD	21328	-2.0599215030670166	-0.45320746	Yes	
row_79	PIK3CD	PIK3CD	21350	-2.0878427028656006	-0.43858147	Yes	
row_80	AMIGO2	AMIGO2	21362	-2.125363826751709	-0.4232226	Yes	
row_81	COL6A2	COL6A2	21407	-2.1584081649780273	-0.40911183	Yes	
row_82	MET	MET	21431	-2.2168397903442383	-0.393614	Yes	
row_83	ANXA1	ANXA1	21470	-2.3273303508758545	-0.37797117	Yes	
row_84	SLC14A1	SLC14A1	21480	-2.3549466133117676	-0.36080882	Yes	
row_85	CAV1	CAV1	21642	-2.729459524154663	-0.34773666	Yes	
row_86	ACPP	ACPP	21734	-2.991307258605957	-0.32954046	Yes	
row_87	TGFBI	TGFBI	21757	-3.0917420387268066	-0.3074698	Yes	
row_88	CAST	CAST	21765	-3.1564998626708984	-0.28423658	Yes	
row_89	P4HA2	P4HA2	21767	-3.183842182159424	-0.26052764	Yes	
row_90	PROCR	PROCR	21818	-3.72926926612854	-0.23496863	Yes	
row_91	GLT8D2	GLT8D2	21825	-3.8202104568481445	-0.20673828	Yes	
row_92	PLAUR	PLAUR	21880	-4.803990840911865	-0.17334206	Yes	
row_93	SEMA3C	SEMA3C	21898	-5.0	-0.13680767	Yes	
row_94	SYNC	SYNC	21931	-5.0	-0.10095263	Yes	
row_95	TRPV2	TRPV2	21948	-5.0	-0.064372934	Yes	
row_96	DCN	DCN	21953	-5.0	-0.027249737	Yes	
row_97	COL6A3	COL6A3	22026	-5.0	0.0067936135	Yes	
