NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC46A3	SLC46A3	778	1.7760705947875977	-0.019588323	No	
row_1	SLC37A1	SLC37A1	799	1.7446869611740112	-0.0050882776	No	
row_2	TIAM1	TIAM1	903	1.6071122884750366	0.004433911	No	
row_3	EDNRB	EDNRB	1286	1.229903221130371	-0.0020239623	No	
row_4	BCAN	BCAN	1442	1.1379591226577759	9.977523E-4	No	
row_5	FBXO2	FBXO2	1505	1.1066808700561523	0.007959608	No	
row_6	MAP2	MAP2	1712	1.0010610818862915	0.007460227	No	
row_7	PIK3C2B	PIK3C2B	1839	0.9401041865348816	0.010049522	No	
row_8	NCAN	NCAN	2117	0.8132631778717041	0.0046728244	No	
row_9	GLRX	GLRX	2126	0.8096615672111511	0.011459997	No	
row_10	BCAR3	BCAR3	2141	0.8038654923439026	0.017923962	No	
row_11	PLP1	PLP1	2275	0.7499949932098389	0.018517103	No	
row_12	CASP7	CASP7	2296	0.744138240814209	0.024181614	No	
row_13	ECHDC2	ECHDC2	2498	0.7058989405632019	0.021302436	No	
row_14	ROR2	ROR2	2569	0.7005557417869568	0.024315229	No	
row_15	ASCL1	ASCL1	2920	0.6363744735717773	0.014066874	No	
row_16	CASP6	CASP6	3246	0.6165546178817749	0.004776925	No	
row_17	FLRT3	FLRT3	4301	0.5663595795631409	-0.038007013	No	
row_18	PRX	PRX	4410	0.5359113812446594	-0.038170952	No	
row_19	IFT88	IFT88	4468	0.5231250524520874	-0.036135614	No	
row_20	MDK	MDK	4971	0.42565178871154785	-0.05513603	No	
row_21	PLEKHA5	PLEKHA5	5059	0.41202810406684875	-0.055441864	No	
row_22	PRPS2	PRPS2	5392	0.36501678824424744	-0.06727043	No	
row_23	WDR44	WDR44	5472	0.3547256588935852	-0.06771958	No	
row_24	SMAGP	SMAGP	5602	0.33557364344596863	-0.07060472	No	
