NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADORA2B	ADORA2B	348	3.4488673210144043	2.0276013E-4	No	
row_1	MAST1	MAST1	592	2.0933618545532227	-0.0011201588	No	
row_2	CXXC4	CXXC4	634	2.0528807640075684	0.0065613394	No	
row_3	GFPT2	GFPT2	1032	1.4343132972717285	-0.004834901	No	
row_4	RNFT2	RNFT2	1366	1.1733397245407104	-0.014532319	No	
row_5	DLX2	DLX2	1423	1.1449155807495117	-0.011756123	No	
row_6	KCNAB2	KCNAB2	1466	1.1307944059371948	-0.008408483	No	
row_7	MAP2	MAP2	1712	1.0010610818862915	-0.014902386	No	
row_8	BACE2	BACE2	1714	0.9983385801315308	-0.010304918	No	
row_9	KCND2	KCND2	1995	0.8625956773757935	-0.019035572	No	
row_10	PYGB	PYGB	2044	0.8429145812988281	-0.017299827	No	
row_11	GLRX	GLRX	2126	0.8096615672111511	-0.017220505	No	
row_12	CTNND2	CTNND2	2127	0.8093534111976624	-0.013456442	No	
row_13	MARCKSL1	MARCKSL1	2177	0.7903546094894409	-0.012010646	No	
row_14	CDC42EP3	CDC42EP3	2609	0.6875696778297424	-0.028427053	No	
row_15	CD46	CD46	2715	0.6679529547691345	-0.030098977	No	
row_16	FUT9	FUT9	3243	0.6174033880233765	-0.051210504	No	
row_17	RBKS	RBKS	4453	0.5270509123802185	-0.10377891	No	
row_18	ABCD1	ABCD1	4472	0.5217102766036987	-0.10217175	No	
row_19	FOXN3	FOXN3	4492	0.5185456871986389	-0.1006248	No	
row_20	PLEKHF1	PLEKHF1	4621	0.48494765162467957	-0.10419452	No	
row_21	PRNP	PRNP	4627	0.4830296039581299	-0.10217564	No	
row_22	TSPAN7	TSPAN7	4665	0.47538572549819946	-0.10164857	No	
row_23	CHD7	CHD7	4776	0.4584572911262512	-0.10452233	No	
row_24	ITGA6	ITGA6	5156	0.39768680930137634	-0.11992046	No	
row_25	CDKN1B	CDKN1B	5400	0.3639674782752991	-0.12928629	No	
row_26	MYLK	MYLK	5503	0.3494091331958771	-0.13230313	No	
row_27	SMAGP	SMAGP	5602	0.33557364344596863	-0.1352023	No	
row_28	ANP32A	ANP32A	5651	0.3287352919578552	-0.13585785	No	
row_29	NSMAF	NSMAF	6161	0.26825281977653503	-0.15777402	No	
row_30	CBX7	CBX7	6533	0.23234045505523682	-0.17357707	No	
row_31	SSH3	SSH3	6572	0.22811707854270935	-0.17424548	No	
row_32	PARVB	PARVB	6784	0.20801687240600586	-0.18288031	No	
row_33	TPD52L2	TPD52L2	6850	0.20270317792892456	-0.18489563	No	
row_34	WIPI1	WIPI1	6917	0.19673143327236176	-0.18698426	No	
row_35	ARFRP1	ARFRP1	7012	0.19006888568401337	-0.19037808	No	
row_36	TCF4	TCF4	7537	0.1444566398859024	-0.21355262	No	
row_37	ZMYM4	ZMYM4	7806	0.13107509911060333	-0.22513926	No	
row_38	PIGT	PIGT	7964	0.12187337130308151	-0.23171727	No	
row_39	DSTN	DSTN	8510	0.08610931038856506	-0.25611883	No	
row_40	FBRS	FBRS	8554	0.08293993771076202	-0.25768995	No	
row_41	FYCO1	FYCO1	8607	0.07930560410022736	-0.25968757	No	
