NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGT	AGT	850	1.6660915613174438	0.016746942	Yes	
row_1	S100A16	S100A16	1093	1.3812525272369385	0.051527854	Yes	
row_2	GATM	GATM	1204	1.2868763208389282	0.08914729	Yes	
row_3	HEY1	HEY1	1266	1.2456437349319458	0.12761527	Yes	
row_4	EDNRB	EDNRB	1286	1.229903221130371	0.16745928	Yes	
row_5	TTYH1	TTYH1	1289	1.2283103466033936	0.20801838	Yes	
row_6	BCAN	BCAN	1442	1.1379591226577759	0.23881264	Yes	
row_7	SPARCL1	SPARCL1	1588	1.0677646398544312	0.2676001	Yes	
row_8	GFAP	GFAP	1654	1.0331535339355469	0.2988553	Yes	
row_9	PTPRZ1	PTPRZ1	1701	1.0075551271438599	0.33012152	Yes	
row_10	AQP4	AQP4	1809	0.9525830745697021	0.3568134	Yes	
row_11	NDRG2	NDRG2	1850	0.9318373799324036	0.38584483	Yes	
row_12	RAMP1	RAMP1	1876	0.919358491897583	0.41514075	Yes	
row_13	FABP7	FABP7	1891	0.9144015312194824	0.4447694	Yes	
row_14	MLC1	MLC1	1922	0.8993311524391174	0.47317675	Yes	
row_15	S100B	S100B	2014	0.8564072847366333	0.49740848	Yes	
row_16	ATP1B2	ATP1B2	2123	0.8104680180549622	0.5193521	Yes	
row_17	SLC1A3	SLC1A3	2195	0.7833418846130371	0.5420691	Yes	
row_18	ATP1A2	ATP1A2	2413	0.7277781367301941	0.5563532	Yes	
row_19	PCDHGC3	PCDHGC3	2540	0.7027573585510254	0.5739193	Yes	
row_20	CST3	CST3	4259	0.5800396203994751	0.5155214	No	
row_21	TSPAN7	TSPAN7	4665	0.47538572549819946	0.51296186	No	
row_22	MT3	MT3	4714	0.46882638335227966	0.52630913	No	
row_23	DBI	DBI	6371	0.24520060420036316	0.4596304	No	
row_24	GPM6B	GPM6B	6372	0.2450457215309143	0.46773988	No	
row_25	CLU	CLU	7980	0.12105651944875717	0.39916584	No	
row_26	PON2	PON2	8017	0.11813973635435104	0.4014496	No	
row_27	RAB31	RAB31	8535	0.08423570543527603	0.3808869	No	
row_28	F3	F3	15573	-0.18768465518951416	0.06927145	No	
row_29	PRCP	PRCP	15761	-0.20756728947162628	0.06769477	No	
row_30	HOPX	HOPX	15911	-0.22477184236049652	0.06840372	No	
row_31	SPARC	SPARC	16714	-0.33108675479888916	0.04313824	No	
row_32	ANXA5	ANXA5	20071	-0.8709419369697571	-0.07961301	No	
row_33	PMP22	PMP22	20136	-0.914936900138855	-0.052224852	No	
row_34	METTL7B	METTL7B	20941	-1.5307327508926392	-0.037879847	No	
row_35	PLTP	PLTP	21667	-2.8287365436553955	0.022989042	No	
