NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM7	MCM7	7093	0.18098001182079315	-0.31152633	No	
row_1	ZWINT	ZWINT	7468	0.1501152515411377	-0.3211954	No	
row_2	TMEM106C	TMEM106C	8340	0.09625198692083359	-0.35589153	No	
row_3	RRM1	RRM1	9947	6.831538630649447E-4	-0.42836434	No	
row_4	HIST1H4C	HIST1H4C	10296	0.0	-0.44407538	No	
row_5	GMNN	GMNN	13435	-0.019596314057707787	-0.5848039	No	
row_6	RNASEH2A	RNASEH2A	15203	-0.14872989058494568	-0.6574289	No	
row_7	FEN1	FEN1	15472	-0.17589744925498962	-0.66107315	No	
row_8	MCM4	MCM4	16358	-0.27579277753829956	-0.6877711	No	
row_9	CKS1B	CKS1B	16823	-0.3520224690437317	-0.691798	No	
row_10	GINS2	GINS2	16979	-0.3772019147872925	-0.68066424	No	
row_11	DUT	DUT	17056	-0.39205172657966614	-0.6652501	No	
row_12	PCNA	PCNA	17597	-0.5142728090286255	-0.66490906	No	
row_13	MCM3	MCM3	19843	-0.7347274422645569	-0.7309463	Yes	
row_14	MCM2	MCM2	19937	-0.7900844812393188	-0.69716686	Yes	
row_15	CENPK	CENPK	20267	-0.9912191033363342	-0.6643738	Yes	
row_16	PKMYT1	PKMYT1	20357	-1.050069808959961	-0.6179167	Yes	
row_17	RRM2	RRM2	20373	-1.0632655620574951	-0.56748444	Yes	
row_18	CDCA5	CDCA5	20482	-1.1373988389968872	-0.5176874	Yes	
row_19	CDC45	CDC45	20737	-1.3380790948867798	-0.46483535	Yes	
row_20	MELK	MELK	20777	-1.3679784536361694	-0.40083954	Yes	
row_21	RAD51AP1	RAD51AP1	20805	-1.3925096988677979	-0.3351228	Yes	
row_22	TK1	TK1	20812	-1.4037573337554932	-0.2679173	Yes	
row_23	CCNE2	CCNE2	20883	-1.46415114402771	-0.2006982	Yes	
row_24	ASF1B	ASF1B	21020	-1.6407697200775146	-0.12796898	Yes	
row_25	CENPM	CENPM	21121	-1.763352632522583	-0.047722135	Yes	
row_26	AURKB	AURKB	21275	-1.9827311038970947	0.040677108	Yes	
