NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGB3	HMGB3	1517	1.0984647274017334	-0.035729606	No	
row_1	MZT1	MZT1	4247	0.5822011828422546	-0.1416396	No	
row_2	NCAPD2	NCAPD2	8680	0.07493305951356888	-0.3396454	No	
row_3	GPSM2	GPSM2	8746	0.07065147161483765	-0.34047186	No	
row_4	KPNA2	KPNA2	13030	-6.562682683579624E-4	-0.5339642	No	
row_5	ARL6IP1	ARL6IP1	13945	-0.05548594892024994	-0.5736027	No	
row_6	TMPO	TMPO	13973	-0.058184944093227386	-0.5730846	No	
row_7	RANGAP1	RANGAP1	14341	-0.08398284763097763	-0.58715767	No	
row_8	H2AFZ	H2AFZ	14721	-0.11372817307710648	-0.60088444	No	
row_9	CKAP2	CKAP2	15489	-0.17820334434509277	-0.6302157	No	
row_10	ANP32E	ANP32E	15494	-0.1783479005098343	-0.62506926	No	
row_11	CDC25B	CDC25B	15666	-0.19555872678756714	-0.6269541	No	
row_12	SPAG5	SPAG5	16162	-0.2508433163166046	-0.6418263	No	
row_13	TUBA1C	TUBA1C	16681	-0.3256896734237671	-0.6555021	No	
row_14	TUBB4B	TUBB4B	16738	-0.3357051908969879	-0.6480049	No	
row_15	SMC4	SMC4	16828	-0.35340821743011475	-0.6414699	No	
row_16	TACC3	TACC3	16942	-0.3713563084602356	-0.6354832	No	
row_17	ARHGAP11A	ARHGAP11A	17763	-0.5724838376045227	-0.6554321	No	
row_18	REEP4	REEP4	17804	-0.5853811502456665	-0.63975435	No	
row_19	OIP5	OIP5	18959	-0.6048503518104553	-0.6738271	No	
row_20	PLK1	PLK1	19513	-0.6572316288948059	-0.6791813	Yes	
row_21	KIF11	KIF11	19576	-0.6775391101837158	-0.6617448	Yes	
row_22	KNSTRN	KNSTRN	19852	-0.7385558485984802	-0.6521094	Yes	
row_23	CCNB2	CCNB2	19981	-0.8131812810897827	-0.6336033	Yes	
row_24	CENPF	CENPF	20028	-0.8419771194458008	-0.61053216	Yes	
row_25	KIF20A	KIF20A	20033	-0.8447368741035461	-0.58548105	Yes	
row_26	CCNA2	CCNA2	20064	-0.8651789426803589	-0.560994	Yes	
row_27	CDCA8	CDCA8	20084	-0.8803303241729736	-0.53555745	Yes	
row_28	RACGAP1	RACGAP1	20113	-0.8970589637756348	-0.5100279	Yes	
row_29	CCNB1	CCNB1	20155	-0.9233452081680298	-0.48430043	Yes	
row_30	FOXM1	FOXM1	20182	-0.9381861090660095	-0.45745203	Yes	
row_31	AURKA	AURKA	20225	-0.9627575278282166	-0.43059257	Yes	
row_32	CDCA3	CDCA3	20253	-0.9827807545661926	-0.4024573	Yes	
row_33	TROAP	TROAP	20263	-0.9877825379371643	-0.37335938	Yes	
row_34	CKAP2L	CKAP2L	20282	-0.9968392848968506	-0.34439754	Yes	
row_35	BUB1B	BUB1B	20291	-1.0048179626464844	-0.3147456	Yes	
row_36	PSRC1	PSRC1	20510	-1.1523926258087158	-0.29017377	Yes	
row_37	ECT2	ECT2	20543	-1.1764636039733887	-0.2564792	Yes	
row_38	CDC20	CDC20	20647	-1.2568238973617554	-0.2235922	Yes	
row_39	KIFC1	KIFC1	20728	-1.331272006034851	-0.1874423	Yes	
row_40	BUB1	BUB1	20907	-1.4867885112762451	-0.15107498	Yes	
row_41	KIF2C	KIF2C	21278	-1.9873604774475098	-0.10843065	Yes	
row_42	TTK	TTK	21280	-1.9941896200180054	-0.048910398	Yes	
row_43	MXD3	MXD3	21733	-2.9912662506103516	0.020015208	Yes	
