NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANGPTL4	ANGPTL4	550	2.2602269649505615	0.03197282	No	
row_1	EPAS1	EPAS1	3203	0.6301994919776917	-0.07202021	No	
row_2	LGALS3	LGALS3	5240	0.3856656849384308	-0.15432572	No	
row_3	BNIP3L	BNIP3L	5981	0.28847184777259827	-0.18051182	No	
row_4	UFM1	UFM1	8034	0.1168304979801178	-0.27029932	No	
row_5	RPL21	RPL21	8073	0.11441279202699661	-0.2691399	No	
row_6	HILPDA	HILPDA	13192	-0.002625861903652549	-0.5003436	No	
row_7	AKAP12	AKAP12	13357	-0.013731017708778381	-0.50740916	No	
row_8	GBE1	GBE1	14025	-0.06244818866252899	-0.5359792	No	
row_9	DNAJB9	DNAJB9	14720	-0.11342033743858337	-0.56448776	No	
row_10	BNIP3	BNIP3	15769	-0.20821693539619446	-0.60660934	No	
row_11	INSIG2	INSIG2	16066	-0.23997259140014648	-0.61395156	No	
row_12	SLC39A14	SLC39A14	16396	-0.28114643692970276	-0.62174976	No	
row_13	TRAM1	TRAM1	16463	-0.29135802388191223	-0.6174069	No	
row_14	WARS	WARS	16824	-0.3523775339126587	-0.62481505	Yes	
row_15	HSPA9	HSPA9	16899	-0.36330845952033997	-0.6190247	Yes	
row_16	HSPA5	HSPA5	16923	-0.36684784293174744	-0.61084086	Yes	
row_17	XPOT	XPOT	16956	-0.3731103241443634	-0.6029062	Yes	
row_18	VIM	VIM	17087	-0.3983161151409149	-0.59876627	Yes	
row_19	SQSTM1	SQSTM1	17102	-0.40064600110054016	-0.58932596	Yes	
row_20	P4HA1	P4HA1	17236	-0.4251481592655182	-0.58464694	Yes	
row_21	GOLT1B	GOLT1B	17401	-0.4618696868419647	-0.5804455	Yes	
row_22	NAMPT	NAMPT	17463	-0.47518664598464966	-0.5712549	Yes	
row_23	HERPUD1	HERPUD1	17501	-0.48651501536369324	-0.56069505	Yes	
row_24	EGLN3	EGLN3	17552	-0.502682626247406	-0.55031615	Yes	
row_25	LDHA	LDHA	17712	-0.550307035446167	-0.5436653	Yes	
row_26	SLC2A3	SLC2A3	17819	-0.590648353099823	-0.5336053	Yes	
row_27	PGK1	PGK1	18990	-0.6137352585792542	-0.5710443	Yes	
row_28	DDIT3	DDIT3	19757	-0.7107589840888977	-0.5877883	Yes	
row_29	SLC6A6	SLC6A6	19833	-0.7306085824966431	-0.57280856	Yes	
row_30	ENO2	ENO2	20010	-0.8307062983512878	-0.5598762	Yes	
row_31	PPP1R15A	PPP1R15A	20124	-0.9082198143005371	-0.54214823	Yes	
row_32	ADM	ADM	20213	-0.9585717916488647	-0.5220246	Yes	
row_33	PLOD2	PLOD2	20229	-0.9657065272331238	-0.4984229	Yes	
row_34	CDKN1A	CDKN1A	20334	-1.034822702407837	-0.47710517	Yes	
row_35	ASNS	ASNS	20396	-1.0815569162368774	-0.45266944	Yes	
row_36	ERO1L	ERO1L	20474	-1.1278233528137207	-0.42779347	Yes	
row_37	SERTAD1	SERTAD1	20654	-1.2678894996643066	-0.40400514	Yes	
row_38	PFKP	PFKP	20914	-1.4971178770065308	-0.3780686	Yes	
row_39	IGFBP3	IGFBP3	20978	-1.5843416452407837	-0.34108236	Yes	
row_40	NDRG1	NDRG1	21010	-1.6281667947769165	-0.30154827	Yes	
row_41	ANXA2	ANXA2	21058	-1.6946974992752075	-0.2610645	Yes	
row_42	TRIB3	TRIB3	21220	-1.8967326879501343	-0.22065261	Yes	
row_43	SLC2A1	SLC2A1	21341	-2.0756266117095947	-0.17389032	Yes	
row_44	NRN1	NRN1	21370	-2.140681505203247	-0.121335186	Yes	
row_45	GDF15	GDF15	21468	-2.3228859901428223	-0.06731706	Yes	
row_46	ATF3	ATF3	21828	-3.9482083320617676	0.015725316	Yes	
