NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLX5	DLX5	43	5.0	0.124478444	Yes	
row_1	SNAP25	SNAP25	519	2.4603137969970703	0.16522446	Yes	
row_2	KIF5A	KIF5A	581	2.140167236328125	0.21658091	Yes	
row_3	ELAVL4	ELAVL4	823	1.700547456741333	0.24868926	Yes	
row_4	TAGLN3	TAGLN3	930	1.561931848526001	0.2833923	Yes	
row_5	IGFBPL1	IGFBPL1	990	1.4853758811950684	0.3182832	Yes	
row_6	DPYSL5	DPYSL5	1099	1.3752206563949585	0.34817505	Yes	
row_7	NSG1	NSG1	1173	1.3177496194839478	0.3781951	Yes	
row_8	SEPT3	SEPT3	1404	1.1572966575622559	0.39706475	Yes	
row_9	TUBB3	TUBB3	1436	1.1406493186950684	0.42450458	Yes	
row_10	PKIA	PKIA	1499	1.1104867458343506	0.44978118	Yes	
row_11	DCX	DCX	1578	1.074338436126709	0.47342086	Yes	
row_12	MIAT	MIAT	1630	1.0413480997085571	0.4974463	Yes	
row_13	NREP	NREP	1955	0.8808513879776001	0.5050792	Yes	
row_14	TUBB2A	TUBB2A	1991	0.8643067479133606	0.52535117	Yes	
row_15	NDRG4	NDRG4	2198	0.7815202474594116	0.535804	Yes	
row_16	PAK3	PAK3	2492	0.7088932394981384	0.5404897	Yes	
row_17	SOX11	SOX11	2717	0.6675968170166016	0.5472487	Yes	
row_18	GNG3	GNG3	3880	0.6016772389411926	0.5099609	No	
row_19	FNBP1L	FNBP1L	4257	0.5801594257354736	0.50764155	No	
row_20	BLCAP	BLCAP	4355	0.551528811454773	0.5172039	No	
row_21	DBN1	DBN1	4366	0.5504633784294128	0.53067017	No	
row_22	MLLT11	MLLT11	4639	0.48023343086242676	0.5305232	No	
row_23	SOX4	SOX4	5577	0.3382950723171234	0.49674174	No	
row_24	DPYSL3	DPYSL3	7128	0.17897428572177887	0.4312358	No	
row_25	TCF4	TCF4	7537	0.1444566398859024	0.41645426	No	
row_26	CEP170	CEP170	8391	0.09312080591917038	0.38026902	No	
row_27	STMN4	STMN4	9371	0.027299122884869576	0.33672667	No	
row_28	STMN1	STMN1	13112	-0.0015142482006922364	0.1677865	No	
row_29	DDAH2	DDAH2	13226	-0.004439704120159149	0.16279325	No	
row_30	NFIX	NFIX	13242	-0.005715688690543175	0.16226004	No	
row_31	NFIB	NFIB	14006	-0.06119877099990845	0.129334	No	
row_32	RBFOX2	RBFOX2	14154	-0.07144607603549957	0.12449879	No	
row_33	UCHL1	UCHL1	14397	-0.0879656970500946	0.11578904	No	
row_34	MAP1B	MAP1B	14686	-0.11075583100318909	0.10557717	No	
row_35	KIF5C	KIF5C	15503	-0.17905642092227936	0.07323645	No	
row_36	RND3	RND3	16976	-0.3766412138938904	0.016252516	No	
row_37	LBH	LBH	17033	-0.3873749375343323	0.023516841	No	
row_38	CD200	CD200	17521	-0.494373619556427	0.014013362	No	
row_39	STMN2	STMN2	19543	-0.6659557223320007	-0.06046007	No	
row_40	ENO2	ENO2	20010	-0.8307062983512878	-0.060510818	No	
row_41	ATP1B1	ATP1B1	20221	-0.9590981006622314	-0.045748837	No	
row_42	DYNC1I1	DYNC1I1	21435	-2.2354376316070557	-0.04403252	No	
row_43	CRABP1	CRABP1	21753	-3.063833713531494	0.019111706	No	
