NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF12	FGF12	260	4.993025779724121	0.08475725	Yes	
row_1	FXYD6	FXYD6	329	3.5170400142669678	0.14966194	Yes	
row_2	GPR17	GPR17	388	2.821054458618164	0.2015665	Yes	
row_3	NLGN3	NLGN3	696	1.9189767837524414	0.22478507	Yes	
row_4	TNR	TNR	837	1.6759966611862183	0.25085297	Yes	
row_5	OMG	OMG	923	1.5707693099975586	0.27737212	Yes	
row_6	NKAIN4	NKAIN4	977	1.4980566501617432	0.30393177	Yes	
row_7	CADM2	CADM2	1057	1.4086463451385498	0.32758853	Yes	
row_8	CNP	CNP	1124	1.3560055494308472	0.3508152	Yes	
row_9	THY1	THY1	1133	1.3429508209228516	0.37641022	Yes	
row_10	CNTN1	CNTN1	1268	1.242282509803772	0.3943664	Yes	
row_11	TTYH1	TTYH1	1289	1.2283103466033936	0.41720346	Yes	
row_12	PHYHIPL	PHYHIPL	1368	1.1724213361740112	0.43633965	Yes	
row_13	BCAS1	BCAS1	1428	1.1434869766235352	0.45577508	Yes	
row_14	BCAN	BCAN	1442	1.1379591226577759	0.47718212	Yes	
row_15	GPR37L1	GPR37L1	1665	1.0268919467926025	0.48699912	Yes	
row_16	PTPRZ1	PTPRZ1	1701	1.0075551271438599	0.5048917	Yes	
row_17	SCRG1	SCRG1	1740	0.9861408472061157	0.5222348	Yes	
row_18	FABP5	FABP5	1785	0.96329265832901	0.53886515	Yes	
row_19	PLLP	PLLP	2039	0.8452580571174622	0.54377085	Yes	
row_20	OLIG1	OLIG1	2160	0.7958259582519531	0.55373055	Yes	
row_21	LHFPL3	LHFPL3	2209	0.7732560634613037	0.56650716	Yes	
row_22	PLP1	PLP1	2275	0.7499949932098389	0.5780661	Yes	
row_23	PCDHGC3	PCDHGC3	2540	0.7027573585510254	0.57972056	Yes	
row_24	RTKN	RTKN	3228	0.6213229894638062	0.56068844	No	
row_25	VCAN	VCAN	4379	0.5459799766540527	0.51928014	No	
row_26	SERINC5	SERINC5	4738	0.4645313322544098	0.5120829	No	
row_27	LMF1	LMF1	4938	0.43066757917404175	0.5114153	No	
row_28	TMEM206	TMEM206	5545	0.3428833484649658	0.49066138	No	
row_29	LIMA1	LIMA1	5867	0.303733766078949	0.48202804	No	
row_30	SIRT2	SIRT2	6235	0.2606755197048187	0.47048405	No	
row_31	DBI	DBI	6371	0.24520060420036316	0.4691235	No	
row_32	GPM6B	GPM6B	6372	0.2450457215309143	0.47385973	No	
row_33	ALCAM	ALCAM	7811	0.13059566915035248	0.4114101	No	
row_34	RNF13	RNF13	8368	0.09435524046421051	0.38811177	No	
row_35	RAB31	RAB31	8535	0.08423570543527603	0.38223943	No	
row_36	EPB41L2	EPB41L2	8989	0.053315646946430206	0.36280182	No	
row_37	PGRMC1	PGRMC1	9121	0.0445990227162838	0.35774478	No	
row_38	NEU4	NEU4	11275	0.0	0.26046482	No	
row_39	TNS3	TNS3	15500	-0.1789712756872177	0.0730691	No	
row_40	P2RX7	P2RX7	16761	-0.3403628468513489	0.022716478	No	
row_41	PSAT1	PSAT1	16921	-0.3662237226963043	0.022610663	No	
row_42	FIBIN	FIBIN	21025	-1.6477912664413452	-0.13092859	No	
row_43	APOD	APOD	21866	-4.460107326507568	-0.08267797	No	
row_44	HRASLS	HRASLS	21892	-5.0	0.012832195	No	
