NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RLBP1	RLBP1	692	1.9235663414001465	-0.013119508	No	
row_1	NLGN3	NLGN3	696	1.9189767837524414	0.0049801315	No	
row_2	PNMA2	PNMA2	704	1.9020216464996338	0.022737153	No	
row_3	PODXL2	PODXL2	793	1.7590305805206299	0.035460047	No	
row_4	BCHE	BCHE	988	1.4887992143630981	0.040805314	No	
row_5	ST3GAL6	ST3GAL6	1162	1.3283051252365112	0.045578286	No	
row_6	ABAT	ABAT	1213	1.2740298509597778	0.055416506	No	
row_7	GPR19	GPR19	1234	1.2580580711364746	0.06646417	No	
row_8	TTYH1	TTYH1	1289	1.2283103466033936	0.075686425	No	
row_9	FAM131B	FAM131B	1325	1.2037745714187622	0.08553763	No	
row_10	BCAN	BCAN	1442	1.1379591226577759	0.091088094	No	
row_11	TMPRSS5	TMPRSS5	1619	1.0516420602798462	0.093095854	No	
row_12	VGLL4	VGLL4	1666	1.0266234874725342	0.1007645	No	
row_13	PTPRZ1	PTPRZ1	1701	1.0075551271438599	0.10879643	No	
row_14	MAP2	MAP2	1712	1.0010610818862915	0.11785563	No	
row_15	RASSF2	RASSF2	1773	0.9698406457901001	0.124349445	No	
row_16	TUBB2B	TUBB2B	1795	0.9611769914627075	0.13253051	No	
row_17	PPFIBP2	PPFIBP2	1864	0.9240140914916992	0.13822585	No	
row_18	GAB1	GAB1	2006	0.8588558435440063	0.13998969	No	
row_19	S100B	S100B	2014	0.8564072847366333	0.14781038	No	
row_20	PLLP	PLLP	2039	0.8452580571174622	0.15475377	No	
row_21	FRMPD1	FRMPD1	2060	0.8344213962554932	0.16177568	No	
row_22	CCDC28B	CCDC28B	2083	0.8269230127334595	0.16863558	No	
row_23	SLC38A3	SLC38A3	2128	0.8091617226600647	0.17432846	No	
row_24	TIMP4	TIMP4	2138	0.8053586483001709	0.1815733	No	
row_25	BCAR3	BCAR3	2141	0.8038654923439026	0.18912157	No	
row_26	CSPG5	CSPG5	2171	0.7922572493553162	0.19533443	No	
row_27	MARCKSL1	MARCKSL1	2177	0.7903546094894409	0.20261818	No	
row_28	TRAF4	TRAF4	2204	0.7757927775382996	0.2088107	No	
row_29	NOVA1	NOVA1	2593	0.6938578486442566	0.19779919	No	
row_30	CITED1	CITED1	2597	0.6920292973518372	0.20423932	No	
row_31	CHST11	CHST11	2627	0.6847897171974182	0.20943093	No	
row_32	TBKBP1	TBKBP1	2630	0.6820856332778931	0.21582194	No	
row_33	SLC4A4	SLC4A4	2714	0.6695138216018677	0.21841818	No	
row_34	SOX11	SOX11	2717	0.6675968170166016	0.22467151	No	
row_35	RBBP9	RBBP9	2768	0.6555793881416321	0.22863269	No	
row_36	FEZ1	FEZ1	2830	0.6465939283370972	0.23200935	No	
row_37	ASCL1	ASCL1	2920	0.6363744735717773	0.23401843	No	
row_38	GNG7	GNG7	3240	0.6181934475898743	0.2254187	No	
row_39	TUBA1A	TUBA1A	4210	0.592074453830719	0.18707758	No	
row_40	MAP3K1	MAP3K1	4285	0.5712952017784119	0.18914883	No	
row_41	RGS20	RGS20	4323	0.5607370138168335	0.1927986	No	
row_42	RAP1GAP	RAP1GAP	4415	0.5346219539642334	0.19375	No	
row_43	PICK1	PICK1	4576	0.4970847964286804	0.19121386	No	
row_44	MMP16	MMP16	4597	0.49051713943481445	0.19496769	No	
row_45	LMF1	LMF1	4938	0.43066757917404175	0.18363306	No	
row_46	RASL12	RASL12	4995	0.4216497242450714	0.18509899	No	
row_47	POLR2F	POLR2F	5017	0.4186117351055145	0.18812414	No	
row_48	BMP2K	BMP2K	5235	0.3865511417388916	0.1819513	No	
row_49	GPD1L	GPD1L	5419	0.3614238202571869	0.1770824	No	
row_50	SYT11	SYT11	5449	0.35728076100349426	0.17916174	No	
row_51	TRIB2	TRIB2	5529	0.3444371521472931	0.17885032	No	
row_52	TMEM206	TMEM206	5545	0.3428833484649658	0.18142807	No	
row_53	ATP6V0E2	ATP6V0E2	5627	0.33186301589012146	0.18090643	No	
row_54	PHLPP1	PHLPP1	6044	0.2813570201396942	0.16470449	No	
row_55	DBI	DBI	6371	0.24520060420036316	0.15224263	No	
row_56	GPR68	GPR68	6423	0.24115651845932007	0.15222023	No	
row_57	NME4	NME4	6810	0.2045244723558426	0.1366494	No	
row_58	TBC1D22B	TBC1D22B	7116	0.18002203106880188	0.12452101	No	
row_59	RAF1	RAF1	7118	0.17995984852313995	0.12618577	No	
row_60	SNX27	SNX27	7490	0.14857922494411469	0.11076391	No	
row_61	STARD7	STARD7	7668	0.1393846869468689	0.10405724	No	
row_62	TMEM121	TMEM121	7693	0.1380826234817505	0.10428044	No	
row_63	TRIM24	TRIM24	7942	0.12322892248630524	0.09419869	No	
row_64	ENDOG	ENDOG	7945	0.12318556010723114	0.09527855	No	
row_65	CYP1B1	CYP1B1	8111	0.11120954900979996	0.088848636	No	
