NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RYR3	RYR3	89	5.0	0.03943116	No	
row_1	ANGPTL4	ANGPTL4	550	2.2602269649505615	0.038234264	No	
row_2	VWA1	VWA1	820	1.7026896476745605	0.04084586	No	
row_3	LRRC29	LRRC29	1310	1.2123627662658691	0.029225938	No	
row_4	NRP2	NRP2	1397	1.1602996587753296	0.03541518	No	
row_5	BACE2	BACE2	1714	0.9983385801315308	0.02977419	No	
row_6	CECR2	CECR2	2106	0.8175193071365356	0.019162783	No	
row_7	SHROOM3	SHROOM3	2281	0.7478995323181152	0.017779427	No	
row_8	MYL9	MYL9	2652	0.6771367192268372	0.0068993024	No	
row_9	EPAS1	EPAS1	3203	0.6301994919776917	-0.012545447	No	
row_10	PLA2G5	PLA2G5	3396	0.6019797921180725	-0.01601292	No	
row_11	SLC22A18	SLC22A18	3728	0.6016772389411926	-0.025781736	No	
row_12	GGN	GGN	4171	0.6007910966873169	-0.040588163	No	
row_13	PLEKHF1	PLEKHF1	4621	0.48494765162467957	-0.056718796	No	
row_14	OSMR	OSMR	6568	0.22880101203918457	-0.14291185	No	
row_15	HOMER3	HOMER3	7091	0.18105870485305786	-0.1649921	No	
row_16	TTC38	TTC38	7105	0.18050408363342285	-0.16401209	No	
row_17	FAM20C	FAM20C	7322	0.1618325263261795	-0.17239325	No	
row_18	PAPPA	PAPPA	8079	0.11402090638875961	-0.20565982	No	
row_19	SLC12A9	SLC12A9	8555	0.08291146159172058	-0.22646347	No	
row_20	TWF1	TWF1	8850	0.06345520913600922	-0.23923433	No	
row_21	TRABD	TRABD	9163	0.04237942025065422	-0.25300404	No	
row_22	SPOCD1	SPOCD1	11118	0.0	-0.34154853	No	
row_23	TAGLN	TAGLN	11242	0.0	-0.34712222	No	
row_24	ACTA2	ACTA2	11306	0.0	-0.34997705	No	
row_25	ICAM1	ICAM1	11338	0.0	-0.35138178	No	
row_26	ANPEP	ANPEP	11375	0.0	-0.3530131	No	
row_27	HSD3B7	HSD3B7	11441	0.0	-0.35595855	No	
row_28	LZTS1	LZTS1	13232	-0.0050518084317445755	-0.43702754	No	
row_29	FGFRL1	FGFRL1	13271	-0.007421042770147324	-0.438685	No	
row_30	ECE1	ECE1	13808	-0.0469258576631546	-0.46256563	No	
row_31	RRAS	RRAS	14715	-0.11263367533683777	-0.50264144	No	
row_32	UNC93B1	UNC93B1	14889	-0.12529130280017853	-0.5093917	No	
row_33	TPP1	TPP1	15144	-0.1440972089767456	-0.51964897	No	
row_34	BHLHE40	BHLHE40	15408	-0.16987301409244537	-0.53009003	No	
row_35	RAB34	RAB34	15651	-0.1949923038482666	-0.5393611	No	
row_36	NRP1	NRP1	15730	-0.20250464975833893	-0.5411353	No	
row_37	DEF6	DEF6	15935	-0.22748149931430817	-0.54840195	No	
row_38	FLNA	FLNA	16095	-0.24341313540935516	-0.55349106	No	
row_39	TRIM56	TRIM56	16790	-0.34632495045661926	-0.58192873	No	
row_40	CD151	CD151	16975	-0.3765240013599396	-0.5869936	No	
row_41	NCLN	NCLN	17026	-0.3857996463775635	-0.58590555	No	
row_42	ZYX	ZYX	17383	-0.458113431930542	-0.59805524	No	
row_43	RRBP1	RRBP1	17390	-0.45929834246635437	-0.59433454	No	
row_44	PDPN	PDPN	17456	-0.47395628690719604	-0.5931599	No	
row_45	EFEMP2	EFEMP2	17509	-0.4881434440612793	-0.59127295	No	
row_46	KLF16	KLF16	17519	-0.49411654472351074	-0.5873855	No	
