NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAIM2	FAIM2	27	5.0	0.023601592	Yes	
row_1	DOK6	DOK6	111	5.0	0.04465518	Yes	
row_2	SCN3A	SCN3A	248	5.0	0.06329727	Yes	
row_3	FGF12	FGF12	260	4.993025779724121	0.08759223	Yes	
row_4	DSCAML1	DSCAML1	320	3.766425371170044	0.103611864	Yes	
row_5	HEY2	HEY2	321	3.764796495437622	0.12230792	Yes	
row_6	FXYD6	FXYD6	329	3.5170400142669678	0.1394551	Yes	
row_7	NALCN	NALCN	387	2.864657402038574	0.15108754	Yes	
row_8	NOG	NOG	405	2.7563669681549072	0.16400221	Yes	
row_9	PHACTR3	PHACTR3	437	2.7250945568084717	0.17612459	Yes	
row_10	PRKCZ	PRKCZ	486	2.652653217315674	0.1871137	Yes	
row_11	SLC1A1	SLC1A1	491	2.6009490489959717	0.19984807	Yes	
row_12	ANKS1B	ANKS1B	495	2.587855339050293	0.2125629	Yes	
row_13	SHD	SHD	517	2.4695680141448975	0.22387132	Yes	
row_14	FSTL5	FSTL5	527	2.4103574752807617	0.2354317	Yes	
row_15	ID4	ID4	566	2.1951143741607666	0.24460368	Yes	
row_16	KIF5A	KIF5A	581	2.140167236328125	0.2545948	Yes	
row_17	EPHB1	EPHB1	632	2.058561086654663	0.26254264	Yes	
row_18	DSCAM	DSCAM	640	2.03513765335083	0.27233067	Yes	
row_19	IL17D	IL17D	685	1.937233328819275	0.279949	Yes	
row_20	MAPK8IP2	MAPK8IP2	691	1.923977017402649	0.28927603	Yes	
row_21	PLEKHB1	PLEKHB1	710	1.8819931745529175	0.29780304	Yes	
row_22	SCG3	SCG3	752	1.8121998310089111	0.30493695	Yes	
row_23	GABBR2	GABBR2	759	1.8068718910217285	0.3136369	Yes	
row_24	NAP1L3	NAP1L3	771	1.787947177886963	0.32201537	Yes	
row_25	GRIK4	GRIK4	775	1.7808018922805786	0.3307224	Yes	
row_26	HLF	HLF	816	1.7089670896530151	0.33738914	Yes	
row_27	SORBS1	SORBS1	901	1.6112618446350098	0.3415687	Yes	
row_28	GAD1	GAD1	905	1.6028646230697632	0.34939206	Yes	
row_29	DNM3	DNM3	922	1.5713622570037842	0.35646746	Yes	
row_30	OMG	OMG	923	1.5707693099975586	0.36426795	Yes	
row_31	RAB11FIP4	RAB11FIP4	941	1.5523221492767334	0.3712033	Yes	
row_32	CSMD3	CSMD3	948	1.5442553758621216	0.3785991	Yes	
row_33	DUSP26	DUSP26	969	1.5090787410736084	0.38518322	Yes	
row_34	NKAIN4	NKAIN4	977	1.4980566501617432	0.3923041	Yes	
row_35	JPH3	JPH3	991	1.4827388525009155	0.3990759	Yes	
row_36	GPR158	GPR158	1026	1.4442452192306519	0.40470105	Yes	
row_37	CMTM5	CMTM5	1048	1.417346715927124	0.41078413	Yes	
row_38	KCNN3	KCNN3	1091	1.383570671081543	0.41574395	Yes	
row_39	ATP6V1G2	ATP6V1G2	1120	1.3582143783569336	0.42121488	Yes	
row_40	SOX6	SOX6	1128	1.3489171266555786	0.4275951	Yes	
row_41	SNAP91	SNAP91	1167	1.3230173587799072	0.43243623	Yes	
row_42	TMEM100	TMEM100	1196	1.2957960367202759	0.4375972	Yes	
row_43	PCSK6	PCSK6	1227	1.2639427185058594	0.44250897	Yes	
row_44	RGS9	RGS9	1230	1.2631115913391113	0.4486906	Yes	
row_45	CNTN1	CNTN1	1268	1.242282509803772	0.4531763	Yes	
row_46	TTYH1	TTYH1	1289	1.2283103466033936	0.4583661	Yes	
row_47	KCNB1	KCNB1	1294	1.2247360944747925	0.46426615	Yes	
row_48	NTRK2	NTRK2	1299	1.221373438835144	0.47014952	Yes	
row_49	RPRM	RPRM	1309	1.214126706123352	0.4757694	Yes	
row_50	PHYHIPL	PHYHIPL	1368	1.1724213361740112	0.47895265	Yes	
row_51	MN1	MN1	1372	1.170093297958374	0.48462686	Yes	
row_52	ELMO1	ELMO1	1386	1.1656683683395386	0.4898241	Yes	
row_53	ENHO	ENHO	1387	1.1648873090744019	0.49560896	Yes	
row_54	SEZ6L	SEZ6L	1388	1.162542700767517	0.5013822	Yes	
row_55	TAL1	TAL1	1432	1.1418068408966064	0.5050959	Yes	
row_56	BCAN	BCAN	1442	1.1379591226577759	0.51033753	Yes	
row_57	SH3GL2	SH3GL2	1464	1.1321179866790771	0.51500416	Yes	
row_58	FBXO2	FBXO2	1505	1.1066808700561523	0.5186799	Yes	
row_59	SLITRK2	SLITRK2	1520	1.096959114074707	0.5234904	Yes	
row_60	GRIA2	GRIA2	1556	1.082637906074524	0.52727437	Yes	
row_61	SLITRK5	SLITRK5	1594	1.0645986795425415	0.53087765	Yes	
row_62	OPCML	OPCML	1617	1.0520615577697754	0.53510123	Yes	
row_63	NRSN1	NRSN1	1687	1.0132026672363281	0.5369933	Yes	
row_64	DLL3	DLL3	1711	1.0021140575408936	0.5409233	Yes	
row_65	B3GAT1	B3GAT1	1738	0.9875312447547913	0.5446444	Yes	
row_66	GABRB3	GABRB3	1749	0.9808354377746582	0.5490603	Yes	
row_67	SOX8	SOX8	1771	0.9710861444473267	0.5529272	Yes	
row_68	SMOC1	SMOC1	1772	0.9705495834350586	0.55774695	Yes	
row_69	RTN1	RTN1	1805	0.9581847190856934	0.56104934	Yes	
row_70	GRIA4	GRIA4	1825	0.9451008439064026	0.5648782	Yes	
row_71	CSDC2	CSDC2	1838	0.9404157400131226	0.56900233	Yes	
row_72	NDRG2	NDRG2	1850	0.9318373799324036	0.57312936	Yes	
row_73	C1QL1	C1QL1	1865	0.9225658178329468	0.5770738	Yes	
row_74	LGR5	LGR5	1868	0.9221397638320923	0.5815622	Yes	
row_75	MAPT	MAPT	1887	0.9166187644004822	0.58529514	Yes	
row_76	PSD	PSD	1960	0.8776851296424866	0.58637774	Yes	
row_77	OLIG2	OLIG2	1982	0.867942750453949	0.58973247	Yes	
row_78	ALDOC	ALDOC	2027	0.8508706092834473	0.5919559	Yes	
row_79	KCTD4	KCTD4	2058	0.8362343311309814	0.59474367	Yes	
row_80	TIMP4	TIMP4	2138	0.8053586483001709	0.59514856	Yes	
row_81	OLIG1	OLIG1	2160	0.7958259582519531	0.5981452	Yes	
row_82	EHD3	EHD3	2161	0.7953175902366638	0.6020947	Yes	
row_83	DLL1	DLL1	2175	0.7904700040817261	0.6054287	Yes	
row_84	KIF1A	KIF1A	2255	0.7567468881607056	0.60559225	Yes	
row_85	PDK2	PDK2	2327	0.7357330322265625	0.6060154	Yes	
row_86	TMEM59L	TMEM59L	2333	0.7347084879875183	0.60943645	Yes	
row_87	SMAD9	SMAD9	2350	0.7344988584518433	0.612356	Yes	
row_88	APOE	APOE	2626	0.6853795647621155	0.6032471	No	
row_89	FAM13C	FAM13C	2643	0.6791438460350037	0.6058917	No	
row_90	KSR2	KSR2	2781	0.6542239189147949	0.6029071	No	
row_91	ASCL1	ASCL1	2920	0.6363744735717773	0.59978837	No	
row_92	FUT9	FUT9	3243	0.6174033880233765	0.5882034	No	
row_93	CNTN3	CNTN3	3359	0.6019797921180725	0.5859603	No	
row_94	P2RY13	P2RY13	3376	0.6019797921180725	0.5882217	No	
row_95	THRA	THRA	4266	0.5779941082000732	0.55064255	No	
row_96	ASB13	ASB13	4387	0.5440879464149475	0.54788446	No	
row_97	KIF21B	KIF21B	4393	0.5420165061950684	0.55034864	No	
row_98	CRTC1	CRTC1	4400	0.5380033254623413	0.55274737	No	
row_99	GRID1	GRID1	4425	0.5313912630081177	0.5542943	No	
row_100	FRY	FRY	4487	0.5190294981002808	0.5540963	No	
row_101	REPS2	REPS2	4570	0.4979761838912964	0.55283827	No	
row_102	FBXL15	FBXL15	4588	0.49317413568496704	0.5545139	No	
row_103	MMP16	MMP16	4597	0.49051713943481445	0.5565858	No	
row_104	PCSK1N	PCSK1N	4774	0.45851513743400574	0.55085474	No	
row_105	CALCRL	CALCRL	4794	0.45631423592567444	0.55225635	No	
row_106	GABBR1	GABBR1	4840	0.44692233204841614	0.55242825	No	
row_107	FAM19A5	FAM19A5	4896	0.4375460147857666	0.55209863	No	
row_108	GNAL	GNAL	4922	0.43238577246665955	0.55310833	No	
row_109	JPH4	JPH4	4998	0.42129644751548767	0.55178803	No	
row_110	TMOD2	TMOD2	5141	0.39982616901397705	0.54731256	No	
row_111	PTGDS	PTGDS	5194	0.39127016067504883	0.5468896	No	
row_112	DNAJC12	DNAJC12	5272	0.38043713569641113	0.54527533	No	
row_113	RUNDC3A	RUNDC3A	5364	0.3689483404159546	0.5429671	No	
row_114	IKZF5	IKZF5	5366	0.36820322275161743	0.54475003	No	
row_115	SNRPN	SNRPN	5624	0.3323926627635956	0.53470725	No	
row_116	SGSM1	SGSM1	5638	0.33056262135505676	0.5357573	No	
row_117	DTX4	DTX4	5709	0.31992921233177185	0.5341611	No	
row_118	NCAM1	NCAM1	6035	0.2824818193912506	0.5207764	No	
row_119	MARCH8	MARCH8	6160	0.26836472749710083	0.51646703	No	
row_120	GNAO1	GNAO1	6298	0.2538815438747406	0.51149434	No	
