NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PABPC4L	PABPC4L	565	2.1984682083129883	-0.0067850887	No	
row_1	CRNDE	CRNDE	1326	1.203688144683838	-0.030963888	No	
row_2	ITGB3BP	ITGB3BP	2090	0.8231503367424011	-0.058545355	No	
row_3	PPIC	PPIC	2713	0.6706259846687317	-0.08103336	No	
row_4	IL13RA2	IL13RA2	3364	0.6019797921180725	-0.10538206	No	
row_5	TMEM79	TMEM79	4297	0.5681706666946411	-0.14282635	No	
row_6	WDHD1	WDHD1	4434	0.5297225117683411	-0.14445499	No	
row_7	PIN4	PIN4	4548	0.5019858479499817	-0.1452773	No	
row_8	WDR34	WDR34	4554	0.5006669163703918	-0.14120676	No	
row_9	CREBZF	CREBZF	4607	0.4885120391845703	-0.13937478	No	
row_10	LMNB1	LMNB1	4697	0.4716390073299408	-0.13936777	No	
row_11	TIFA	TIFA	4754	0.4613010287284851	-0.13795099	No	
row_12	FBXO11	FBXO11	5352	0.3698233366012573	-0.16188578	No	
row_13	ZC3HAV1L	ZC3HAV1L	5356	0.3695903718471527	-0.15884954	No	
row_14	PRPS2	PRPS2	5392	0.36501678824424744	-0.15730566	No	
row_15	MTF2	MTF2	5462	0.35571882128715515	-0.15738548	No	
row_16	ATG12	ATG12	5694	0.32251212000846863	-0.16510664	No	
row_17	PDK1	PDK1	6013	0.2852534055709839	-0.1770982	No	
row_18	TRIM36	TRIM36	6029	0.28343188762664795	-0.17534643	No	
row_19	HJURP	HJURP	6185	0.26505401730537415	-0.1801097	No	
row_20	GMPS	GMPS	6195	0.2641986012458801	-0.17825057	No	
row_21	TEX9	TEX9	6265	0.2574523985385895	-0.17917389	No	
row_22	CCDC138	CCDC138	6434	0.24086953699588776	-0.18473507	No	
row_23	DONSON	DONSON	6692	0.21730674803256989	-0.19453992	No	
row_24	ITGA2	ITGA2	6817	0.2040460854768753	-0.19841917	No	
row_25	EFCAB2	EFCAB2	6847	0.20293927192687988	-0.19799405	No	
row_26	SPIN4	SPIN4	7085	0.18193748593330383	-0.20719431	No	
row_27	PRIM2	PRIM2	7200	0.17293007671833038	-0.21088657	No	
row_28	HAUS1	HAUS1	7367	0.15809321403503418	-0.21706745	No	
row_29	ZWINT	ZWINT	7468	0.1501152515411377	-0.22031982	No	
row_30	GJC1	GJC1	8024	0.1175929605960846	-0.2445125	No	
row_31	MLF1	MLF1	8106	0.11147677898406982	-0.24723376	No	
row_32	DSN1	DSN1	8321	0.09735904633998871	-0.25611562	No	
row_33	TMEM106C	TMEM106C	8340	0.09625198692083359	-0.25610676	No	
row_34	CEP152	CEP152	8430	0.09051267802715302	-0.25937125	No	
row_35	NASP	NASP	8489	0.08738981932401657	-0.26125485	No	
row_36	ACYP1	ACYP1	8586	0.08063475042581558	-0.26492196	No	
row_37	EZH2	EZH2	9213	0.03895558789372444	-0.29301372	No	
row_38	TOM1L1	TOM1L1	9245	0.03671792522072792	-0.29410622	No	
row_39	YEATS4	YEATS4	9393	0.026190727949142456	-0.30055654	No	
row_40	CCDC34	CCDC34	9552	0.015280958265066147	-0.30760002	No	
row_41	MAGOHB	MAGOHB	9857	0.0071188583970069885	-0.3213433	No	
row_42	RRM1	RRM1	9947	6.831538630649447E-4	-0.32537884	No	
row_43	CENPL	CENPL	13208	-0.003683903254568577	-0.47338098	No	
row_44	LRIG3	LRIG3	13214	-0.0038308461662381887	-0.47357515	No	
row_45	EIF1AX	EIF1AX	13241	-0.005616685841232538	-0.47470757	No	
row_46	IFT74	IFT74	13596	-0.0306888148188591	-0.490519	No	
row_47	PPIG	PPIG	13611	-0.0315941721200943	-0.49088353	No	
row_48	CDK2	CDK2	13620	-0.0326879657804966	-0.4909662	No	
row_49	USP1	USP1	13795	-0.045960620045661926	-0.4984729	No	
row_50	PAIP1	PAIP1	13918	-0.054231930524110794	-0.5035473	No	
row_51	TMPO	TMPO	13973	-0.058184944093227386	-0.50549996	No	
row_52	GCLM	GCLM	14515	-0.09635019302368164	-0.52923924	No	
row_53	TRMT6	TRMT6	14763	-0.11657916754484177	-0.53945464	No	
row_54	DEK	DEK	14773	-0.11776359379291534	-0.53885245	No	
row_55	TYMS	TYMS	14837	-0.12314518541097641	-0.54065615	No	
row_56	PEG10	PEG10	15106	-0.14048968255519867	-0.5516199	No	
row_57	RFC4	RFC4	15185	-0.14726082980632782	-0.55389774	No	
row_58	ABHD3	ABHD3	15286	-0.15688490867614746	-0.557092	No	
row_59	RBM24	RBM24	15331	-0.16165892779827118	-0.55770236	No	
row_60	RECQL	RECQL	15524	-0.18081963062286377	-0.5648688	No	
row_61	TMEM38B	TMEM38B	15626	-0.19167806208133698	-0.5678098	No	
row_62	CDKN2A	CDKN2A	15734	-0.20291593670845032	-0.57092685	No	
row_63	NPHP1	NPHP1	15772	-0.208504319190979	-0.57081723	No	
row_64	GGH	GGH	15939	-0.22769638895988464	-0.57640064	No	
row_65	LSM5	LSM5	15941	-0.227969691157341	-0.57448924	No	
row_66	KIF18A	KIF18A	15956	-0.22928792238235474	-0.57315683	No	
row_67	CACYBP	CACYBP	16371	-0.2776561677455902	-0.58957285	No	
row_68	GINS1	GINS1	16471	-0.2920967936515808	-0.5915611	No	
row_69	TTC26	TTC26	16499	-0.29643261432647705	-0.5902426	No	
row_70	EMP2	EMP2	16527	-0.30129972100257874	-0.5888824	No	
row_71	SMC2	SMC2	16600	-0.31258317828178406	-0.5894687	No	
row_72	CENPA	CENPA	16636	-0.31731849908828735	-0.58833426	No	
row_73	EXOSC9	EXOSC9	16664	-0.3227834403514862	-0.5867896	No	
row_74	DLGAP5	DLGAP5	16666	-0.322885662317276	-0.5840635	No	
row_75	HSPB11	HSPB11	16671	-0.3232499659061432	-0.58147043	No	
row_76	EVC2	EVC2	16691	-0.32715579867362976	-0.579525	No	
row_77	TCF19	TCF19	16695	-0.3276762366294861	-0.5768485	No	
row_78	MAGOH	MAGOH	16815	-0.34962198138237	-0.5792511	No	
row_79	SMC4	SMC4	16828	-0.35340821743011475	-0.5767625	No	
row_80	GINS2	GINS2	16979	-0.3772019147872925	-0.58033603	No	
row_81	CDCA7	CDCA7	17041	-0.38876837491989136	-0.5797689	No	
row_82	RBBP8	RBBP8	17181	-0.4142342507839203	-0.58252513	No	
row_83	HAUS6	HAUS6	17183	-0.41462332010269165	-0.5790115	No	
row_84	CHAF1B	CHAF1B	17211	-0.41907796263694763	-0.5766403	No	
row_85	TIMELESS	TIMELESS	17352	-0.4490358829498291	-0.57914317	No	
row_86	DHFR	DHFR	17504	-0.4868638217449188	-0.58182085	No	
row_87	FBXO5	FBXO5	17567	-0.5073615312576294	-0.58028114	No	
row_88	PCNA	PCNA	17597	-0.5142728090286255	-0.5771836	No	
row_89	XRCC4	XRCC4	17603	-0.5169286131858826	-0.5729735	No	
row_90	DBF4	DBF4	17633	-0.524319589138031	-0.56978977	No	
row_91	RPA3	RPA3	17643	-0.5290217399597168	-0.56565744	No	
row_92	CENPN	CENPN	17651	-0.5320061445236206	-0.5614087	No	
row_93	MCM6	MCM6	17723	-0.5560664534568787	-0.55985963	No	
row_94	ZWILCH	ZWILCH	18964	-0.6057924628257751	-0.610967	No	
row_95	NUCB2	NUCB2	19662	-0.6905157566070557	-0.63668996	No	
row_96	KIF14	KIF14	19856	-0.7404553890228271	-0.63909805	Yes	
row_97	NCAPH	NCAPH	19907	-0.7707499265670776	-0.6347526	Yes	
row_98	MCM2	MCM2	19937	-0.7900844812393188	-0.6292876	Yes	
