NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFX4	RFX4	699	1.91319739818573	0.0011943877	No	
row_1	STMN3	STMN3	1237	1.2563185691833496	-0.0015524216	No	
row_2	TTYH1	TTYH1	1289	1.2283103466033936	0.017222898	No	
row_3	NCALD	NCALD	1316	1.2095657587051392	0.036808297	No	
row_4	FAM131B	FAM131B	1325	1.2037745714187622	0.057109214	No	
row_5	PDE4B	PDE4B	1434	1.1417169570922852	0.07181755	No	
row_6	ADD2	ADD2	1516	1.0990452766418457	0.08701579	No	
row_7	KCNA2	KCNA2	1546	1.087128758430481	0.10436371	No	
row_8	MEIS2	MEIS2	1638	1.038044810295105	0.11806214	No	
row_9	CDH4	CDH4	1768	0.9719308018684387	0.12890531	No	
row_10	EFR3B	EFR3B	1824	0.9469300508499146	0.14266957	No	
row_11	PIK3C2B	PIK3C2B	1839	0.9401041865348816	0.15817288	No	
row_12	CACNG4	CACNG4	1847	0.9341229200363159	0.17389041	No	
row_13	FABP7	FABP7	1891	0.9144015312194824	0.1876396	No	
row_14	SV2A	SV2A	2099	0.8202099204063416	0.19234711	No	
row_15	PCDH9	PCDH9	2222	0.76759272813797	0.19999968	No	
row_16	FZD3	FZD3	2478	0.7146453857421875	0.20072202	No	
row_17	PURG	PURG	2533	0.7035593390464783	0.21035403	No	
row_18	ABCD2	ABCD2	2655	0.6757590174674988	0.21647552	No	
row_19	RFX2	RFX2	2718	0.6672797799110413	0.2251226	No	
row_20	GLUL	GLUL	2904	0.6394506692886353	0.22772335	No	
row_21	DNMT3A	DNMT3A	3239	0.6182072758674622	0.2232137	No	
row_22	TUBA1A	TUBA1A	4210	0.592074453830719	0.18946156	No	
row_23	KLHL25	KLHL25	4243	0.5835061073303223	0.19802885	No	
row_24	CRTC1	CRTC1	4400	0.5380033254623413	0.20020115	No	
row_25	LPIN1	LPIN1	4807	0.45350319147109985	0.18960464	No	
row_26	RGS12	RGS12	4841	0.446906179189682	0.19578187	No	
row_27	KIF1B	KIF1B	5101	0.40524110198020935	0.19101211	No	
row_28	SALL1	SALL1	5296	0.37821128964424133	0.18872117	No	
row_29	TLE1	TLE1	5468	0.3553048074245453	0.1870783	No	
row_30	UTY	UTY	5933	0.29487916827201843	0.1711331	No	
row_31	TEKT2	TEKT2	6062	0.27881988883018494	0.17012411	No	
row_32	SSBP2	SSBP2	6275	0.2568938434123993	0.16493578	No	
row_33	TNIP1	TNIP1	6535	0.23215986788272858	0.15719505	No	
row_34	ATF7IP	ATF7IP	6936	0.194809690117836	0.14242962	No	
row_35	TRIM37	TRIM37	7008	0.19031502306461334	0.14248201	No	
row_36	SCP2	SCP2	7150	0.17706376314163208	0.1391378	No	
row_37	SRPK2	SRPK2	7425	0.15390539169311523	0.12937471	No	
