NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACVRL1	ACVRL1	0	5.0	0.0021387711	No	
row_1	VWF	VWF	2	5.0	0.004224852	No	
row_2	PHYHIP	PHYHIP	3	5.0	0.0063636233	No	
row_3	ITIH3	ITIH3	7	5.0	0.008344325	No	
row_4	MUC13	MUC13	26	5.0	0.009534679	No	
row_5	SERPING1	SERPING1	28	5.0	0.011620761	No	
row_6	LOX	LOX	30	5.0	0.013706842	No	
row_7	FSCN2	FSCN2	31	5.0	0.015845614	No	
row_8	ELF5	ELF5	36	5.0	0.017773625	No	
row_9	TBXAS1	TBXAS1	44	5.0	0.019543568	No	
row_10	SLC25A43	SLC25A43	54	5.0	0.02120813	No	
row_11	ABCB4	ABCB4	64	5.0	0.022872694	No	
row_12	SLITRK6	SLITRK6	73	5.0	0.024589946	No	
row_13	GDA	GDA	92	5.0	0.0257803	No	
row_14	FGF12	FGF12	260	4.993025779724121	0.01911689	No	
row_15	CLDN11	CLDN11	298	4.344405651092529	0.019025704	No	
row_16	PADI2	PADI2	300	4.254232883453369	0.02079278	No	
row_17	ECM2	ECM2	301	4.206938743591309	0.022592315	No	
row_18	KANK4	KANK4	304	4.092302322387695	0.024237435	No	
row_19	SLC39A2	SLC39A2	318	3.785501480102539	0.025171733	No	
row_20	POU2F2	POU2F2	319	3.7782797813415527	0.026787907	No	
row_21	PDE11A	PDE11A	342	3.450913190841675	0.027104875	No	
row_22	ADORA2B	ADORA2B	348	3.4488673210144043	0.028316693	No	
row_23	TNFRSF18	TNFRSF18	381	2.8943967819213867	0.027868709	No	
row_24	NEBL	NEBL	389	2.7869961261749268	0.02869203	No	
row_25	MLPH	MLPH	396	2.7563669681549072	0.029554939	No	
row_26	CCDC60	CCDC60	404	2.7563669681549072	0.030365158	No	
row_27	NOG	NOG	405	2.7563669681549072	0.031544205	No	
row_28	VSIG8	VSIG8	406	2.7563669681549072	0.03272325	No	
row_29	KIF6	KIF6	436	2.7250945568084717	0.03236092	No	
row_30	MYH15	MYH15	459	2.7250945568084717	0.032367412	No	
row_31	SLC2A12	SLC2A12	498	2.5785884857177734	0.0314682	No	
row_32	KCNK1	KCNK1	507	2.5537259578704834	0.03213905	No	
row_33	FSTL5	FSTL5	527	2.4103574752807617	0.032168984	No	
row_34	TSHZ3	TSHZ3	542	2.3331477642059326	0.03242934	No	
row_35	MOXD1	MOXD1	545	2.3119845390319824	0.033312924	No	
row_36	ME3	ME3	546	2.288370132446289	0.034291785	No	
row_37	WNT5B	WNT5B	551	2.257614850997925	0.03504673	No	
row_38	CYP26B1	CYP26B1	576	2.160435438156128	0.03470631	No	
row_39	RBFOX3	RBFOX3	583	2.136101722717285	0.035303894	No	
row_40	TENM2	TENM2	585	2.1188786029815674	0.036157567	No	
row_41	PRR15	PRR15	587	2.1171138286590576	0.03701048	No	
row_42	RELN	RELN	603	2.0928103923797607	0.037115343	No	
row_43	CACNA1C	CACNA1C	604	2.0901222229003906	0.0380094	No	
row_44	FAM20A	FAM20A	607	2.0779924392700195	0.03879289	No	
row_45	PLCL2	PLCL2	633	2.0574276447296143	0.03835572	No	
row_46	ISLR2	ISLR2	637	2.036644220352173	0.039068833	No	
row_47	SCUBE2	SCUBE2	638	2.0365488529205322	0.039939974	No	
row_48	MGAT5B	MGAT5B	642	2.0237090587615967	0.040647555	No	
row_49	PARD6B	PARD6B	647	2.0151469707489014	0.041298784	No	
row_50	NPY	NPY	670	1.963030219078064	0.040979303	No	
row_51	ALS2CL	ALS2CL	705	1.9017776250839233	0.04000134	No	
row_52	OSBPL10	OSBPL10	714	1.87087082862854	0.040380098	No	
row_53	IRS4	IRS4	725	1.8460397720336914	0.04064285	No	
row_54	PTPRB	PTPRB	732	1.8238508701324463	0.041106872	No	
row_55	SYK	SYK	743	1.8138333559036255	0.04135585	No	
row_56	CALB2	CALB2	758	1.8071686029434204	0.041391212	No	
row_57	SLC46A3	SLC46A3	778	1.7760705947875977	0.04114983	No	
row_58	CTNNAL1	CTNNAL1	786	1.7659897804260254	0.04153641	No	
row_59	SLC44A5	SLC44A5	788	1.7642616033554077	0.042238392	No	
row_60	SLC37A1	SLC37A1	799	1.7446869611740112	0.04245779	No	
row_61	RNF43	RNF43	805	1.7348095178604126	0.042936414	No	
row_62	SHISA9	SHISA9	809	1.729065179824829	0.04351796	No	
row_63	GJC2	GJC2	813	1.722450852394104	0.044096675	No	
row_64	PTPRU	PTPRU	833	1.6802897453308105	0.04381432	No	
row_65	SEL1L3	SEL1L3	834	1.6802082061767578	0.044533037	No	
row_66	RUNDC3B	RUNDC3B	836	1.6762621402740479	0.045197375	No	
row_67	ST8SIA2	ST8SIA2	847	1.6704046726226807	0.045385	No	
row_68	PCSK5	PCSK5	859	1.6611512899398804	0.045515973	No	
row_69	RFFL	RFFL	861	1.65521240234375	0.046171308	No	
row_70	SCG5	SCG5	863	1.654327392578125	0.046826266	No	
row_71	CBLN3	CBLN3	868	1.6462926864624023	0.047319714	No	
row_72	TRPM6	TRPM6	873	1.6400812864303589	0.047810506	No	
row_73	CLMP	CLMP	876	1.6353274583816528	0.048404645	No	
row_74	SHISA3	SHISA3	890	1.6194902658462524	0.04841242	No	
row_75	TIAM1	TIAM1	903	1.6071122884750366	0.04846759	No	
row_76	MMP17	MMP17	904	1.6032460927963257	0.049153388	No	
row_77	GRIN3A	GRIN3A	945	1.5481390953063965	0.04770802	No	
row_78	TMEM132E	TMEM132E	964	1.516028642654419	0.04740809	No	
row_79	ZFP57	ZFP57	998	1.4763065576553345	0.04630082	No	
row_80	DMC1	DMC1	1003	1.4728704690933228	0.046720088	No	
row_81	FLI1	FLI1	1023	1.449669599533081	0.046339083	No	
row_82	GFPT2	GFPT2	1032	1.4343132972717285	0.0465311	No	
row_83	WIF1	WIF1	1066	1.3981921672821045	0.04539042	No	
row_84	DPYD	DPYD	1075	1.389772891998291	0.04556338	No	
row_85	TMEFF2	TMEFF2	1101	1.3737446069717407	0.04483376	No	
row_86	TBC1D4	TBC1D4	1113	1.362827181816101	0.04483713	No	
row_87	ATP8A2	ATP8A2	1137	1.3427324295043945	0.044199623	No	
row_88	NRCAM	NRCAM	1147	1.3346166610717773	0.044296302	No	
row_89	NEMP2	NEMP2	1164	1.3276816606521606	0.044021185	No	
row_90	RGS3	RGS3	1172	1.3189078569412231	0.044216525	No	
row_91	SEC14L2	SEC14L2	1184	1.3074088096618652	0.04419619	No	
row_92	SDR42E1	SDR42E1	1208	1.2814769744873047	0.04353248	No	
row_93	FAS	FAS	1221	1.2685751914978027	0.043442838	No	
row_94	RGS9	RGS9	1230	1.2631115913391113	0.043561623	No	
row_95	ENPP1	ENPP1	1245	1.2504644393920898	0.043358855	No	
row_96	ALDH3B1	ALDH3B1	1256	1.249748706817627	0.043366544	No	
row_97	MAFB	MAFB	1259	1.2482490539550781	0.04379511	No	
row_98	COL11A1	COL11A1	1261	1.2474172115325928	0.044276007	No	
row_99	IRAK3	IRAK3	1270	1.2417985200881958	0.04438567	No	
row_100	TACR1	TACR1	1341	1.1935797929763794	0.041207943	No	
row_101	PPP1R16B	PPP1R16B	1349	1.1834393739700317	0.041345336	No	
row_102	TMC1	TMC1	1352	1.1808967590332031	0.04174509	No	
row_103	TMC4	TMC4	1405	1.1557508707046509	0.039499596	No	
row_104	PDE4D	PDE4D	1407	1.153923511505127	0.039940502	No	
row_105	DIXDC1	DIXDC1	1412	1.1504738330841064	0.040221862	No	
row_106	FAM174B	FAM174B	1413	1.1499446630477905	0.040713757	No	
row_107	ACTC1	ACTC1	1443	1.13776433467865	0.039672438	No	
row_108	GGT5	GGT5	1446	1.1353687047958374	0.040052716	No	
row_109	BICC1	BICC1	1497	1.1117162704467773	0.037893765	No	
row_110	PANX1	PANX1	1501	1.1103559732437134	0.038210656	No	
row_111	FBXO2	FBXO2	1505	1.1066808700561523	0.038525973	No	
row_112	EGF	EGF	1515	1.0996266603469849	0.038522135	No	
row_113	WNT5A	WNT5A	1524	1.0952054262161255	0.038569096	No	
row_114	IL1R2	IL1R2	1549	1.0869165658950806	0.037769474	No	
row_115	PTPRR	PTPRR	1559	1.0816833972930908	0.03775796	No	
row_116	SLC17A9	SLC17A9	1577	1.0751177072525024	0.03732212	No	
row_117	LONRF2	LONRF2	1583	1.0701195001602173	0.03751642	No	
row_118	SPAG1	SPAG1	1584	1.0701102018356323	0.037974164	No	
row_119	MBP	MBP	1609	1.0560829639434814	0.03716135	No	
row_120	MEIS2	MEIS2	1638	1.038044810295105	0.036130063	No	
row_121	STARD13	STARD13	1685	1.0147515535354614	0.034140397	No	
row_122	RASL11A	RASL11A	1686	1.0132026672363281	0.034573797	No	
row_123	MEGF6	MEGF6	1697	1.0083624124526978	0.034478232	No	
row_124	ARHGEF10	ARHGEF10	1709	1.0024491548538208	0.034327447	No	
row_125	BACE2	BACE2	1714	0.9983385801315308	0.03454373	No	
row_126	SOX3	SOX3	1725	0.9940464496612549	0.03444204	No	
row_127	TPMT	TPMT	1744	0.9830669164657593	0.033914134	No	
row_128	KLHL36	KLHL36	1765	0.9726109504699707	0.033276375	No	
row_129	TLE4	TLE4	1781	0.964557945728302	0.032898623	No	
row_130	ENC1	ENC1	1803	0.9586038589477539	0.032202184	No	
row_131	TCTA	TCTA	1812	0.9520109295845032	0.03218789	No	
row_132	ELOVL7	ELOVL7	1821	0.9474388957023621	0.032171644	No	
row_133	CSDC2	CSDC2	1838	0.9404157400131226	0.031730875	No	
row_134	DMD	DMD	1852	0.9311550855636597	0.03144421	No	
row_135	ZDHHC24	ZDHHC24	1866	0.9221676588058472	0.031153705	No	
row_136	DOK7	DOK7	1867	0.9221615195274353	0.031548165	No	
row_137	RAB17	RAB17	1883	0.9173984527587891	0.031150237	No	
row_138	EXOC3L4	EXOC3L4	1885	0.9169074892997742	0.03148976	No	
row_139	LIMCH1	LIMCH1	1896	0.9133193492889404	0.031353537	No	
row_140	DFFA	DFFA	1919	0.9014696478843689	0.03057997	No	
row_141	IRX3	IRX3	1952	0.883023202419281	0.029271612	No	
row_142	PPFIA2	PPFIA2	1964	0.8764105439186096	0.029066911	No	
row_143	PYROXD2	PYROXD2	1978	0.8710054755210876	0.028754521	No	
row_144	AMOTL2	AMOTL2	1992	0.863998293876648	0.028439132	No	
row_145	SLC2A9	SLC2A9	2004	0.859412431716919	0.028227162	No	
row_146	ACCS	ACCS	2005	0.8592170476913452	0.028594695	No	
row_147	FGD6	FGD6	2016	0.8558019995689392	0.028433869	No	
row_148	RERG	RERG	2029	0.8496030569076538	0.028165013	No	
row_149	TOX2	TOX2	2032	0.8474420309066772	0.02842213	No	
row_150	PYGB	PYGB	2044	0.8429145812988281	0.028203102	No	
row_151	GDPD5	GDPD5	2055	0.8370800614356995	0.02803427	No	
row_152	KCTD4	KCTD4	2058	0.8362343311309814	0.028286593	No	
row_153	SH3BP4	SH3BP4	2067	0.8325634598731995	0.028221207	No	
row_154	SLC16A6	SLC16A6	2072	0.8308022618293762	0.028365826	No	
row_155	KIT	KIT	2085	0.8267099857330322	0.028087176	No	
row_156	LPXN	LPXN	2109	0.8166249394416809	0.027224626	No	
row_157	GLRX	GLRX	2126	0.8096615672111511	0.026727926	No	
row_158	ATG4A	ATG4A	2135	0.8068926930427551	0.026651558	No	
row_159	BCAR3	BCAR3	2141	0.8038654923439026	0.026731966	No	
row_160	EPHB2	EPHB2	2144	0.80122971534729	0.026969315	No	
row_161	EHD3	EHD3	2161	0.7953175902366638	0.02646648	No	
row_162	DOK2	DOK2	2240	0.7618114352226257	0.022682542	No	
row_163	FAHD2A	FAHD2A	2241	0.7613682746887207	0.02300822	No	
row_164	TGDS	TGDS	2243	0.760676920413971	0.023280913	No	
row_165	RDH5	RDH5	2244	0.7602035999298096	0.023606094	No	
row_166	CHST3	CHST3	2269	0.7509433627128601	0.022662757	No	
row_167	STX1A	STX1A	2280	0.747901976108551	0.022455778	No	
row_168	SHROOM3	SHROOM3	2281	0.7478995323181152	0.022775695	No	
row_169	ZFAND1	ZFAND1	2294	0.7443886995315552	0.022461832	No	
row_170	MUC2	MUC2	2370	0.7312435507774353	0.018822888	No	
row_171	LYPD6	LYPD6	2373	0.7312435507774353	0.0190303	No	
row_172	IL2RB	IL2RB	2376	0.7312435507774353	0.019237714	No	
row_173	ANKRD42	ANKRD42	2387	0.7309500575065613	0.019023484	No	
row_174	CARNMT1	CARNMT1	2414	0.7272764444351196	0.017964644	No	
row_175	NR3C2	NR3C2	2415	0.7272764444351196	0.01827574	No	
row_176	PLCD1	PLCD1	2434	0.7265648245811462	0.017638113	No	
row_177	NCMAP	NCMAP	2445	0.7247650623321533	0.017421236	No	
