NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NLGN3	NLGN3	696	1.9189767837524414	0.0022092774	Yes	
row_1	APBA2	APBA2	984	1.4933966398239136	0.015456729	Yes	
row_2	ENPP1	ENPP1	1245	1.2504644393920898	0.025657965	Yes	
row_3	TTYH1	TTYH1	1289	1.2283103466033936	0.04529383	Yes	
row_4	RNFT2	RNFT2	1366	1.1733397245407104	0.062469855	Yes	
row_5	SLC22A17	SLC22A17	1551	1.0851496458053589	0.07320698	Yes	
row_6	PCP4	PCP4	1707	1.0032100677490234	0.083817236	Yes	
row_7	MAP2	MAP2	1712	1.0010610818862915	0.10122571	Yes	
row_8	RASSF2	RASSF2	1773	0.9698406457901001	0.11555041	Yes	
row_9	ACSBG1	ACSBG1	1879	0.9185318946838379	0.12693636	Yes	
row_10	ALDH6A1	ALDH6A1	1993	0.8639345765113831	0.1370008	Yes	
row_11	NCAN	NCAN	2117	0.8132631778717041	0.1457222	Yes	
row_12	ATP1B2	ATP1B2	2123	0.8104680180549622	0.1597365	Yes	
row_13	CTNND2	CTNND2	2127	0.8093534111976624	0.17382178	Yes	
row_14	NOTCH3	NOTCH3	2163	0.7945834398269653	0.18619883	Yes	
row_15	MARCKSL1	MARCKSL1	2177	0.7903546094894409	0.19949755	Yes	
row_16	MSI1	MSI1	2197	0.782716691493988	0.21239044	Yes	
row_17	EFNB3	EFNB3	2268	0.7521106004714966	0.22243671	Yes	
row_18	FZD3	FZD3	2478	0.7146453857421875	0.22553197	Yes	
row_19	NOVA1	NOVA1	2593	0.6938578486442566	0.23256274	Yes	
row_20	ASCL1	ASCL1	2920	0.6363744735717773	0.22898595	Yes	
row_21	JAM2	JAM2	3211	0.6265277862548828	0.2268659	Yes	
row_22	NTAN1	NTAN1	3233	0.6195392608642578	0.23680107	Yes	
row_23	EVL	EVL	3258	0.612999677658081	0.24648552	Yes	
row_24	PAQR6	PAQR6	3821	0.6016772389411926	0.231615	Yes	
row_25	GAL3ST4	GAL3ST4	3896	0.6016772389411926	0.23883694	Yes	
row_26	FLRT3	FLRT3	4301	0.5663595795631409	0.23049876	Yes	
row_27	ARNT2	ARNT2	4308	0.5648476481437683	0.24015202	Yes	
row_28	DTX3	DTX3	4670	0.4749462306499481	0.23215428	Yes	
row_29	ZMYM2	ZMYM2	4694	0.4722670018672943	0.2394112	Yes	
row_30	MT3	MT3	4714	0.46882638335227966	0.24678876	Yes	
row_31	ZHX2	ZHX2	4750	0.4628104567527771	0.25333625	Yes	
row_32	CHD7	CHD7	4776	0.4584572911262512	0.26026	Yes	
row_33	SEC61A2	SEC61A2	4901	0.4361177980899811	0.2623093	Yes	
row_34	KIF1B	KIF1B	5101	0.40524110198020935	0.26042077	Yes	
row_35	NPAS3	NPAS3	5163	0.39702916145324707	0.26463538	Yes	
row_36	RAB8B	RAB8B	5457	0.3558409512042999	0.2576233	Yes	
row_37	MYLK	MYLK	5503	0.3494091331958771	0.26172552	Yes	
row_38	SOX4	SOX4	5577	0.3382950723171234	0.26436487	Yes	
row_39	PCM1	PCM1	5691	0.3226478695869446	0.26491842	Yes	
row_40	AGRN	AGRN	5844	0.30553871393203735	0.26340577	No	
row_41	PHLPP1	PHLPP1	6044	0.2813570201396942	0.25934044	No	
row_42	ZFP30	ZFP30	6097	0.2759968340396881	0.26183584	No	
row_43	CHD8	CHD8	6273	0.25694337487220764	0.2584281	No	
row_44	RIN2	RIN2	6331	0.2509133219718933	0.26025638	No	
row_45	DENND5A	DENND5A	6554	0.23016707599163055	0.25425038	No	
row_46	SEMA6A	SEMA6A	7152	0.17692863941192627	0.23033217	No	
row_47	GLRX2	GLRX2	7239	0.16957256197929382	0.22941837	No	
row_48	STARD7	STARD7	7668	0.1393846869468689	0.21249132	No	
row_49	TRIM24	TRIM24	7942	0.12322892248630524	0.20229748	No	
row_50	TRAPPC3	TRAPPC3	8145	0.1084018275141716	0.19505736	No	
row_51	CDC42BPB	CDC42BPB	8866	0.06217953562736511	0.1635545	No	
row_52	CEP68	CEP68	9118	0.04483805224299431	0.15297924	No	
row_53	DICER1	DICER1	9167	0.04187089577317238	0.15154192	No	
row_54	DIP2C	DIP2C	9470	0.02107139118015766	0.1382402	No	
row_55	POMT2	POMT2	9612	0.011581698432564735	0.13206042	No	
row_56	TARBP1	TARBP1	9832	0.007769790943711996	0.12228251	No	
row_57	KIF2A	KIF2A	9897	0.0043231709860265255	0.11946111	No	
