NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL9A1	COL9A1	332	3.4925308227539062	-0.0014560249	No	
row_1	GRB10	GRB10	390	2.7802672386169434	0.006855046	No	
row_2	NR4A3	NR4A3	721	1.8575876951217651	-9.2827127E-4	No	
row_3	ATCAY	ATCAY	776	1.7790604829788208	0.0035891926	No	
row_4	ROBO1	ROBO1	777	1.7775460481643677	0.010567703	No	
row_5	VWA1	VWA1	820	1.7026896476745605	0.015333562	No	
row_6	AGT	AGT	850	1.6660915613174438	0.020549644	No	
row_7	NTN1	NTN1	865	1.6516103744506836	0.026394151	No	
row_8	SORBS1	SORBS1	901	1.6112618446350098	0.031120865	No	
row_9	PCDH1	PCDH1	915	1.5835366249084473	0.036743805	No	
row_10	RPGR	RPGR	932	1.5608139038085938	0.04214048	No	
row_11	ENPP2	ENPP2	1004	1.4726033210754395	0.04467817	No	
row_12	THY1	THY1	1133	1.3429508209228516	0.044102807	No	
row_13	NRCAM	NRCAM	1147	1.3346166610717773	0.048748504	No	
row_14	RGS3	RGS3	1172	1.3189078569412231	0.052829996	No	
row_15	ASPHD1	ASPHD1	1174	1.317590594291687	0.05795707	No	
row_16	LRRC4B	LRRC4B	1258	1.2490935325622559	0.05906906	No	
row_17	ZDHHC14	ZDHHC14	1315	1.2095848321914673	0.061259434	No	
row_18	FAM131B	FAM131B	1325	1.2037745714187622	0.0655742	No	
row_19	TMEM151B	TMEM151B	1369	1.1718227863311768	0.06821023	No	
row_20	FAM174B	FAM174B	1413	1.1499446630477905	0.07076037	No	
row_21	ARHGEF4	ARHGEF4	1471	1.125640630722046	0.072575495	No	
row_22	LIFR	LIFR	1518	1.0977503061294556	0.07478367	No	
row_23	SPARCL1	SPARCL1	1588	1.0677646398544312	0.07582337	No	
row_24	BACE2	BACE2	1714	0.9983385801315308	0.074032135	No	
row_25	GABRB3	GABRB3	1749	0.9808354377746582	0.07632953	No	
row_26	CDH4	CDH4	1768	0.9719308018684387	0.07932293	No	
row_27	APBA1	APBA1	1841	0.9387200474739075	0.07971895	No	
row_28	PLAT	PLAT	1895	0.9134716391563416	0.08088386	No	
row_29	PLLP	PLLP	2039	0.8452580571174622	0.077669315	No	
row_30	SYNGR3	SYNGR3	2457	0.7230095267295837	0.06145713	No	
row_31	IFITM1	IFITM1	2541	0.7026721835136414	0.06042391	No	
row_32	RHPN2	RHPN2	2542	0.7026721835136414	0.06318255	No	
row_33	CABLES1	CABLES1	2565	0.7017014622688293	0.0649323	No	
row_34	CITED1	CITED1	2597	0.6920292973518372	0.06623292	No	
row_35	WIPF3	WIPF3	2769	0.6555430889129639	0.06099439	No	
row_36	EBI3	EBI3	2779	0.6542239189147949	0.06315166	No	
row_37	LAPTM5	LAPTM5	3093	0.6313416361808777	0.05133084	No	
row_38	TRPM8	TRPM8	3102	0.6313416361808777	0.053443957	No	
row_39	DPP4	DPP4	3371	0.6019797921180725	0.043563694	No	
row_40	BMP5	BMP5	3790	0.6016772389411926	0.026829483	No	
row_41	SLC16A9	SLC16A9	3811	0.6016772389411926	0.02827792	No	
row_42	CERS1	CERS1	3985	0.6016772389411926	0.022736546	No	
row_43	NPNT	NPNT	4219	0.5893825888633728	0.014405802	No	
row_44	DACT1	DACT1	4223	0.5885065793991089	0.01657918	No	
row_45	TSC22D4	TSC22D4	4252	0.5810531377792358	0.017581169	No	
row_46	HAS2	HAS2	4313	0.5626760721206665	0.01704909	No	
row_47	PRICKLE1	PRICKLE1	4314	0.5626696348190308	0.019258088	No	
row_48	GUCY1B1	GUCY1B1	4343	0.5563708543777466	0.020163175	No	
row_49	ZIK1	ZIK1	4458	0.5259952545166016	0.017020097	No	
row_50	KLHL5	KLHL5	4470	0.5225234627723694	0.01856895	No	
row_51	ADAMTS9	ADAMTS9	4583	0.4951825439929962	0.015396273	No	
row_52	FJX1	FJX1	4586	0.49406394362449646	0.01724456	No	
row_53	PLEKHF1	PLEKHF1	4621	0.48494765162467957	0.017595137	No	
row_54	TIFA	TIFA	4754	0.4613010287284851	0.013375743	No	
