NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YPEL1	YPEL1	953	1.531873106956482	-0.029447276	No	
row_1	FAS	FAS	1221	1.2685751914978027	-0.030172147	No	
row_2	KBTBD11	KBTBD11	1281	1.238006830215454	-0.02174651	No	
row_3	SALL2	SALL2	1644	1.035979986190796	-0.028861124	No	
row_4	RNASEL	RNASEL	1683	1.0155303478240967	-0.021478511	No	
row_5	CAMKV	CAMKV	1745	0.9825880527496338	-0.01543337	No	
row_6	BACH2	BACH2	2057	0.8362959623336792	-0.022027357	No	
row_7	SLC16A6	SLC16A6	2072	0.8308022618293762	-0.015213415	No	
row_8	NUDT11	NUDT11	2119	0.812989354133606	-0.010009101	No	
row_9	DDO	DDO	2409	0.7283221483230591	-0.016574264	No	
row_10	PPIC	PPIC	2713	0.6706259846687317	-0.024291027	No	
row_11	SOX11	SOX11	2717	0.6675968170166016	-0.018441835	No	
row_12	ITGBL1	ITGBL1	2998	0.631528377532959	-0.025466979	No	
row_13	TNFRSF14	TNFRSF14	3107	0.6313416361808777	-0.02470041	No	
row_14	INTS9	INTS9	4319	0.5618782043457031	-0.07453394	No	
row_15	ASB13	ASB13	4387	0.5440879464149475	-0.07269189	No	
row_16	TBC1D8	TBC1D8	4651	0.4772569239139557	-0.08032983	No	
row_17	LRBA	LRBA	4742	0.4639078974723816	-0.08024874	No	
row_18	CHD7	CHD7	4776	0.4584572911262512	-0.077633835	No	
row_19	SEPHS1	SEPHS1	4792	0.45646700263023376	-0.07422119	No	
row_20	DENND4A	DENND4A	5126	0.4013281464576721	-0.08571156	No	
row_21	MTSS1	MTSS1	5291	0.37845391035079956	-0.08974956	No	
row_22	GATA6	GATA6	5376	0.3666191101074219	-0.09026883	No	
row_23	SMAGP	SMAGP	5602	0.33557364344596863	-0.09745518	No	
row_24	IRF2	IRF2	6080	0.27740421891212463	-0.11658125	No	
row_25	MGLL	MGLL	6120	0.27297067642211914	-0.11590113	No	
row_26	HCFC2	HCFC2	6221	0.26207879185676575	-0.11808258	No	
row_27	TRADD	TRADD	6445	0.23955251276493073	-0.12603916	No	
row_28	E2F5	E2F5	6739	0.2116723358631134	-0.13741742	No	
row_29	CBX5	CBX5	6907	0.19735433161258698	-0.14321494	No	
row_30	WIPI1	WIPI1	6917	0.19673143327236176	-0.14185901	No	
row_31	RALB	RALB	7862	0.12857840955257416	-0.18347926	No	
row_32	LRP10	LRP10	7916	0.12477682530879974	-0.18476208	No	
row_33	CUEDC2	CUEDC2	7940	0.12336708605289459	-0.18469821	No	
row_34	TPBG	TPBG	9585	0.013011854141950607	-0.2590718	No	
row_35	SDF4	SDF4	9599	0.012376287020742893	-0.2595499	No	
row_36	VRK1	VRK1	9930	0.002411239081993699	-0.2744807	No	
row_37	SP110	SP110	10455	0.0	-0.29822332	No	
row_38	ICAM1	ICAM1	11338	0.0	-0.33818707	No	
row_39	RAB27A	RAB27A	13040	-6.562682683579624E-4	-0.41525415	No	
row_40	GNS	GNS	14539	-0.09842045605182648	-0.48224673	No	
