NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID4	ID4	566	2.1951143741607666	-0.009486747	No	
row_1	PNMA2	PNMA2	704	1.9020216464996338	-0.0016740032	No	
row_2	PTPRU	PTPRU	833	1.6802897453308105	0.004911722	No	
row_3	FLI1	FLI1	1023	1.449669599533081	0.0070294086	No	
row_4	ABAT	ABAT	1213	1.2740298509597778	0.007851737	No	
row_5	PTPRD	PTPRD	1398	1.1599969863891602	0.008059881	No	
row_6	SPAG1	SPAG1	1584	1.0701102018356323	0.007559737	No	
row_7	SALL2	SALL2	1644	1.035979986190796	0.012523721	No	
row_8	TPMT	TPMT	1744	0.9830669164657593	0.015282913	No	
row_9	LLGL2	LLGL2	1941	0.8879498243331909	0.012940317	No	
row_10	TUBB2A	TUBB2A	1991	0.8643067479133606	0.017091833	No	
row_11	NCAN	NCAN	2117	0.8132631778717041	0.017419247	No	
row_12	HMBOX1	HMBOX1	2246	0.7598555684089661	0.017216684	No	
row_13	IL2RB	IL2RB	2376	0.7312435507774353	0.016757742	No	
row_14	IGFBP6	IGFBP6	2499	0.7058916091918945	0.016429372	No	
row_15	SOX11	SOX11	2717	0.6675968170166016	0.011509012	No	
row_16	MAP3K1	MAP3K1	4285	0.5712952017784119	-0.05536273	No	
row_17	CHD7	CHD7	4776	0.4584572911262512	-0.07420984	No	
row_18	MARK1	MARK1	4921	0.4325443506240845	-0.07755217	No	
row_19	NFKBIE	NFKBIE	5568	0.3392646610736847	-0.10435509	No	
row_20	PHLPP1	PHLPP1	6044	0.2813570201396942	-0.12382787	No	
row_21	CBR1	CBR1	6296	0.2539275884628296	-0.13334145	No	
row_22	ABCA7	ABCA7	6863	0.20142622292041779	-0.15753183	No	
row_23	MID2	MID2	7125	0.17924414575099945	-0.16804984	No	
row_24	JUP	JUP	7474	0.14955732226371765	-0.18273345	No	
row_25	TRIM24	TRIM24	7942	0.12322892248630524	-0.20300953	No	
row_26	ZFR	ZFR	8234	0.10344543308019638	-0.21544749	No	
row_27	DCAF7	DCAF7	8369	0.09430307149887085	-0.22083074	No	
row_28	YWHAE	YWHAE	8395	0.0929044634103775	-0.22127965	No	
row_29	C3	C3	8663	0.07538552582263947	-0.23283581	No	
row_30	IPPK	IPPK	8773	0.06840559840202332	-0.23727597	No	
row_31	CCND3	CCND3	8793	0.06694233417510986	-0.23764418	No	
row_32	SPAG4	SPAG4	8947	0.0564076267182827	-0.24416883	No	
row_33	TRAPPC10	TRAPPC10	9225	0.03762213885784149	-0.25645715	No	
