NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOX	LOX	30	5.0	0.026874557	No	
row_1	LCP2	LCP2	996	1.4763065576553345	-0.008629712	No	
row_2	LAIR1	LAIR1	1155	1.3306974172592163	-0.008292825	No	
row_3	ALDH3B1	ALDH3B1	1256	1.249748706817627	-0.005778049	No	
row_4	MAFB	MAFB	1259	1.2482490539550781	0.0011805765	No	
row_5	IGFBP6	IGFBP6	2499	0.7058916091918945	-0.051122934	No	
row_6	PTPN6	PTPN6	2976	0.631528377532959	-0.06918193	No	
row_7	COL1A1	COL1A1	3080	0.6313416361808777	-0.0702959	No	
row_8	LAPTM5	LAPTM5	3093	0.6313416361808777	-0.067275584	No	
row_9	UCP2	UCP2	3368	0.6019797921180725	-0.07632422	No	
row_10	COL1A2	COL1A2	3781	0.6016772389411926	-0.09164416	No	
row_11	RBKS	RBKS	4453	0.5270509123802185	-0.1191524	No	
row_12	PIGP	PIGP	5040	0.4149042069911957	-0.14343227	No	
row_13	LGALS3	LGALS3	5240	0.3856656849384308	-0.15029517	No	
row_14	TRADD	TRADD	6445	0.23955251276493073	-0.2036422	No	
row_15	STXBP2	STXBP2	7022	0.1887989491224289	-0.2287447	No	
row_16	MAN2B1	MAN2B1	7062	0.18353690207004547	-0.22948001	No	
row_17	RABGAP1L	RABGAP1L	7457	0.1509324312210083	-0.24652776	No	
row_18	TNFAIP8	TNFAIP8	7743	0.1345892697572708	-0.25871575	No	
row_19	NPC2	NPC2	8485	0.0878000557422638	-0.29188487	No	
row_20	IFI30	IFI30	9607	0.011896582320332527	-0.34274676	No	
row_21	ITGB2	ITGB2	9864	0.006382802035659552	-0.35434127	No	
row_22	C5AR1	C5AR1	10100	0.0	-0.36501774	No	
row_23	COL8A2	COL8A2	10227	0.0	-0.37074217	No	
row_24	CD4	CD4	10958	0.0	-0.4039074	No	
row_25	MSR1	MSR1	11003	0.0	-0.4059064	No	
row_26	PTPRC	PTPRC	11038	0.0	-0.4074511	No	
row_27	NCF2	NCF2	11043	0.0	-0.4076328	No	
row_28	KYNU	KYNU	11054	0.0	-0.40808713	No	
row_29	CDCP1	CDCP1	11299	0.0	-0.4191725	No	
row_30	PTPN22	PTPN22	13036	-6.562682683579624E-4	-0.49803844	No	
row_31	RAB27A	RAB27A	13040	-6.562682683579624E-4	-0.49817103	No	
row_32	SFT2D2	SFT2D2	13263	-0.0069597396068274975	-0.5082176	No	
row_33	YAP1	YAP1	14086	-0.0663723275065422	-0.5451877	No	
row_34	ACSL1	ACSL1	14132	-0.0692455843091011	-0.5468411	No	
row_35	CTSB	CTSB	14332	-0.08326168358325958	-0.5554118	No	
row_36	CTSC	CTSC	14598	-0.10364934802055359	-0.56686586	No	
row_37	FNDC3B	FNDC3B	14667	-0.10971173644065857	-0.56933564	No	
row_38	BLVRB	BLVRB	14676	-0.11024824529886246	-0.5690765	No	
