NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HPCA	HPCA	42	5.0	0.058172863	Yes	
row_1	CRYL1	CRYL1	379	2.8943967819213867	0.07772591	Yes	
row_2	ANKS1B	ANKS1B	495	2.587855339050293	0.10360896	Yes	
row_3	SLC30A10	SLC30A10	503	2.566300392150879	0.13412632	Yes	
row_4	KCNK1	KCNK1	507	2.5537259578704834	0.16467382	Yes	
row_5	NTSR2	NTSR2	641	2.0296173095703125	0.183034	Yes	
row_6	ENPP2	ENPP2	1004	1.4726033210754395	0.18432595	Yes	
row_7	FHIT	FHIT	1342	1.1935797929763794	0.1833981	Yes	
row_8	BCAS1	BCAS1	1428	1.1434869766235352	0.19328608	Yes	
row_9	MYBPC1	MYBPC1	1447	1.1353687047958374	0.20611216	Yes	
row_10	SH3GL2	SH3GL2	1464	1.1321179866790771	0.21898982	Yes	
row_11	MBP	MBP	1609	1.0560829639434814	0.22515443	Yes	
row_12	SH3GL3	SH3GL3	1798	0.9598878622055054	0.22816966	Yes	
row_13	NDRG2	NDRG2	1850	0.9318373799324036	0.23705512	Yes	
row_14	SGK3	SGK3	1947	0.8862735033035278	0.24335425	Yes	
row_15	GNAI1	GNAI1	1951	0.8840276002883911	0.25384006	Yes	
row_16	PPFIA2	PPFIA2	1964	0.8764105439186096	0.26382658	Yes	
row_17	ROGDI	ROGDI	2162	0.794858455657959	0.26445118	Yes	
row_18	THTPA	THTPA	2190	0.7856407761573792	0.27266747	Yes	
row_19	BASP1	BASP1	2247	0.7593289017677307	0.27925366	Yes	
row_20	SERPINI1	SERPINI1	2256	0.7560425996780396	0.28797516	Yes	
row_21	GRM3	GRM3	2477	0.7149402499198914	0.28659746	No	
row_22	PPP1R1A	PPP1R1A	2761	0.6561834216117859	0.28165933	No	
row_23	CASQ1	CASQ1	2862	0.6431605815887451	0.2848562	No	
row_24	FUT9	FUT9	3243	0.6174033880233765	0.27505723	No	
row_25	CPNE6	CPNE6	3337	0.6019797921180725	0.27807644	No	
row_26	EPB41L3	EPB41L3	3340	0.6019797921180725	0.28521872	No	
row_27	ARRB1	ARRB1	4254	0.5805307030677795	0.25082737	No	
row_28	MSRB2	MSRB2	4462	0.5256187915802002	0.24776396	No	
row_29	REPS2	REPS2	4570	0.4979761838912964	0.24889924	No	
row_30	SPAST	SPAST	5029	0.41664206981658936	0.23315404	No	
row_31	UROS	UROS	5319	0.3741163909435272	0.224555	No	
row_32	SLC31A2	SLC31A2	5342	0.37115663290023804	0.22801773	No	
row_33	ANKRD46	ANKRD46	5522	0.3461953401565552	0.22406714	No	
row_34	ADD3	ADD3	5748	0.31574174761772156	0.21766645	No	
row_35	USP33	USP33	5751	0.3156605362892151	0.22136854	No	
row_36	MMD	MMD	5765	0.31347912549972534	0.22454603	No	
row_37	NANOS1	NANOS1	5855	0.30475085973739624	0.22417523	No	
row_38	PRPSAP2	PRPSAP2	6025	0.283856600522995	0.21992871	No	
row_39	GABARAPL2	GABARAPL2	6088	0.2766988277435303	0.22044417	No	
row_40	FBXO3	FBXO3	6312	0.25285467505455017	0.2133785	No	
row_41	CUTC	CUTC	6550	0.2304338812828064	0.20540912	No	
row_42	AGTPBP1	AGTPBP1	6588	0.22632081806659698	0.20645201	No	
row_43	MDH1	MDH1	6779	0.20838932693004608	0.20034726	No	
row_44	FXYD1	FXYD1	7007	0.19036616384983063	0.19234955	No	
row_45	PEX19	PEX19	7157	0.17670682072639465	0.18772177	No	
row_46	CRYZL1	CRYZL1	7411	0.1548391878604889	0.17811918	No	
row_47	IMPA1	IMPA1	7777	0.13197626173496246	0.16316736	No	
row_48	PDE6D	PDE6D	7954	0.12256082892417908	0.15666568	No	
