NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX10	SOX10	47	5.0	0.032886516	Yes	
row_1	LRRTM4	LRRTM4	84	5.0	0.06627215	Yes	
row_2	SPTBN2	SPTBN2	104	5.0	0.10042914	Yes	
row_3	SCN3A	SCN3A	248	5.0	0.12895975	Yes	
row_4	PAK7	PAK7	261	4.993025779724121	0.16338551	Yes	
row_5	FXYD6	FXYD6	329	3.5170400142669678	0.18497816	Yes	
row_6	RAB33A	RAB33A	369	2.9754538536071777	0.20404811	Yes	
row_7	GPR17	GPR17	388	2.821054458618164	0.22298954	Yes	
row_8	SLC1A1	SLC1A1	491	2.6009490489959717	0.23657796	Yes	
row_9	MAST1	MAST1	592	2.0933618545532227	0.24670208	Yes	
row_10	EPHB1	EPHB1	632	2.058561086654663	0.25935027	Yes	
row_11	CXXC4	CXXC4	634	2.0528807640075684	0.27368292	Yes	
row_12	IL1RAPL1	IL1RAPL1	654	1.9980369806289673	0.2868147	Yes	
row_13	NLGN3	NLGN3	696	1.9189767837524414	0.29839453	Yes	
row_14	SCG3	SCG3	752	1.8121998310089111	0.30859128	Yes	
row_15	NOL4	NOL4	787	1.7643791437149048	0.31940594	Yes	
row_16	PODXL2	PODXL2	793	1.7590305805206299	0.331499	Yes	
row_17	VAX2	VAX2	909	1.5945597887039185	0.33744898	Yes	
row_18	DNM3	DNM3	922	1.5713622570037842	0.34791005	Yes	
row_19	YPEL1	YPEL1	953	1.531873106956482	0.35727778	Yes	
row_20	DUSP26	DUSP26	969	1.5090787410736084	0.3671665	Yes	
row_21	CRB1	CRB1	992	1.4821757078170776	0.37654915	Yes	
row_22	PPM1E	PPM1E	1046	1.419798731803894	0.38408834	Yes	
row_23	DGKI	DGKI	1105	1.3675100803375244	0.39103442	Yes	
row_24	PDE10A	PDE10A	1203	1.2878414392471313	0.39565295	Yes	
row_25	ABAT	ABAT	1213	1.2740298509597778	0.40416768	Yes	
row_26	CNTN1	CNTN1	1268	1.242282509803772	0.41041818	Yes	
row_27	TTYH1	TTYH1	1289	1.2283103466033936	0.41811356	Yes	
row_28	NCALD	NCALD	1316	1.2095657587051392	0.4254054	Yes	
row_29	SEZ6L	SEZ6L	1388	1.162542700767517	0.4303261	Yes	
row_30	MYT1	MYT1	1426	1.1441594362258911	0.43666074	Yes	
row_31	BCAN	BCAN	1442	1.1379591226577759	0.4439502	Yes	
row_32	HMGB3	HMGB3	1517	1.0984647274017334	0.44828597	Yes	
row_33	GRIA2	GRIA2	1556	1.082637906074524	0.45414436	Yes	
row_34	DCX	DCX	1578	1.074338436126709	0.46071598	Yes	
row_35	TOX3	TOX3	1589	1.0677000284194946	0.4677402	Yes	
row_36	MPPED2	MPPED2	1626	1.0467731952667236	0.47343814	Yes	
row_37	EPB41	EPB41	1694	1.009544014930725	0.47746876	Yes	
row_38	DLL3	DLL3	1711	1.0021140575408936	0.4837614	Yes	
row_39	MAP2	MAP2	1712	1.0010610818862915	0.49077263	Yes	
row_40	GPM6A	GPM6A	1751	0.9793711304664612	0.49590775	Yes	
row_41	PCDH11X	PCDH11X	1804	0.958397626876831	0.5002608	Yes	
row_42	RALGPS1	RALGPS1	1848	0.9334367513656616	0.5048473	Yes	
row_43	MYO10	MYO10	1853	0.9306704998016357	0.51118404	Yes	
row_44	C1QL1	C1QL1	1865	0.9225658178329468	0.5171464	Yes	
row_45	MAPT	MAPT	1887	0.9166187644004822	0.5226134	Yes	
row_46	OLIG2	OLIG2	1982	0.867942750453949	0.5244271	Yes	
row_47	AMOTL2	AMOTL2	1992	0.863998293876648	0.53007007	Yes	
row_48	DPYSL4	DPYSL4	2045	0.8417186737060547	0.5336059	Yes	
row_49	ATP1A3	ATP1A3	2066	0.8330135941505432	0.5385327	Yes	
row_50	ARHGEF9	ARHGEF9	2122	0.8104941248893738	0.54171365	Yes	
row_51	NRXN1	NRXN1	2154	0.799152672290802	0.54590416	Yes	
row_52	CSPG5	CSPG5	2171	0.7922572493553162	0.550727	Yes	
row_53	MARCKSL1	MARCKSL1	2177	0.7903546094894409	0.55603564	Yes	
row_54	FBXO21	FBXO21	2205	0.7748389840126038	0.56023735	Yes	
row_55	DPF1	DPF1	2257	0.7557624578475952	0.5632165	Yes	
row_56	SRGAP3	SRGAP3	2320	0.7365592122077942	0.565562	Yes	
row_57	CDK5R1	CDK5R1	2357	0.7344024181365967	0.5690722	Yes	
row_58	CLASP2	CLASP2	2418	0.7270553112030029	0.5714419	Yes	
row_59	PAK3	PAK3	2492	0.7088932394981384	0.57309455	Yes	
row_60	REEP1	REEP1	2501	0.7058910727500916	0.5776755	Yes	
row_61	PURG	PURG	2533	0.7035593390464783	0.5811965	Yes	
row_62	BCL7A	BCL7A	2589	0.6948186755180359	0.5835673	Yes	
row_63	WASF1	WASF1	2629	0.6842254996299744	0.58658993	Yes	
row_64	RUFY3	RUFY3	2645	0.6788648366928101	0.59066397	Yes	
row_65	SOX11	SOX11	2717	0.6675968170166016	0.59211814	Yes	
row_66	ASCL1	ASCL1	2920	0.6363744735717773	0.5874096	No	
row_67	RAP2A	RAP2A	2962	0.632922887802124	0.58998215	No	
row_68	GRID2	GRID2	3130	0.6313416361808777	0.58682644	No	
row_69	RALGPS2	RALGPS2	3304	0.6024773120880127	0.5831964	No	
row_70	SATB1	SATB1	4166	0.6014743447303772	0.54834193	No	
row_71	DBN1	DBN1	4366	0.5504633784294128	0.5431678	No	
row_72	KIF21B	KIF21B	4393	0.5420165061950684	0.54578424	No	
row_73	CRMP1	CRMP1	4419	0.5338023900985718	0.54838854	No	
row_74	PELI1	PELI1	4446	0.5284850001335144	0.55091023	No	
row_75	GADD45G	GADD45G	4526	0.5080698132514954	0.5508841	No	
row_76	PLCB4	PLCB4	4533	0.5053043365478516	0.55415094	No	
row_77	MYB	MYB	4550	0.5018624663352966	0.5569399	No	
row_78	PPM1D	PPM1D	4569	0.49827200174331665	0.559613	No	
row_79	MMP16	MMP16	4597	0.49051713943481445	0.56182337	No	
row_80	NRXN2	NRXN2	4628	0.4829912781715393	0.5638449	No	
row_81	MLLT11	MLLT11	4639	0.48023343086242676	0.56675464	No	
row_82	SOX2	SOX2	4761	0.4601766765117645	0.5644874	No	
