NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EYA2	EYA2	13	5.0	0.17168824	Yes	
row_1	ELOVL2	ELOVL2	760	1.8055903911590576	0.20019174	Yes	
row_2	FGFR3	FGFR3	800	1.743078589439392	0.2584875	Yes	
row_3	PAX6	PAX6	1043	1.4271578788757324	0.2967255	Yes	
row_4	GATM	GATM	1204	1.2868763208389282	0.33383533	Yes	
row_5	ZFHX4	ZFHX4	1382	1.167026400566101	0.36604756	Yes	
row_6	PLCE1	PLCE1	1675	1.01913321018219	0.38796777	Yes	
row_7	CDH4	CDH4	1768	0.9719308018684387	0.4172987	Yes	
row_8	ACSBG1	ACSBG1	1879	0.9185318946838379	0.44397643	Yes	
row_9	MLC1	MLC1	1922	0.8993311524391174	0.47306523	Yes	
row_10	ARNTL	ARNTL	2480	0.7140005826950073	0.47249788	Yes	
row_11	SLC4A4	SLC4A4	2714	0.6695138216018677	0.48503786	Yes	
row_12	CST3	CST3	4259	0.5800396203994751	0.4352568	No	
row_13	BBS1	BBS1	4746	0.4632970690727234	0.42925963	No	
row_14	PHKB	PHKB	4780	0.4577595293521881	0.44354066	No	
row_15	SOX9	SOX9	4879	0.440622478723526	0.4542942	No	
row_16	PPARGC1A	PPARGC1A	5094	0.4060298204421997	0.45861432	No	
row_17	SALL1	SALL1	5296	0.37821128964424133	0.46256337	No	
row_18	ZHX3	ZHX3	5322	0.37364518642425537	0.47430772	No	
row_19	LHFP	LHFP	5665	0.32689884305000305	0.47011763	No	
row_20	PTPRA	PTPRA	5785	0.3118823766708374	0.4754865	No	
row_21	NCOA1	NCOA1	6089	0.2766895294189453	0.47132868	No	
row_22	PLCG1	PLCG1	6167	0.26726242899894714	0.47705793	No	
row_23	VAV3	VAV3	7750	0.13436104357242584	0.41020393	No	
row_24	SPRY2	SPRY2	7766	0.13291728496551514	0.41410583	No	
row_25	CTNND1	CTNND1	8301	0.09839749336242676	0.39336708	No	
row_26	USP8	USP8	8642	0.07642197608947754	0.38063714	No	
row_27	RBCK1	RBCK1	9471	0.02104751206934452	0.34394875	No	
row_28	DTNA	DTNA	9500	0.01810968853533268	0.34330752	No	
row_29	RASGRP1	RASGRP1	11069	0.0	0.2724567	No	
row_30	SEPT11	SEPT11	13122	-0.0017441590316593647	0.17979617	No	
row_31	TYK2	TYK2	13868	-0.05082028731703758	0.147884	No	
row_32	DENND2A	DENND2A	13990	-0.05977454409003258	0.1444761	No	
row_33	STXBP3	STXBP3	14001	-0.06030730903148651	0.14610215	No	
row_34	POLRMT	POLRMT	14552	-0.09953610599040985	0.12467965	No	
row_35	UPF1	UPF1	14728	-0.11421748995780945	0.12070757	No	
row_36	NPEPL1	NPEPL1	14755	-0.11604584008455276	0.12353112	No	
row_37	PNPLA6	PNPLA6	15749	-0.2059783935546875	0.08575895	No	
row_38	TJP1	TJP1	15818	-0.21437707543373108	0.09007272	No	
row_39	ABLIM1	ABLIM1	16460	-0.2910010516643524	0.071135305	No	
row_40	BCKDHB	BCKDHB	16778	-0.34423914551734924	0.068672314	No	
row_41	ACSL3	ACSL3	17098	-0.40053650736808777	0.06805868	No	
row_42	SLC20A2	SLC20A2	17549	-0.5010828971862793	0.06499009	No	
row_43	SLC3A2	SLC3A2	17728	-0.558646559715271	0.076195315	No	
row_44	GRIK1	GRIK1	17878	-0.5994260311126709	0.09011598	No	
row_45	MYO5C	MYO5C	21742	-3.0197525024414062	0.019610416	No	
