NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOX	LOX	30	5.0	0.079868585	No	
row_1	BACE2	BACE2	1714	0.9983385801315308	0.020039253	No	
row_2	COL1A1	COL1A1	3080	0.6313416361808777	-0.0313829	No	
row_3	COL15A1	COL15A1	3091	0.6313416361808777	-0.021578714	No	
row_4	COL1A2	COL1A2	3781	0.6016772389411926	-0.042937372	No	
row_5	TNFAIP8	TNFAIP8	7743	0.1345892697572708	-0.2197307	No	
row_6	CYP1B1	CYP1B1	8111	0.11120954900979996	-0.2345072	No	
row_7	SPAG4	SPAG4	8947	0.0564076267182827	-0.27132076	No	
row_8	GLIPR1	GLIPR1	10239	0.0	-0.3296552	No	
row_9	IL7R	IL7R	10774	0.0	-0.35378426	No	
row_10	IL6	IL6	11016	0.0	-0.36467397	No	
row_11	CDCP1	CDCP1	11299	0.0	-0.37741628	No	
row_12	LUM	LUM	11318	0.0	-0.37822962	No	
row_13	ANPEP	ANPEP	11375	0.0	-0.38075998	No	
row_14	RAB27A	RAB27A	13040	-6.562682683579624E-4	-0.45593798	No	
row_15	PRSS23	PRSS23	14005	-0.06092449650168419	-0.49850708	No	
row_16	CTSB	CTSB	14332	-0.08326168358325958	-0.511885	No	
row_17	CTSC	CTSC	14598	-0.10364934802055359	-0.5221754	No	
row_18	RGS2	RGS2	16379	-0.27965253591537476	-0.59806263	No	
row_19	ITGB1	ITGB1	17091	-0.3993833363056183	-0.6237016	No	
row_20	SYNGR2	SYNGR2	17814	-0.5882896184921265	-0.64676887	No	
row_21	VDR	VDR	18436	-0.6021458506584167	-0.6650473	No	
row_22	CD72	CD72	19111	-0.6299524307250977	-0.6852688	No	
row_23	ARPC1B	ARPC1B	19689	-0.7028025388717651	-0.69992393	Yes	
row_24	SDC1	SDC1	19916	-0.7760097980499268	-0.69752973	Yes	
row_25	CNN2	CNN2	20029	-0.8426572680473328	-0.68890166	Yes	
row_26	COL5A1	COL5A1	20235	-0.9729452133178711	-0.68235934	Yes	
row_27	THBS1	THBS1	20398	-1.0817452669143677	-0.6721066	Yes	
row_28	LY96	LY96	20565	-1.199437141418457	-0.66012275	Yes	
row_29	COL3A1	COL3A1	20641	-1.2531524896621704	-0.64315444	Yes	
row_30	BCL3	BCL3	20841	-1.4326444864273071	-0.6288733	Yes	
row_31	IER3	IER3	20879	-1.4622268676757812	-0.6067915	Yes	
row_32	NDRG1	NDRG1	21010	-1.6281667947769165	-0.58621633	Yes	
row_33	RARRES1	RARRES1	21226	-1.9090646505355835	-0.5649188	Yes	
row_34	PTGS2	PTGS2	21243	-1.9323681592941284	-0.53425074	Yes	
row_35	GPRC5A	GPRC5A	21338	-2.0723087787628174	-0.5048339	Yes	
row_36	NNMT	NNMT	21524	-2.4836206436157227	-0.47284722	Yes	
row_37	S100A11	S100A11	21526	-2.486131191253662	-0.4325056	Yes	
row_38	RUNX1	RUNX1	21549	-2.58091402053833	-0.3915732	Yes	
row_39	CAV1	CAV1	21642	-2.729459524154663	-0.35139063	Yes	
row_40	ACPP	ACPP	21734	-2.991307258605957	-0.30690923	Yes	
row_41	TGFBI	TGFBI	21757	-3.0917420387268066	-0.2576785	Yes	
row_42	P4HA2	P4HA2	21767	-3.183842182159424	-0.20636418	Yes	
row_43	SLPI	SLPI	21831	-4.028690338134766	-0.14376548	Yes	
row_44	PLAUR	PLAUR	21880	-4.803990840911865	-0.06789437	Yes	
row_45	BNC2	BNC2	21985	-5.0	0.008630492	Yes	
