NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX10	SOX10	47	5.0	0.0867287	Yes	
row_1	PAK7	PAK7	261	4.993025779724121	0.16583538	Yes	
row_2	RAB33A	RAB33A	369	2.9754538536071777	0.21387708	Yes	
row_3	GPR17	GPR17	388	2.821054458618164	0.2631951	Yes	
row_4	SMPD3	SMPD3	487	2.647747278213501	0.30581987	Yes	
row_5	SLC1A1	SLC1A1	491	2.6009490489959717	0.3519041	Yes	
row_6	MAST1	MAST1	592	2.0933618545532227	0.3845869	Yes	
row_7	EPHB1	EPHB1	632	2.058561086654663	0.41940662	Yes	
row_8	IL1RAPL1	IL1RAPL1	654	1.9980369806289673	0.45396385	Yes	
row_9	NHLH1	NHLH1	854	1.6646254062652588	0.47455612	Yes	
row_10	JPH3	JPH3	991	1.4827388525009155	0.49476188	Yes	
row_11	KCNK3	KCNK3	1322	1.205032229423523	0.5012699	Yes	
row_12	MYT1	MYT1	1426	1.1441594362258911	0.51694953	Yes	
row_13	CDKN1C	CDKN1C	1542	1.0894542932510376	0.53111506	Yes	
row_14	GABRB3	GABRB3	1749	0.9808354377746582	0.53923994	Yes	
row_15	BCL11A	BCL11A	2250	0.7589365839958191	0.53014195	No	
row_16	CENPJ	CENPJ	2741	0.6608275175094604	0.5197522	No	
row_17	GRID2	GRID2	3130	0.6313416361808777	0.5134457	No	
row_18	SIM2	SIM2	3864	0.6016772389411926	0.4910287	No	
row_19	PLCB4	PLCB4	4533	0.5053043365478516	0.46983513	No	
row_20	MYB	MYB	4550	0.5018624663352966	0.47803068	No	
row_21	PDGFRA	PDGFRA	5008	0.41969984769821167	0.46484658	No	
row_22	MTSS1	MTSS1	5291	0.37845391035079956	0.45883414	No	
row_23	HDAC2	HDAC2	7235	0.16978299617767334	0.37408754	No	
row_24	PTTG1	PTTG1	8980	0.05382101610302925	0.29626894	No	
row_25	TCP1	TCP1	13831	-0.04827272146940231	0.07805635	No	
row_26	DCTN3	DCTN3	14020	-0.06217273697257042	0.07066938	No	
row_27	PFDN2	PFDN2	14206	-0.07562550902366638	0.06365698	No	
row_28	RASL11B	RASL11B	15275	-0.15596280992031097	0.018187826	No	
row_29	NARF	NARF	16061	-0.23911628127098083	-0.013020789	No	
row_30	NMU	NMU	19443	-0.6489469408988953	-0.15420571	No	
row_31	ERBB3	ERBB3	19530	-0.663476824760437	-0.14630006	No	
row_32	BAMBI	BAMBI	19688	-0.7000298500061035	-0.14095186	No	
row_33	PKMYT1	PKMYT1	20357	-1.050069808959961	-0.15246476	No	
row_34	DACH1	DACH1	20975	-1.5726767778396606	-0.15238716	No	
row_35	CLGN	CLGN	20999	-1.620478630065918	-0.1246296	No	
row_36	HRASLS	HRASLS	21892	-5.0	-0.07606884	No	
row_37	VIPR2	VIPR2	21941	-5.0	0.01061469	No	
