NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
VERHAAK_MES_2010	VERHAAK_MES_2010	Details ...	166	-0.68724936	-2.217797	0.0	0.0	0.0	2632	tags=49%, list=12%, signal=55%	
FOSL1_REGULON	FOSL1_REGULON	Details ...	203	-0.6588051	-2.1802106	0.0	0.0	0.0	2640	tags=42%, list=12%, signal=47%	
RICHARDS_INJ_2021	RICHARDS_INJ_2021	Details ...	3198	-0.5280267	-2.069036	0.0	0.0	0.0	2859	tags=25%, list=13%, signal=25%	
PHILLIPS_PROLIFERATIVE_2006	PHILLIPS_PROLIFERATIVE_2006	Details ...	155	-0.64545393	-2.0641232	0.0	0.0	0.0	2322	tags=38%, list=10%, signal=42%	
VDR_REGULON	VDR_REGULON	Details ...	133	-0.6383621	-2.0052657	0.0	0.0	0.0	2620	tags=38%, list=12%, signal=43%	
BNC2_REGULON	BNC2_REGULON	Details ...	98	-0.6415255	-1.9445795	0.0	0.0	0.0	2489	tags=47%, list=11%, signal=53%	
SP100_REGULON	SP100_REGULON	Details ...	107	-0.6372433	-1.9222537	0.0	0.0	0.0	2560	tags=42%, list=12%, signal=47%	
PHILLIPS_MES_2006	PHILLIPS_MES_2006	Details ...	109	-0.6263039	-1.91194	0.0	0.0	0.0	2270	tags=45%, list=10%, signal=50%	
WANG_MES_2017	WANG_MES_2017	Details ...	46	-0.71134084	-1.8912324	0.0	0.0	0.0	2489	tags=50%, list=11%, signal=56%	
ELF4_REGULON	ELF4_REGULON	Details ...	120	-0.598408	-1.8387492	0.0	1.10526315E-4	0.001	2643	tags=38%, list=12%, signal=43%	
NEFTEL_G2.M_2019	NEFTEL_G2.M_2019	Details ...	44	-0.6988124	-1.8330988	0.0	1.00478464E-4	0.001	2665	tags=55%, list=12%, signal=62%	
NEFTEL_G1.S_2019	NEFTEL_G1.S_2019	Details ...	27	-0.7662635	-1.8163855	0.0	9.2105256E-5	0.001	2335	tags=52%, list=11%, signal=58%	
SCHMITT_TNF_2020	SCHMITT_TNF_2020	Details ...	288	-0.51724255	-1.7726138	0.0	8.502024E-5	0.001	2596	tags=33%, list=12%, signal=37%	
NEFTEL_MES2_2019	NEFTEL_MES2_2019	Details ...	47	-0.6336744	-1.6920484	0.0017123288	0.0012835418	0.017	5354	tags=70%, list=24%, signal=92%	
NEFTEL_MES1_2019	NEFTEL_MES1_2019	Details ...	42	-0.6308056	-1.6670926	0.0018018018	0.001781849	0.024	2125	tags=48%, list=10%, signal=53%	
SCHMITT_HMG_2020	SCHMITT_HMG_2020	Details ...	274	-0.3978801	-1.3514751	0.010869565	0.055147376	0.56	2372	tags=23%, list=11%, signal=26%	
SOX11_REGULON	SOX11_REGULON	Details ...	115	-0.4232574	-1.2936833	0.06375839	0.082701996	0.747	2517	tags=25%, list=11%, signal=28%	
OLIG2_REGULON	OLIG2_REGULON	Details ...	138	-0.33128822	-1.052342	0.34295416	0.39326277	1.0	1947	tags=15%, list=9%, signal=17%	
POU3F3_REGULON	POU3F3_REGULON	Details ...	89	-0.2952405	-0.876573	0.68793106	0.82851064	1.0	1882	tags=11%, list=8%, signal=12%	
VERHAAK_NEU_2010	VERHAAK_NEU_2010	Details ...	106	-0.28800914	-0.87366176	0.7355932	0.7923993	1.0	2331	tags=14%, list=11%, signal=16%	
VERHAAK_CL_2010	VERHAAK_CL_2010		132	-0.26343313	-0.8219115	0.8498294	0.8472193	1.0	2637	tags=17%, list=12%, signal=19%	
