NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PHILLIPS_PN_2006	PHILLIPS_PN_2006	Details ...	199	0.612356	2.1017513	0.0	0.0	0.0	2350	tags=44%, list=11%, signal=49%	
NEFTEL_NPC1_2019	NEFTEL_NPC1_2019	Details ...	46	0.7136113	1.9863435	0.0	0.0	0.0	4938	tags=72%, list=22%, signal=92%	
VERHAAK_PN_2010	VERHAAK_PN_2010	Details ...	138	0.59211814	1.9345015	0.0	0.0	0.0	2717	tags=48%, list=12%, signal=54%	
RICHARDS_DEV_2021	RICHARDS_DEV_2021	Details ...	2416	0.44201216	1.8099186	0.0	5.79842E-4	0.003	3337	tags=28%, list=15%, signal=29%	
ASCL1_REGULON	ASCL1_REGULON	Details ...	93	0.54014206	1.6614885	0.0	0.0043267403	0.027	2750	tags=49%, list=12%, signal=56%	
NEFTEL_OPC_2019	NEFTEL_OPC_2019	Details ...	45	0.57972056	1.6086946	0.006263048	0.007202475	0.052	2540	tags=53%, list=11%, signal=60%	
NEFTEL_AC_2019	NEFTEL_AC_2019	Details ...	36	0.5739193	1.5111359	0.01927195	0.017123748	0.136	2540	tags=56%, list=11%, signal=63%	
NEFTEL_NPC2_2019	NEFTEL_NPC2_2019	Details ...	44	0.5472487	1.502836	0.030232558	0.016200326	0.147	2717	tags=41%, list=12%, signal=47%	
WANG_PN_2017	WANG_PN_2017	Details ...	38	0.53923994	1.4364635	0.041666668	0.025115091	0.234	1749	tags=39%, list=8%, signal=43%	
WANG_CL_2017	WANG_CL_2017	Details ...	46	0.48503786	1.3338069	0.06904232	0.05356666	0.468	2714	tags=26%, list=12%, signal=30%	
SALL2_REGULON	SALL2_REGULON	Details ...	88	0.26491842	0.8103148	0.90841585	0.8761875	1.0	5691	tags=45%, list=26%, signal=61%	
