NAME	TYPE	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Analysis
VERHAAK_PN_2010	Non-MES	168	0.42768008	1.9229542	0	0.001116541	0.002	3673	"tags=32%, list=17%, signal=38%"	BTSC233_NF1_GRD
WANG_CL_2017	Non-MES	50	0.44768885	1.5960371	0.012526096	0.01200394	0.079	4538	"tags=34%, list=21%, signal=43%"	BTSC233_NF1_GRD
RICHARDS_DEV_2021	Non-MES	2907	0.24524999	1.3573687	0	0.086788885	0.494	3970	"tags=23%, list=18%, signal=24%"	BTSC233_NF1_GRD
PHILLIPS_PN_2006	Non-MES	226	0.28624728	1.3187621	0.024948025	0.103173785	0.592	1884	"tags=16%, list=9%, signal=17%"	BTSC233_NF1_GRD
PHILLIPS_PROLIFERATIVE_2006	Non-MES	177	0.2944577	1.2969382	0.040567953	0.10944437	0.657	3297	"tags=23%, list=15%, signal=27%"	BTSC233_NF1_GRD
WANG_PN_2017	Non-MES	50	0.33894452	1.2539452	0.12745099	0.13697912	0.76	3053	"tags=24%, list=14%, signal=28%"	BTSC233_NF1_GRD
VERHAAK_CL_2010	Non-MES	157	0.28641808	1.2468582	0.06451613	0.13352494	0.783	3939	"tags=27%, list=18%, signal=33%"	BTSC233_NF1_GRD
OLIG2_REGULON	Non-MES	144	0.26190338	1.1310581	0.19254659	0.24532385	0.966	1643	"tags=15%, list=8%, signal=16%"	BTSC233_NF1_GRD
VERHAAK_NEU_2010	Non-MES	127	-0.18673901	-0.8068953	0.89	0.8753801	1	6557	"tags=35%, list=30%, signal=51%"	BTSC233_NF1_GRD
WANG_MES_2017	MES	50	-0.3735108	-1.3397602	0.0831643	0.063794345	0.543	2125	"tags=20%, list=10%, signal=22%"	BTSC233_NF1_GRD
SCHMITT_HMG_2020	MES	276	-0.30534154	-1.4367709	0.002008032	0.03409353	0.299	3319	"tags=24%, list=15%, signal=28%"	BTSC233_NF1_GRD
RICHARDS_INJ_2021	MES	3632	-0.2770499	-1.5415725	0	0.015526765	0.132	3045	"tags=19%, list=14%, signal=18%"	BTSC233_NF1_GRD
SCHMITT_TNF_2020	MES	304	-0.3609119	-1.711786	0	0.003904166	0.022	3055	"tags=27%, list=14%, signal=31%"	BTSC233_NF1_GRD
PHILLIPS_MES_2006	MES	125	-0.41462108	-1.7570016	0	0.004057312	0.014	2024	"tags=27%, list=9%, signal=30%"	BTSC233_NF1_GRD
VERHAAK_MES_2010	MES	213	-0.41741687	-1.8966436	0	0.001418421	0.004	2835	"tags=28%, list=13%, signal=32%"	BTSC233_NF1_GRD
FOSL1_REGULON	MES	219	-0.57744354	-2.627471	0	0	0	2125	"tags=37%, list=10%, signal=41%"	BTSC233_NF1_GRD
