Cells	Sample	Replicate	Normalizer	Gene	CT	Figure	Normalized
BTSC 233	Ctrl	Rep1	18s	18s	14.835	2E	FALSE
BTSC 233	Ctrl	Rep2	18s	18s	14.768	2E	FALSE
BTSC 233	Ctrl	Rep3	18s	18s	14.639	2E	FALSE
BTSC 233	GRD	Rep1	18s	18s	15.072	2E	FALSE
BTSC 233	GRD	Rep2	18s	18s	14.961	2E	FALSE
BTSC 233	GRD	Rep3	18s	18s	15.275	2E	FALSE
BTSC 233	Ctrl	Rep1	18s	FOSL1	27.918	2E	FALSE
BTSC 233	Ctrl	Rep2	18s	FOSL1	27.906	2E	FALSE
BTSC 233	Ctrl	Rep3	18s	FOSL1	28.028	2E	FALSE
BTSC 233	GRD	Rep1	18s	FOSL1	29.948	2E	FALSE
BTSC 233	GRD	Rep2	18s	FOSL1	29.903	2E	FALSE
BTSC 233	GRD	Rep3	18s	FOSL1	29.716	2E	FALSE
BTSC 232	Ctrl	Rep1	18s	18s	10.711	2E	FALSE
BTSC 232	Ctrl	Rep2	18s	18s	10.568	2E	FALSE
BTSC 232	Ctrl	Rep3	18s	18s	10.521	2E	FALSE
BTSC 232	GRD	Rep1	18s	18s	10.752	2E	FALSE
BTSC 232	GRD	Rep2	18s	18s	10.727	2E	FALSE
BTSC 232	GRD	Rep3	18s	18s	10.917	2E	FALSE
BTSC 232	Ctrl	Rep1	18s	FOSL1	27.377	2E	FALSE
BTSC 232	Ctrl	Rep2	18s	FOSL1	27.506	2E	FALSE
BTSC 232	Ctrl	Rep3	18s	FOSL1	27.497	2E	FALSE
BTSC 232	GRD	Rep1	18s	FOSL1	28.551	2E	FALSE
BTSC 232	GRD	Rep2	18s	FOSL1	28.565	2E	FALSE
BTSC 232	GRD	Rep3	18s	FOSL1	28.707	2E	FALSE
BTSC 232	Ctrl+Ctrl	Rep1	18s	18s	10.934	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep2	18s	18s	10.672	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep3	18s	18s	10.819	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep1	18s	18s	10.64	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep2	18s	18s	10.608	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep3	18s	18s	10.52	2J	FALSE
BTSC 232	GRD+Ctrl	Rep1	18s	18s	10.481	2J	FALSE
BTSC 232	GRD+Ctrl	Rep2	18s	18s	10.427	2J	FALSE
