"Probe"	"Feature"	"Chr"	"Start"	"End"	"P.value"	"FDR"	"Log2.Fold.Change"	"Shrunk.Log2.Fold.Change"
"Chr1:713551-714450"	"null"	"1"	713551	714450	0.510428	0.62214565	-0.1689783	0.16177966
"Chr1:805201-805500"	"null"	"1"	805201	805500	0.005847229	0.018689262	-1.372623	1.1740261
"Chr1:900601-903000"	"PLEKHN1"	"1"	900601	903000	4.6003383e-06	4.7501686e-05	1.9327204	-1.7254266
"Chr1:910651-912150"	"C1orf170"	"1"	910651	912150	0.1456789	0.2413078	-0.6162704	0.5497754
"Chr1:939901-942750"	"HES4"	"1"	939901	942750	3.645506e-06	3.884273e-05	-1.714865	1.569547
"Chr1:959401-960900"	"AGRN"	"1"	959401	960900	0.09125248	0.16782105	-0.8507339	0.72631586
"Chr1:998401-1000350"	"null"	"1"	998401	1000350	6.438202e-09	1.5941653e-07	2.2699099	-2.0574293
"Chr1:1008451-1010550"	"RNF223"	"1"	1008451	1010550	0.12986226	0.22061376	-0.5791461	0.5270445
"Chr1:1014451-1016100"	"C1orf159"	"1"	1014451	1016100	1.4677445e-05	0.00012719231	1.6708102	-1.5184016
"Chr1:1051051-1052400"	"null"	"1"	1051051	1052400	0.58694667	0.69083434	-0.18349138	0.17037629
"Chr1:1057201-1058250"	"null"	"1"	1057201	1058250	0.000992722	0.0043542134	-0.9497152	0.8991972
"Chr1:1085101-1086300"	"null"	"1"	1085101	1086300	0.0007445569	0.003430152	-1.5583163	1.3619893
"Chr1:1092451-1094550"	"null"	"1"	1092451	1094550	0.034563966	0.07820614	-0.82817394	0.75043136
"Chr1:1136401-1137450"	"TNFRSF18"	"1"	1136401	1137450	0.8984557	0.93234724	-0.050145146	0.04541198
"Chr1:1252801-1254300"	"CPSF3L"	"1"	1252801	1254300	0.29794452	0.41704506	0.48406234	-0.42247579
"Chr1:1259551-1261050"	"CPSF3L"	"1"	1259551	1261050	0.4624849	0.57823735	0.16676313	-0.16116072
"Chr1:1295551-1296750"	"MXRA8"	"1"	1295551	1296750	1.4610487e-06	1.7991166e-05	2.1305616	-1.881672
"Chr1:1309801-1312500"	"AURKAIP1"	"1"	1309801	1312500	0.925441	0.95115656	-0.018405411	0.01793726
"Chr1:1357651-1358850"	"ANKRD65"	"1"	1357651	1358850	0.00597268	0.019016655	-1.3125676	1.1372977
"Chr1:1375501-1378200"	"VWA1"	"1"	1375501	1378200	0.045211513	0.09647675	-0.969989	0.8372991
"Chr1:1406251-1407450"	"ATAD3B"	"1"	1406251	1407450	0.6592316	0.75043136	-0.13076055	0.123435475
"Chr1:1440151-1440900"	"null"	"1"	1440151	1440900	0.722695	0.80264056	-0.10233472	0.0968961
"Chr1:1446001-1447950"	"ATAD3A"	"1"	1446001	1447950	0.9882349	0.9923393	-0.003146041	0.0030522875
"Chr1:1489651-1490850"	"SSU72"	"1"	1489651	1490850	0.0037393102	0.01290318	1.1490592	-1.0390447
"Chr1:1509151-1511100"	"SSU72"	"1"	1509151	1511100	0.21162641	0.32147643	-0.2187354	0.21430096
"Chr1:1562251-1565100"	"MIB2"	"1"	1562251	1565100	0.08953623	0.16536011	-0.8231451	0.7100079
"Chr1:1590151-1591050"	"null"	"1"	1590151	1591050	0.8972758	0.9314804	-0.02990644	0.028861113
"Chr1:1596901-1597350"	"SLC35E2B"	"1"	1596901	1597350	0.31799582	0.43758085	-0.3851107	0.34968853
"Chr1:1617301-1618350"	"null"	"1"	1617301	1618350	1.0176723e-06	1.3123824e-05	2.370262	-2.0444043
"Chr1:1655401-1656450"	"SLC35E2"	"1"	1655401	1656450	0.98946804	0.9930746	-0.005575309	0.004976537
